station,year,month,worldpop_density_250m,worldpop_density_500m,worldpop_density_1000m
Alipur,2022,1,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,2,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,3,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,4,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,5,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,6,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,7,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,8,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,9,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,10,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,11,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2022,12,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,1,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,2,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,3,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,4,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,5,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,6,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,7,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,8,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,9,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,10,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,11,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2023,12,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,1,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,2,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,3,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,4,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,5,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,6,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,7,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,8,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,9,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,10,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,11,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2024,12,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2025,1,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2025,2,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2025,3,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2025,4,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2025,5,1989.511928819839,2469.994510592726,3122.4505751869337
Alipur,2025,6,1989.511928819839,2469.994510592726,3122.4505751869337
