feature,importance,model
sentinel2_evi_std_250m,318,LightGBM
era5_blh_mean,318,LightGBM
worldcover_2021_grass_frac_250m,302,LightGBM
era5_wind_speed_mean,274,LightGBM
era5_rh_mean,268,LightGBM
s5p_no2_trop_std_500m,214,LightGBM
era5_temp_mean,205,LightGBM
month,196,LightGBM
s5p_no2_total_std_500m,193,LightGBM
s5p_no2_total_std_1000m,186,LightGBM
modis_lst_night_std_c_1000m,177,LightGBM
modis_ndvi_std_1000m,174,LightGBM
gradient_no2_1000_100,161,LightGBM
sentinel2_ndvi_max_1000m,159,LightGBM
modis_lst_day_std_c_500m,154,LightGBM
gradient_lst_day_1000_100,148,LightGBM
sentinel2_evi_std_1000m,147,LightGBM
modis_evi_median_1000m,143,LightGBM
modis_evi_std_1000m,143,LightGBM
worldcover_2021_built_frac_100m,143,LightGBM
modis_lst_day_std_c_1000m,137,LightGBM
worldcover_2021_cropland_frac_250m,133,LightGBM
modis_lst_night_std_c_500m,132,LightGBM
modis_ndvi_std_250m,130,LightGBM
worldcover_2021_grass_frac_1000m,123,LightGBM
s5p_no2_trop_std_1000m,121,LightGBM
worldcover_2021_grass_frac_500m,120,LightGBM
modis_ndvi_mean_1000m,120,LightGBM
sentinel2_valid_pixels_1000m,119,LightGBM
gradient_ndvi_1000_100,119,LightGBM
sentinel2_ndvi_max_100m,118,LightGBM
sentinel2_ndvi_min_1000m,118,LightGBM
modis_evi_std_250m,115,LightGBM
sentinel2_evi_mean_1000m,114,LightGBM
sentinel2_evi_std_500m,108,LightGBM
road_density_500m,105,LightGBM
modis_lst_day_mean_c_100m,102,LightGBM
modis_ndvi_median_250m,102,LightGBM
s5p_no2_total_std_250m,102,LightGBM
modis_ndvi_median_100m,99,LightGBM
sentinel2_evi_mean_100m,99,LightGBM
modis_evi_std_500m,99,LightGBM
modis_ndvi_median_1000m,96,LightGBM
sentinel2_ndvi_min_250m,94,LightGBM
modis_ndvi_std_100m,93,LightGBM
sentinel2_ndwi_std_250m,93,LightGBM
modis_lst_night_std_c_250m,92,LightGBM
sentinel2_ndwi_std_1000m,90,LightGBM
sentinel2_ndwi_std_500m,90,LightGBM
modis_evi_mean_1000m,89,LightGBM
modis_ndvi_std_500m,89,LightGBM
modis_evi_std_100m,86,LightGBM
sentinel2_ndvi_min_500m,86,LightGBM
year,86,LightGBM
sentinel2_ndvi_std_100m,85,LightGBM
modis_ndvi_mean_500m,84,LightGBM
modis_lst_diurnal_range_mean_c_1000m,83,LightGBM
modis_ndvi_mean_100m,83,LightGBM
sentinel2_evi_median_1000m,83,LightGBM
longitude,83,LightGBM
s5p_no2_trop_std_250m,82,LightGBM
latitude,81,LightGBM
major_road_density_1000m,79,LightGBM
sentinel2_ndvi_min_100m,78,LightGBM
s5p_no2_total_std_100m,76,LightGBM
modis_lst_day_std_c_250m,75,LightGBM
sentinel2_ndvi_max_250m,74,LightGBM
road_density_100m,74,LightGBM
sentinel2_evi_std_100m,74,LightGBM
modis_evi_median_100m,72,LightGBM
sentinel2_ndvi_median_1000m,71,LightGBM
modis_evi_mean_100m,71,LightGBM
sentinel2_valid_pixels_250m,70,LightGBM
modis_evi_mean_250m,68,LightGBM
modis_ndvi_median_500m,67,LightGBM
sentinel2_ndvi_std_1000m,67,LightGBM
modis_ndvi_mean_250m,67,LightGBM
modis_evi_median_250m,66,LightGBM
modis_lst_night_mean_c_100m,65,LightGBM
sentinel2_evi_mean_250m,64,LightGBM
sentinel2_ndwi_std_100m,64,LightGBM
sentinel2_ndvi_median_500m,64,LightGBM
s5p_valid_obs_count_500m,64,LightGBM
modis_lst_day_median_c_1000m,62,LightGBM
modis_lst_day_mean_c_1000m,62,LightGBM
sentinel2_ndvi_mean_1000m,61,LightGBM
sentinel2_evi_median_100m,61,LightGBM
sentinel2_ndvi_max_500m,59,LightGBM
modis_lst_day_mean_c_250m,59,LightGBM
sentinel2_ndwi_median_1000m,59,LightGBM
modis_evi_mean_500m,58,LightGBM
modis_lst_diurnal_range_mean_c_250m,58,LightGBM
sentinel2_ndvi_std_500m,57,LightGBM
modis_lst_day_std_c_100m,55,LightGBM
sentinel2_evi_mean_500m,55,LightGBM
sentinel2_evi_median_500m,54,LightGBM
modis_lst_diurnal_range_mean_c_100m,54,LightGBM
worldcover_2021_cropland_frac_1000m,53,LightGBM
s5p_no2_total_mean_100m,52,LightGBM
month_cos,51,LightGBM
road_density_250m,49,LightGBM
modis_lst_day_median_c_100m,48,LightGBM
modis_lst_day_median_c_500m,48,LightGBM
worldcover_2021_cropland_frac_500m,48,LightGBM
sentinel2_ndvi_std_250m,46,LightGBM
worldpop_density_250m,45,LightGBM
sentinel2_ndwi_median_500m,43,LightGBM
sentinel2_ndwi_mean_100m,43,LightGBM
sentinel2_ndvi_median_100m,43,LightGBM
sentinel2_ndwi_mean_1000m,42,LightGBM
sentinel2_ndvi_mean_500m,42,LightGBM
s5p_no2_trop_std_100m,42,LightGBM
sentinel2_ndwi_mean_500m,42,LightGBM
sentinel2_valid_pixels_100m,41,LightGBM
s5p_no2_trop_mean_100m,41,LightGBM
sentinel2_evi_median_250m,40,LightGBM
sentinel2_ndwi_mean_250m,40,LightGBM
worldcover_2021_water_frac_1000m,38,LightGBM
sentinel2_ndwi_median_100m,37,LightGBM
worldcover_2021_cropland_frac_100m,37,LightGBM
road_density_1000m,37,LightGBM
modis_lst_day_mean_c_500m,36,LightGBM
sentinel2_ndwi_median_250m,35,LightGBM
modis_lst_night_std_c_100m,32,LightGBM
worldcover_2021_built_frac_1000m,32,LightGBM
s5p_no2_total_mean_500m,31,LightGBM
modis_lst_night_median_c_1000m,31,LightGBM
worldcover_2021_built_frac_250m,30,LightGBM
s5p_no2_trop_mean_1000m,30,LightGBM
modis_lst_night_median_c_500m,29,LightGBM
modis_lst_night_median_c_100m,29,LightGBM
s5p_no2_total_mean_1000m,28,LightGBM
sentinel2_ndvi_median_250m,28,LightGBM
modis_evi_median_500m,28,LightGBM
s5p_no2_total_median_100m,28,LightGBM
s5p_no2_total_mean_250m,26,LightGBM
modis_lst_day_median_c_250m,26,LightGBM
s5p_valid_obs_count_1000m,25,LightGBM
modis_lst_night_mean_c_1000m,24,LightGBM
modis_lst_diurnal_range_median_c_1000m,24,LightGBM
worldcover_2021_built_frac_500m,23,LightGBM
modis_lst_diurnal_range_mean_c_500m,22,LightGBM
s5p_no2_total_median_1000m,22,LightGBM
modis_lst_diurnal_range_median_c_500m,22,LightGBM
modis_lst_night_mean_c_250m,22,LightGBM
s5p_no2_trop_mean_250m,21,LightGBM
month_sin,20,LightGBM
s5p_no2_trop_mean_500m,20,LightGBM
modis_lst_night_mean_c_500m,20,LightGBM
s5p_no2_total_median_500m,19,LightGBM
modis_lst_diurnal_range_median_c_100m,16,LightGBM
sentinel2_ndvi_mean_100m,16,LightGBM
modis_lst_diurnal_range_median_c_250m,16,LightGBM
sentinel2_ndvi_mean_250m,15,LightGBM
s5p_no2_trop_median_1000m,15,LightGBM
sentinel2_valid_pixels_500m,15,LightGBM
worldpop_density_500m,13,LightGBM
s5p_no2_trop_median_100m,12,LightGBM
s5p_no2_trop_median_500m,12,LightGBM
season_encoded,9,LightGBM
s5p_valid_obs_count_100m,9,LightGBM
s5p_valid_obs_count_250m,9,LightGBM
s5p_no2_total_median_250m,8,LightGBM
modis_lst_night_median_c_250m,7,LightGBM
worldcover_2021_water_frac_250m,7,LightGBM
worldpop_density_1000m,5,LightGBM
worldcover_2021_grass_frac_100m,5,LightGBM
worldcover_2021_water_frac_500m,4,LightGBM
worldcover_2021_water_frac_100m,1,LightGBM
s5p_no2_trop_median_250m,0,LightGBM
