feature,importance,model
era5_blh_mean,0.07407631800742188,Random Forest
era5_temp_mean,0.06323220547118227,Random Forest
month_cos,0.05870498765886638,Random Forest
modis_lst_day_median_c_500m,0.04574523972908166,Random Forest
modis_lst_day_median_c_1000m,0.04558488784073456,Random Forest
modis_lst_day_mean_c_500m,0.03887057909088962,Random Forest
modis_lst_night_mean_c_1000m,0.03507823879768486,Random Forest
modis_lst_day_median_c_250m,0.03350158625683457,Random Forest
modis_lst_day_mean_c_100m,0.03315805533735818,Random Forest
modis_lst_night_median_c_500m,0.03139978457083796,Random Forest
modis_lst_day_mean_c_1000m,0.02976693440149266,Random Forest
modis_lst_day_median_c_100m,0.028826620504773175,Random Forest
modis_lst_night_median_c_250m,0.02831034797306187,Random Forest
modis_lst_night_mean_c_250m,0.028093800490587014,Random Forest
modis_lst_day_mean_c_250m,0.0259045254894525,Random Forest
modis_lst_night_median_c_100m,0.02574246657463877,Random Forest
modis_lst_night_mean_c_100m,0.025696114592560552,Random Forest
season_encoded,0.025323016584594488,Random Forest
modis_lst_night_mean_c_500m,0.020864786447232397,Random Forest
month,0.02085070086912472,Random Forest
month_sin,0.016393110701258262,Random Forest
modis_lst_night_median_c_1000m,0.014338107367870202,Random Forest
sentinel2_evi_std_1000m,0.01302802425563671,Random Forest
era5_rh_mean,0.012673614976984306,Random Forest
sentinel2_evi_std_500m,0.009831334513318506,Random Forest
s5p_no2_trop_mean_250m,0.00715667690819736,Random Forest
s5p_no2_trop_mean_500m,0.006931814627840319,Random Forest
s5p_no2_trop_median_1000m,0.006440352888757487,Random Forest
s5p_no2_trop_median_500m,0.006350387914481615,Random Forest
sentinel2_evi_std_250m,0.005588452605319972,Random Forest
era5_wind_speed_mean,0.0051552757166658456,Random Forest
s5p_no2_total_median_1000m,0.004907080654482646,Random Forest
s5p_no2_total_mean_250m,0.00471052870632061,Random Forest
s5p_no2_trop_mean_1000m,0.004486850146682188,Random Forest
s5p_no2_trop_mean_100m,0.004449045790933633,Random Forest
s5p_no2_trop_median_250m,0.0039603167475038914,Random Forest
modis_evi_mean_1000m,0.003799898696172065,Random Forest
sentinel2_evi_mean_250m,0.003632429454552132,Random Forest
s5p_no2_total_median_250m,0.0035909601314858225,Random Forest
s5p_no2_trop_median_100m,0.003454173757330608,Random Forest
modis_ndvi_mean_1000m,0.0033248704052375525,Random Forest
s5p_no2_total_mean_500m,0.0032427432201583913,Random Forest
modis_evi_median_1000m,0.00313847776835419,Random Forest
s5p_no2_total_mean_1000m,0.002706469065066977,Random Forest
modis_evi_mean_500m,0.0027044657548471428,Random Forest
s5p_no2_total_median_500m,0.002561037174351828,Random Forest
road_density_500m,0.002519326526121205,Random Forest
modis_evi_median_250m,0.0024985958653228764,Random Forest
modis_lst_diurnal_range_mean_c_1000m,0.0024543522086759666,Random Forest
modis_evi_median_500m,0.0024410652052076313,Random Forest
modis_ndvi_median_1000m,0.002387851481310494,Random Forest
modis_evi_mean_250m,0.0022211102274723718,Random Forest
modis_ndvi_mean_500m,0.0022057883179940237,Random Forest
sentinel2_evi_median_250m,0.0021927885163751646,Random Forest
modis_lst_diurnal_range_median_c_100m,0.00214110827200784,Random Forest
s5p_no2_total_mean_100m,0.001974678396481785,Random Forest
modis_evi_mean_100m,0.0019716955256790128,Random Forest
modis_ndvi_median_250m,0.001967191606119757,Random Forest
s5p_no2_total_median_100m,0.0019474631795695554,Random Forest
modis_lst_diurnal_range_mean_c_250m,0.001872729288790443,Random Forest
modis_ndvi_mean_250m,0.0018391622625887438,Random Forest
modis_ndvi_mean_100m,0.0017903126743905654,Random Forest
