feature,importance,model
era5_rh_mean,18.732768271693544,Ridge
road_density_500m,12.749689131281587,Ridge
latitude,12.561310012826752,Ridge
season_encoded,9.617462363233361,Ridge
era5_blh_mean,8.38773212405758,Ridge
worldpop_density_1000m,8.359964476171914,Ridge
month_sin,8.191291945832619,Ridge
worldcover_2021_grass_frac_1000m,7.933506057347802,Ridge
month,7.552715437652855,Ridge
worldcover_2021_built_frac_500m,7.289503256102264,Ridge
sentinel2_valid_pixels_500m,7.133320028868778,Ridge
sentinel2_ndwi_mean_500m,7.045852675850169,Ridge
worldpop_density_250m,6.944906929528018,Ridge
modis_lst_night_mean_c_1000m,6.938946807684686,Ridge
major_road_density_1000m,6.781633257992947,Ridge
sentinel2_ndwi_median_1000m,6.731623104462727,Ridge
sentinel2_ndwi_std_1000m,6.459409005039398,Ridge
worldcover_2021_water_frac_1000m,6.2496972027451,Ridge
worldcover_2021_grass_frac_500m,6.215801395816225,Ridge
s5p_valid_obs_count_100m,5.87557452551827,Ridge
sentinel2_ndvi_std_250m,5.21884188736455,Ridge
sentinel2_ndvi_mean_250m,5.03981390754398,Ridge
modis_lst_diurnal_range_median_c_100m,4.891223220686449,Ridge
modis_lst_night_median_c_1000m,4.774947449893407,Ridge
sentinel2_ndvi_median_1000m,4.767539695750956,Ridge
modis_ndvi_mean_1000m,4.751866412611737,Ridge
sentinel2_ndvi_mean_1000m,4.733398080479863,Ridge
sentinel2_evi_mean_250m,4.708706209890337,Ridge
worldcover_2021_grass_frac_250m,4.6527211717686985,Ridge
sentinel2_ndwi_mean_100m,4.622551281915928,Ridge
sentinel2_ndwi_mean_1000m,4.53618099117507,Ridge
worldcover_2021_built_frac_100m,4.518006517193977,Ridge
modis_lst_night_mean_c_500m,4.479915804762481,Ridge
worldcover_2021_water_frac_250m,4.446337246207221,Ridge
sentinel2_ndvi_std_100m,4.411066369321006,Ridge
sentinel2_ndvi_std_500m,4.310890717452604,Ridge
modis_evi_median_1000m,4.303262492753076,Ridge
sentinel2_ndwi_std_250m,4.258348108780943,Ridge
era5_wind_speed_mean,4.216474121048849,Ridge
sentinel2_evi_median_250m,4.011759123038599,Ridge
modis_lst_night_mean_c_250m,3.995483511246482,Ridge
modis_ndvi_median_100m,3.9224788686516154,Ridge
modis_lst_diurnal_range_median_c_250m,3.8965100278495624,Ridge
modis_ndvi_median_1000m,3.8729785629102125,Ridge
modis_evi_std_500m,3.865278282491879,Ridge
road_density_100m,3.809177050279474,Ridge
sentinel2_ndvi_std_1000m,3.734853811128167,Ridge
s5p_no2_trop_median_250m,3.7294361422720494,Ridge
sentinel2_valid_pixels_250m,3.7130678179260133,Ridge
s5p_no2_total_std_100m,3.5809264378332277,Ridge
modis_evi_median_500m,3.528693540070348,Ridge
s5p_no2_total_median_250m,3.4541848769905434,Ridge
modis_lst_diurnal_range_mean_c_500m,3.45154830703551,Ridge
modis_evi_mean_500m,3.4003333159855837,Ridge
sentinel2_ndvi_median_250m,3.2908715420750427,Ridge
s5p_no2_trop_median_500m,3.283870992881508,Ridge
modis_ndvi_mean_250m,3.2104731695859137,Ridge
modis_evi_mean_1000m,3.1458427798854456,Ridge
s5p_valid_obs_count_500m,3.0254538781835745,Ridge
sentinel2_evi_median_500m,3.0007433391727054,Ridge
worldcover_2021_built_frac_1000m,2.9023692899033815,Ridge
sentinel2_ndwi_median_500m,2.901013131387091,Ridge
road_density_1000m,2.8853319890693734,Ridge
modis_ndvi_mean_100m,2.8579337166906598,Ridge
modis_ndvi_std_500m,2.83045596348639,Ridge
gradient_ndvi_1000_100,2.5915626615189,Ridge
modis_ndvi_std_250m,2.588999182441716,Ridge
modis_evi_std_1000m,2.457268691684821,Ridge
s5p_no2_total_mean_500m,2.4255876650168573,Ridge
sentinel2_ndvi_median_500m,2.420029107665135,Ridge
modis_lst_night_mean_c_100m,2.408624464294485,Ridge
worldcover_2021_built_frac_250m,2.380424947319727,Ridge
worldcover_2021_water_frac_100m,2.3713043039585915,Ridge
worldcover_2021_water_frac_500m,2.3654051117324264,Ridge
modis_evi_mean_100m,2.3501182350564482,Ridge
s5p_no2_total_median_1000m,2.3427236256139334,Ridge
modis_lst_night_median_c_500m,2.2236586086058283,Ridge
modis_evi_mean_250m,2.2080303939764994,Ridge
worldcover_2021_grass_frac_100m,2.135276903294894,Ridge
modis_ndvi_median_250m,2.0969860100643927,Ridge
s5p_no2_trop_median_100m,2.047193053902128,Ridge
modis_lst_diurnal_range_median_c_1000m,2.04035459471927,Ridge
s5p_no2_trop_mean_1000m,2.0235376259256657,Ridge
modis_lst_diurnal_range_mean_c_100m,2.0200602034900763,Ridge
sentinel2_ndwi_std_100m,2.0152557576139203,Ridge
modis_evi_std_100m,2.010193944170779,Ridge
modis_ndvi_median_500m,1.9813642087687595,Ridge
s5p_valid_obs_count_250m,1.9347314285486605,Ridge
s5p_no2_trop_mean_100m,1.9218387607168224,Ridge
sentinel2_valid_pixels_1000m,1.8495853688821462,Ridge
sentinel2_ndvi_min_250m,1.8361728790538125,Ridge
sentinel2_evi_median_100m,1.8191527146099575,Ridge
sentinel2_ndvi_mean_500m,1.8025391953507288,Ridge
longitude,1.7845248974790306,Ridge
worldcover_2021_cropland_frac_250m,1.7609435650306613,Ridge
modis_lst_night_median_c_250m,1.601332170803319,Ridge
worldcover_2021_cropland_frac_500m,1.59501234171722,Ridge
gradient_no2_1000_100,1.5946810767307018,Ridge
sentinel2_ndwi_median_250m,1.574542716243726,Ridge
s5p_no2_total_mean_250m,1.4866758145650798,Ridge
sentinel2_ndvi_median_100m,1.4840782469063227,Ridge
worldcover_2021_cropland_frac_1000m,1.472156187100472,Ridge
modis_lst_night_median_c_100m,1.4403642526306228,Ridge
modis_lst_night_std_c_1000m,1.4362671556167892,Ridge
sentinel2_ndvi_min_500m,1.3874195119545691,Ridge
sentinel2_ndvi_max_1000m,1.2990529893159197,Ridge
sentinel2_evi_std_250m,1.2871930705090164,Ridge
s5p_no2_trop_std_250m,1.2743588663369685,Ridge
modis_lst_night_std_c_250m,1.2507214799066833,Ridge
sentinel2_valid_pixels_100m,1.249221168000765,Ridge
s5p_no2_trop_std_100m,1.216515949787115,Ridge
worldcover_2021_cropland_frac_100m,1.1918415368719908,Ridge
s5p_no2_total_std_500m,1.159203858457304,Ridge
modis_lst_diurnal_range_mean_c_1000m,1.1361878019403286,Ridge
modis_evi_std_250m,1.1343250989979463,Ridge
year,1.121452425826789,Ridge
worldpop_density_500m,1.069255182266711,Ridge
modis_lst_diurnal_range_median_c_500m,1.008882719510913,Ridge
sentinel2_ndvi_max_250m,0.9538329442487605,Ridge
modis_lst_day_median_c_1000m,0.9475482302478125,Ridge
modis_lst_night_std_c_500m,0.946196726248362,Ridge
era5_temp_mean,0.8995245437764532,Ridge
modis_ndvi_mean_500m,0.8957686141938546,Ridge
sentinel2_ndvi_mean_100m,0.8095210226678605,Ridge
s5p_no2_total_mean_1000m,0.808038302942252,Ridge
s5p_no2_trop_median_1000m,0.7912898227468703,Ridge
s5p_no2_total_median_500m,0.7909417127153237,Ridge
s5p_no2_trop_std_1000m,0.7739932641356809,Ridge
s5p_no2_total_mean_100m,0.7559288156517046,Ridge
modis_evi_median_250m,0.7414884245487541,Ridge
modis_lst_day_std_c_250m,0.7395054842471589,Ridge
sentinel2_ndvi_max_100m,0.7390369461544003,Ridge
s5p_no2_total_std_250m,0.7273341260839715,Ridge
s5p_no2_trop_mean_250m,0.6882467294792539,Ridge
sentinel2_ndwi_median_100m,0.6803321757800421,Ridge
month_cos,0.6748757070195567,Ridge
sentinel2_evi_mean_1000m,0.6539981547308319,Ridge
modis_lst_diurnal_range_mean_c_250m,0.5822463320470784,Ridge
modis_ndvi_std_100m,0.5781703312908917,Ridge
s5p_no2_trop_std_500m,0.5577970627788789,Ridge
sentinel2_ndvi_min_100m,0.5481946923269346,Ridge
modis_evi_median_100m,0.5355145401076479,Ridge
modis_lst_day_std_c_500m,0.4999400359624875,Ridge
sentinel2_ndvi_min_1000m,0.4664404539942901,Ridge
s5p_no2_trop_mean_500m,0.4362859216098098,Ridge
sentinel2_evi_median_1000m,0.39982747583431927,Ridge
