split,station,rows,mean_pm25
test,Alipur,12,166.68916666666667
test,Anand_Vihar,12,212.01916666666668
test,Ashok_Vihar,12,181.88750000000002
test,Aya_Nagar,12,131.81333333333333
test,Bawana,12,201.80499999999998
test,Burari_Crossing,11,163.10818181818183
test,Chandni_Chowk,8,101.04125
test,DTU,12,111.55666666666667
test,Dr._Karni_Singh_Shooting_Range,12,167.67583333333332
test,Dwarka-Sector_8,12,180.26916666666668
test,IGI_Airport_(T3),12,145.22083333333333
test,IHBAS_Dilshad_Garden,12,117.60000000000001
test,IMD_Lodhi_Road,11,118.99181818181819
test,ITO,12,167.9675
test,Jahangirpuri,9,211.6688888888889
test,Jawaharlal_Nehru_Stadium,8,149.32
test,Major_Dhyan_Chand_National_Stadium,8,159.09625
test,Mandir_Marg,8,145.27625
test,Mundka,8,195.96625
test,Najafgarh,8,142.63125
test,Narela,8,182.64
test,Nehru_Nagar,8,191.36625
test,North_Campus_DU,8,168.07999999999998
test,Okhla_Phase-2,8,162.88875
test,Patparganj,8,177.04875
test,Punjabi_Bagh,8,186.83
test,R_K_Puram,8,178.83375
test,Rohini,8,193.805
test,Shadipur,8,153.81875
test,Sirifort,8,154.0075
test,Sonia_Vihar,8,185.05875
test,Sri_Aurobindo_Marg,8,128.62
test,Vivek_Vihar,8,183.9025
test,Wazirpur,8,205.46875
train,Alipur,36,77.86194444444445
train,Anand_Vihar,36,97.58694444444444
train,Ashok_Vihar,36,78.15249999999999
train,Aya_Nagar,36,60.300000000000004
train,Bawana,36,93.99166666666666
train,Burari_Crossing,36,85.46138888888889
train,Chandni_Chowk,27,79.54111111111112
train,DTU,36,68.41833333333334
train,Dr._Karni_Singh_Shooting_Range,36,70.54722222222222
train,Dwarka-Sector_8,36,78.95277777777778
train,IGI_Airport_(T3),36,63.44833333333333
train,IHBAS_Dilshad_Garden,36,66.26027777777777
train,IIT_Delhi,1,160.7
train,IMD_Lodhi_Road,36,63.42555555555556
train,ITO,36,80.53972222222222
train,Jahangirpuri,39,107.1348717948718
train,Jawaharlal_Nehru_Stadium,40,75.465
train,Major_Dhyan_Chand_National_Stadium,40,86.38075
train,Mandir_Marg,40,78.65599999999999
train,Mundka,40,103.3835
train,Najafgarh,40,68.829
train,Narela,40,93.87275
train,Nehru_Nagar,40,101.03450000000001
train,North_Campus_DU,40,82.34375
train,Okhla_Phase-2,40,84.264
train,Patparganj,40,90.68825
train,Punjabi_Bagh,40,100.2955
train,R_K_Puram,40,99.08324999999999
train,Rohini,40,98.23049999999999
train,Shadipur,40,97.9615
train,Sirifort,37,88.04567567567568
train,Sonia_Vihar,40,88.55425
train,Sri_Aurobindo_Marg,40,72.8635
train,Vivek_Vihar,40,95.55225
train,Wazirpur,40,104.84774999999999
