dimension,group,subset,count,fraction
overall,all,train,1344,0.8322
overall,all,test,271,0.1678
year,2022,train,336,0.8317
year,2022,test,68,0.1683
year,2023,train,335,0.8333
year,2023,test,67,0.1667
year,2024,train,333,0.8304
year,2024,test,68,0.1696
year,2025,train,340,0.8333
year,2025,test,68,0.1667
month,1,train,135,1.0
month,1,test,0,0.0
month,2,train,134,1.0
month,2,test,0,0.0
month,3,train,135,1.0
month,3,test,0,0.0
month,4,train,1,0.0074
month,4,test,134,0.9926
month,5,train,136,1.0
month,5,test,0,0.0
month,6,train,135,0.9926
month,6,test,1,0.0074
month,7,train,0,0.0
month,7,test,133,1.0
month,8,train,133,0.9925
month,8,test,1,0.0075
month,9,train,134,1.0
month,9,test,0,0.0
month,10,train,132,0.9925
month,10,test,1,0.0075
month,11,train,133,0.9925
month,11,test,1,0.0075
month,12,train,136,1.0
month,12,test,0,0.0
season,Winter,train,405,1.0
season,Winter,test,0,0.0
season,Summer,train,272,0.67
season,Summer,test,134,0.33
season,Monsoon,train,268,0.665
season,Monsoon,test,135,0.335
season,Post-monsoon,train,399,0.995
season,Post-monsoon,test,2,0.005
station,Alipur,train,40,0.8333
station,Alipur,test,8,0.1667
station,Anand_Vihar,train,40,0.8333
station,Anand_Vihar,test,8,0.1667
station,Ashok_Vihar,train,40,0.8333
station,Ashok_Vihar,test,8,0.1667
station,Aya_Nagar,train,40,0.8333
station,Aya_Nagar,test,8,0.1667
station,Bawana,train,40,0.8333
station,Bawana,test,8,0.1667
station,Burari_Crossing,train,39,0.8298
station,Burari_Crossing,test,8,0.1702
station,Chandni_Chowk,train,28,0.8
station,Chandni_Chowk,test,7,0.2
station,DTU,train,40,0.8333
station,DTU,test,8,0.1667
station,Dr._Karni_Singh_Shooting_Range,train,40,0.8333
station,Dr._Karni_Singh_Shooting_Range,test,8,0.1667
station,Dwarka-Sector_8,train,40,0.8333
station,Dwarka-Sector_8,test,8,0.1667
station,IGI_Airport_(T3),train,40,0.8333
station,IGI_Airport_(T3),test,8,0.1667
station,IHBAS_Dilshad_Garden,train,40,0.8333
station,IHBAS_Dilshad_Garden,test,8,0.1667
station,IIT_Delhi,train,1,1.0
station,IIT_Delhi,test,0,0.0
station,IMD_Lodhi_Road,train,39,0.8298
station,IMD_Lodhi_Road,test,8,0.1702
station,ITO,train,40,0.8333
station,ITO,test,8,0.1667
station,Jahangirpuri,train,40,0.8333
station,Jahangirpuri,test,8,0.1667
station,Jawaharlal_Nehru_Stadium,train,40,0.8333
station,Jawaharlal_Nehru_Stadium,test,8,0.1667
station,Major_Dhyan_Chand_National_Stadium,train,40,0.8333
station,Major_Dhyan_Chand_National_Stadium,test,8,0.1667
station,Mandir_Marg,train,40,0.8333
station,Mandir_Marg,test,8,0.1667
station,Mundka,train,40,0.8333
station,Mundka,test,8,0.1667
station,Najafgarh,train,40,0.8333
station,Najafgarh,test,8,0.1667
station,Narela,train,40,0.8333
station,Narela,test,8,0.1667
station,Nehru_Nagar,train,40,0.8333
station,Nehru_Nagar,test,8,0.1667
station,North_Campus_DU,train,40,0.8333
station,North_Campus_DU,test,8,0.1667
station,Okhla_Phase-2,train,40,0.8333
station,Okhla_Phase-2,test,8,0.1667
station,Patparganj,train,40,0.8333
station,Patparganj,test,8,0.1667
station,Punjabi_Bagh,train,40,0.8333
station,Punjabi_Bagh,test,8,0.1667
station,R_K_Puram,train,40,0.8333
station,R_K_Puram,test,8,0.1667
station,Rohini,train,40,0.8333
station,Rohini,test,8,0.1667
station,Shadipur,train,40,0.8333
station,Shadipur,test,8,0.1667
station,Sirifort,train,37,0.8222
station,Sirifort,test,8,0.1778
station,Sonia_Vihar,train,40,0.8333
station,Sonia_Vihar,test,8,0.1667
station,Sri_Aurobindo_Marg,train,40,0.8333
station,Sri_Aurobindo_Marg,test,8,0.1667
station,Vivek_Vihar,train,40,0.8333
station,Vivek_Vihar,test,8,0.1667
station,Wazirpur,train,40,0.8333
station,Wazirpur,test,8,0.1667
