treatment,fold,n,n_stations,theta_fold,t_residual_sd
sentinel2_ndvi_mean_1000m,0,232,7,14.407162207498347,0.04439416642871818
sentinel2_ndvi_mean_1000m,1,268,7,-88.67354449223704,0.06334707757222598
sentinel2_ndvi_mean_1000m,2,268,7,1.393829786693743,0.06724919792937473
sentinel2_ndvi_mean_1000m,3,266,7,-19.45707411291296,0.11684374163249608
sentinel2_ndvi_mean_1000m,4,258,7,1.848576947832346,0.06601644900201341
sentinel2_ndvi_mean_500m,0,232,7,-63.716188394402636,0.05708681631717368
sentinel2_ndvi_mean_500m,1,268,7,37.902848547298625,0.07817582341539503
sentinel2_ndvi_mean_500m,2,268,7,-71.91688257023048,0.08753241738255155
sentinel2_ndvi_mean_500m,3,266,7,-4.106039387428447,0.14798947154463127
sentinel2_ndvi_mean_500m,4,258,7,37.593490587046,0.07903112053380514
modis_ndvi_mean_1000m,0,232,7,-12.766063052930297,0.0531809284594656
modis_ndvi_mean_1000m,1,268,7,-36.74616661918798,0.06206186730980037
modis_ndvi_mean_1000m,2,268,7,-8.848016834094397,0.06797091942963807
modis_ndvi_mean_1000m,3,266,7,-19.73798421744712,0.10467303883558562
modis_ndvi_mean_1000m,4,258,7,-3.2159914471430993,0.05373723222154354
