treatment,fold,n_rows,y_rmse,y_mae,y_r2,t_rmse,t_mae,t_r2,pm25_band_accuracy,residual_orthogonality_corr,mean_orthogonal_score
modis_ndvi_mean_1000m,0,232,18.916861813449795,13.561040873913557,0.925809478299715,0.057977432302346595,0.042837636397405884,0.741520936302839,0.7413793103448276,-0.1264479951418542,0.016309947354470576
modis_ndvi_mean_1000m,1,268,33.120338257172115,20.87434840476122,0.7733008885625667,0.07347309225676871,0.05682309805180252,0.4334259942856251,0.6231343283582089,-0.1138794046244061,-0.10325831827920622
modis_ndvi_mean_1000m,2,268,23.835725208896655,14.830511754843942,0.851958955345339,0.06788566384058507,0.05054332758985939,0.6162653831158387,0.75,-0.025814143532035216,0.04041714776860968
modis_ndvi_mean_1000m,3,266,18.841939730571127,13.106204529669695,0.9215537296506606,0.10664641698371219,0.08288833183293938,-0.037959596504976156,0.6992481203007519,-0.0999409815268808,-0.024109079794653883
modis_ndvi_mean_1000m,4,258,26.94770690802684,17.97927582182101,0.8356722146480329,0.07238762841244785,0.06210998302167446,0.5111338074027266,0.6627906976744186,0.03865576609067202,0.07546721370535144
sentinel2_ndvi_mean_1000m,0,232,18.916861813449795,13.561040873913557,0.925809478299715,0.05416783021543676,0.04099655989960199,0.8101197978689094,0.7413793103448276,-0.08130879975755896,0.10441930349037186
sentinel2_ndvi_mean_1000m,1,268,33.120338257172115,20.87434840476122,0.7733008885625667,0.07501291659504225,0.057214476869120054,0.44568423419027015,0.6231343283582089,-0.2555227150317938,-0.37977986675642367
sentinel2_ndvi_mean_1000m,2,268,23.835725208896655,14.830511754843942,0.851958955345339,0.06931575244704041,0.05676877136548764,0.6207902200863931,0.75,-0.00018903428860469473,0.10846167598657042
sentinel2_ndvi_mean_1000m,3,266,18.841939730571127,13.106204529669695,0.9215537296506606,0.11747465968535725,0.08950333167689939,-0.019481851228325464,0.6992481203007519,-0.11400331910519501,0.023782037704270165
sentinel2_ndvi_mean_1000m,4,258,26.94770690802684,17.97927582182101,0.8356722146480329,0.08423906702631269,0.07292385843265867,0.34756407046701343,0.6627906976744186,0.05163400837499046,0.16341850653960677
sentinel2_ndvi_mean_500m,0,232,18.916861813449795,13.561040873913557,0.925809478299715,0.0573721355369487,0.046095639021011985,0.8279789172727201,0.7413793103448276,-0.17544172910183795,-0.1865309739275089
sentinel2_ndvi_mean_500m,1,268,33.120338257172115,20.87434840476122,0.7733008885625667,0.08007197319681368,0.06738882336970667,0.423158403316807,0.6231343283582089,0.08787120312727702,0.28819527541104245
sentinel2_ndvi_mean_500m,2,268,23.835725208896655,14.830511754843942,0.851958955345339,0.0984683655340718,0.07559851865338446,0.4236519169819597,0.75,-0.3260617656969754,-0.6289820609430875
sentinel2_ndvi_mean_500m,3,266,18.841939730571127,13.106204529669695,0.9215537296506606,0.1825680760284067,0.13364921361243887,-1.1407178566242142,0.6992481203007519,0.001681602836217792,0.09801704985560922
sentinel2_ndvi_mean_500m,4,258,26.94770690802684,17.97927582182101,0.8356722146480329,0.09707531703472072,0.06957334450259532,0.1214146888477633,0.6627906976744186,0.20676016929025348,0.42067251632627173
