split,station,n_rows,pm25_missing_pct,sentinel2_ndvi_mean_1000m_missing_pct,sentinel2_ndvi_mean_500m_missing_pct,modis_ndvi_mean_1000m_missing_pct
test,Alipur,10,0.0,0.0,0.0,0.0
test,Anand_Vihar,10,0.0,0.0,0.0,0.0
test,Ashok_Vihar,10,0.0,0.0,0.0,0.0
test,Aya_Nagar,10,0.0,0.0,0.0,0.0
test,Bawana,10,0.0,0.0,0.0,0.0
test,Burari_Crossing,9,0.0,0.0,0.0,0.0
test,Chandni_Chowk,7,0.0,0.0,0.0,0.0
test,DTU,10,0.0,0.0,0.0,0.0
test,Dr._Karni_Singh_Shooting_Range,10,0.0,0.0,0.0,0.0
test,Dwarka-Sector_8,10,0.0,0.0,0.0,0.0
test,IGI_Airport_(T3),10,0.0,0.0,0.0,0.0
test,IHBAS_Dilshad_Garden,10,0.0,0.0,0.0,0.0
test,IMD_Lodhi_Road,9,0.0,0.0,0.0,0.0
test,ITO,10,0.0,0.0,0.0,0.0
test,Jahangirpuri,10,0.0,0.0,0.0,0.0
test,Jawaharlal_Nehru_Stadium,10,0.0,0.0,0.0,0.0
test,Major_Dhyan_Chand_National_Stadium,10,0.0,0.0,0.0,0.0
test,Mandir_Marg,10,0.0,0.0,0.0,0.0
test,Mundka,10,0.0,0.0,0.0,0.0
test,Najafgarh,10,0.0,0.0,0.0,0.0
test,Narela,10,0.0,0.0,0.0,0.0
test,Nehru_Nagar,10,0.0,0.0,0.0,0.0
test,North_Campus_DU,9,0.0,0.0,0.0,0.0
test,Okhla_Phase-2,9,0.0,0.0,0.0,0.0
test,Patparganj,9,0.0,0.0,0.0,0.0
test,Punjabi_Bagh,9,0.0,0.0,0.0,0.0
test,R_K_Puram,9,0.0,0.0,0.0,0.0
test,Rohini,9,0.0,0.0,0.0,0.0
test,Shadipur,9,0.0,0.0,0.0,0.0
test,Sirifort,9,0.0,0.0,0.0,0.0
test,Sonia_Vihar,9,0.0,0.0,0.0,0.0
test,Sri_Aurobindo_Marg,9,0.0,0.0,0.0,0.0
test,Vivek_Vihar,9,0.0,0.0,0.0,0.0
test,Wazirpur,9,0.0,0.0,0.0,0.0
train,Alipur,38,0.0,0.0,0.0,0.0
train,Anand_Vihar,38,0.0,0.0,0.0,0.0
train,Ashok_Vihar,38,0.0,0.0,0.0,0.0
train,Aya_Nagar,38,0.0,0.0,0.0,0.0
train,Bawana,38,0.0,0.0,0.0,0.0
train,Burari_Crossing,38,0.0,0.0,0.0,0.0
train,Chandni_Chowk,28,0.0,0.0,0.0,0.0
train,DTU,38,0.0,0.0,0.0,0.0
train,Dr._Karni_Singh_Shooting_Range,38,0.0,0.0,0.0,0.0
train,Dwarka-Sector_8,38,0.0,0.0,0.0,0.0
train,IGI_Airport_(T3),38,0.0,0.0,0.0,0.0
train,IHBAS_Dilshad_Garden,38,0.0,0.0,0.0,0.0
train,IIT_Delhi,1,0.0,0.0,0.0,0.0
train,IMD_Lodhi_Road,38,0.0,0.0,0.0,0.0
train,ITO,38,0.0,0.0,0.0,0.0
train,Jahangirpuri,38,0.0,0.0,0.0,0.0
train,Jawaharlal_Nehru_Stadium,38,0.0,0.0,0.0,0.0
train,Major_Dhyan_Chand_National_Stadium,38,0.0,0.0,0.0,0.0
train,Mandir_Marg,38,0.0,0.0,0.0,0.0
train,Mundka,38,0.0,0.0,0.0,0.0
train,Najafgarh,38,0.0,0.0,0.0,0.0
train,Narela,38,0.0,0.0,0.0,0.0
train,Nehru_Nagar,38,0.0,0.0,0.0,0.0
train,North_Campus_DU,39,0.0,0.0,0.0,0.0
train,Okhla_Phase-2,39,0.0,0.0,0.0,0.0
train,Patparganj,39,0.0,0.0,0.0,0.0
train,Punjabi_Bagh,39,0.0,0.0,0.0,0.0
train,R_K_Puram,39,0.0,0.0,0.0,0.0
train,Rohini,39,0.0,0.0,0.0,0.0
train,Shadipur,39,0.0,0.0,0.0,0.0
train,Sirifort,36,0.0,0.0,0.0,0.0
train,Sonia_Vihar,39,0.0,0.0,0.0,0.0
train,Sri_Aurobindo_Marg,39,0.0,0.0,0.0,0.0
train,Vivek_Vihar,39,0.0,0.0,0.0,0.0
train,Wazirpur,39,0.0,0.0,0.0,0.0
