fold,holdout_year,holdout_month,n_train,n_holdout,n_train_stations,n_holdout_stations,first_train_period,last_train_period
0,2023,1,323,27,34,27,24265,24276
1,2023,2,350,27,34,27,24265,24277
2,2023,3,377,27,34,27,24265,24278
3,2023,4,404,27,34,27,24265,24279
4,2023,5,431,27,34,27,24265,24280
5,2023,6,458,27,34,27,24265,24281
6,2023,7,485,26,34,26,24265,24282
7,2023,8,511,27,34,27,24265,24283
8,2023,9,538,27,34,27,24265,24284
9,2023,10,565,27,34,27,24265,24285
10,2023,11,592,27,34,27,24265,24286
11,2023,12,619,27,34,27,24265,24287
12,2024,1,646,27,34,27,24265,24288
13,2024,2,673,26,34,26,24265,24289
14,2024,3,699,26,34,26,24265,24290
15,2024,4,725,27,34,27,24265,24291
16,2024,5,752,27,34,27,24265,24292
17,2024,6,779,27,34,27,24265,24293
18,2024,7,806,27,34,27,24265,24294
19,2024,8,833,27,34,27,24265,24295
20,2024,9,860,27,34,27,24265,24296
21,2024,10,887,27,34,27,24265,24297
22,2024,11,914,27,34,27,24265,24298
23,2024,12,941,27,34,27,24265,24299
24,2025,1,968,27,34,27,24265,24300
25,2025,2,995,27,34,27,24265,24301
26,2025,3,1022,27,34,27,24265,24302
27,2025,4,1049,27,34,27,24265,24303
28,2025,5,1076,27,34,27,24265,24304
29,2025,6,1103,27,34,27,24265,24305
30,2025,7,1130,27,34,27,24265,24306
31,2025,8,1157,26,34,26,24265,24307
32,2025,9,1183,27,34,27,24265,24308
33,2025,10,1210,27,34,27,24265,24309
34,2025,11,1237,27,34,27,24265,24310
35,2025,12,1264,28,34,28,24265,24311
