station,year,month,pm25
Alipur,2022,1,128.79
Alipur,2022,2,103.96
Alipur,2022,3,108.41
Alipur,2022,4,127.27
Alipur,2022,5,81.77
Alipur,2022,6,61.81
Alipur,2022,7,33.32
Alipur,2022,8,31.47
Alipur,2022,9,36.89
Alipur,2022,10,113.09
Alipur,2022,11,211.13
Alipur,2022,12,182.23
Alipur,2023,1,155.76
Alipur,2023,2,121.24
Alipur,2023,3,80.09
Alipur,2023,4,76.69
Alipur,2023,5,67.45
Alipur,2023,6,44.41
Alipur,2023,7,32.34
Alipur,2023,8,35.82
Alipur,2023,9,35.55
Alipur,2023,10,94.49
Alipur,2023,11,228.48
Alipur,2023,12,198.96
Alipur,2024,1,167.47
Alipur,2024,2,83.26
Alipur,2024,3,70.84
Alipur,2024,4,65.78
Alipur,2024,5,87.37
Alipur,2024,6,53.35
Alipur,2024,7,38.88
Alipur,2024,8,22.48
Alipur,2024,9,41.13
Alipur,2024,10,127.49
Alipur,2024,11,273.88
Alipur,2024,12,177.27
Alipur,2025,1,166.65
Alipur,2025,2,102.29
Alipur,2025,3,80.88
Alipur,2025,4,93.56
Alipur,2025,5,82.31
Alipur,2025,6,53.72
Alipur,2025,7,24.61
Alipur,2025,8,28.67
Alipur,2025,9,37.63
Alipur,2025,10,102.63
Alipur,2025,11,230.41
Alipur,2025,12,199.32
Anand_Vihar,2022,1,230.33
Anand_Vihar,2022,2,152.63
Anand_Vihar,2022,3,112.11
Anand_Vihar,2022,4,136.74
Anand_Vihar,2022,5,87.93
Anand_Vihar,2022,6,80.25
Anand_Vihar,2022,7,41.75
Anand_Vihar,2022,8,40.91
Anand_Vihar,2022,9,52.76
Anand_Vihar,2022,10,132.83
Anand_Vihar,2022,11,203.8
Anand_Vihar,2022,12,220.68
Anand_Vihar,2023,1,226.2
Anand_Vihar,2023,2,137.86
Anand_Vihar,2023,3,99.13
Anand_Vihar,2023,4,91.27
Anand_Vihar,2023,5,82.1
Anand_Vihar,2023,6,55.56
Anand_Vihar,2023,7,37.66
Anand_Vihar,2023,8,62.31
Anand_Vihar,2023,9,53.5
Anand_Vihar,2023,10,132.38
Anand_Vihar,2023,11,280.67
Anand_Vihar,2023,12,240.59
Anand_Vihar,2024,1,252.19
Anand_Vihar,2024,2,121.33
Anand_Vihar,2024,3,86.72
Anand_Vihar,2024,4,87.61
Anand_Vihar,2024,5,117.94
Anand_Vihar,2024,6,74.91
Anand_Vihar,2024,7,52.13
Anand_Vihar,2024,8,44.31
Anand_Vihar,2024,9,88.87
Anand_Vihar,2024,10,151.28
Anand_Vihar,2024,11,313.15
Anand_Vihar,2024,12,211.62
Anand_Vihar,2025,1,228.97
Anand_Vihar,2025,2,128.02
Anand_Vihar,2025,3,81.45
Anand_Vihar,2025,4,84.09
Anand_Vihar,2025,5,71.44
Anand_Vihar,2025,6,50.97
Anand_Vihar,2025,7,38.32
Anand_Vihar,2025,8,51.59
Anand_Vihar,2025,9,59.58
Anand_Vihar,2025,10,134.65
Anand_Vihar,2025,11,257.78
Anand_Vihar,2025,12,276.49
Ashok_Vihar,2022,1,177.62
Ashok_Vihar,2022,2,122.17
Ashok_Vihar,2022,3,98.11
Ashok_Vihar,2022,4,106.28
Ashok_Vihar,2022,5,62.72
Ashok_Vihar,2022,6,52.43
