station,year,raw_rows,clean_rows,duplicates_removed,pm25_valid,pm25_missing_percent,pm10_valid,pm10_missing_percent,date_start,date_end,columns_available
Alipur,2022,8760,8760,0,8501,2.96,8516,2.79,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Alipur,2023,8760,8760,0,8343,4.76,8222,6.14,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Alipur,2024,8784,8784,0,8559,2.56,8547,2.7,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Alipur,2025,8760,8760,0,8499,2.98,8476,3.24,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Anand_Vihar,2022,8760,8760,0,8548,2.42,8522,2.72,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Anand_Vihar,2023,8760,8760,0,8009,8.57,7910,9.7,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Anand_Vihar,2024,8784,8784,0,7250,17.46,7274,17.19,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Anand_Vihar,2025,8760,8760,0,8144,7.03,8152,6.94,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Ashok_Vihar,2022,8760,8760,0,8372,4.43,8435,3.71,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Ashok_Vihar,2023,8760,8760,0,7888,9.95,7504,14.34,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Ashok_Vihar,2024,8784,8784,0,8619,1.88,8629,1.76,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Ashok_Vihar,2025,8760,8760,0,8585,2.0,8589,1.95,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Aya_Nagar,2022,8760,8760,0,8118,7.33,8234,6.0,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Aya_Nagar,2023,8760,8760,0,7883,10.01,8201,6.38,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Aya_Nagar,2024,8784,8784,0,8558,2.57,8644,1.59,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Aya_Nagar,2025,8760,8760,0,8449,3.55,8616,1.64,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Bawana,2022,8760,8760,0,8636,1.42,8648,1.28,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Bawana,2023,8760,8760,0,8345,4.74,8367,4.49,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Bawana,2024,8784,8784,0,8606,2.03,8631,1.74,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Bawana,2025,8760,8760,0,8560,2.28,8575,2.11,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Burari_Crossing,2022,8760,8760,0,5485,37.39,5419,38.14,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Burari_Crossing,2023,8760,8760,0,8130,7.19,8055,8.05,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Burari_Crossing,2024,8784,8784,0,8438,3.94,8483,3.43,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Burari_Crossing,2025,8760,8760,0,8140,7.08,8177,6.66,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Chandni_Chowk,2022,8760,8760,0,4513,48.48,4586,47.65,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Chandni_Chowk,2023,8760,8760,0,2387,72.75,2579,70.56,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Chandni_Chowk,2024,8784,8784,0,3434,60.91,6438,26.71,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
