station,year,status,timestamp_found,pm25_found,pm10_found,column_count,missing_expected_columns,extra_columns
Alipur,2022,available,True,True,True,25,,
Alipur,2023,available,True,True,True,25,,
Alipur,2024,available,True,True,True,25,,
Alipur,2025,available,True,True,True,25,,
Anand_Vihar,2022,available,True,True,True,25,,
Anand_Vihar,2023,available,True,True,True,25,,
Anand_Vihar,2024,available,True,True,True,25,,
Anand_Vihar,2025,available,True,True,True,25,,
Ashok_Vihar,2022,available,True,True,True,25,,
Ashok_Vihar,2023,available,True,True,True,25,,
Ashok_Vihar,2024,available,True,True,True,25,,
Ashok_Vihar,2025,available,True,True,True,25,,
Aya_Nagar,2022,available,True,True,True,25,,
Aya_Nagar,2023,available,True,True,True,25,,
Aya_Nagar,2024,available,True,True,True,25,,
Aya_Nagar,2025,available,True,True,True,25,,
Bawana,2022,available,True,True,True,25,,
Bawana,2023,available,True,True,True,25,,
Bawana,2024,available,True,True,True,25,,
Bawana,2025,available,True,True,True,25,,
Burari_Crossing,2022,available,True,True,True,25,,
Burari_Crossing,2023,available,True,True,True,25,,
Burari_Crossing,2024,available,True,True,True,25,,
Burari_Crossing,2025,available,True,True,True,25,,
Cantonment_Area_ NODATAAVAILABLE,2022,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
Cantonment_Area_ NODATAAVAILABLE,2023,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
Cantonment_Area_ NODATAAVAILABLE,2024,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
