station,year,status,file_path,file_size_bytes,row_count,column_count,duplicate_rows
Alipur,2022,available,data\raw\CPCB\Alipur\2022\2022_hourly.csv,1243215,8760,25,0
Alipur,2023,available,data\raw\CPCB\Alipur\2023\2023_hourly.csv,1287330,8760,25,0
Alipur,2024,available,data\raw\CPCB\Alipur\2024\2024_hourly.csv,1097320,8784,25,0
Alipur,2025,available,data\raw\CPCB\Alipur\2025\2025_hourly.csv,1249128,8760,25,0
Anand_Vihar,2022,available,data\raw\CPCB\Anand_Vihar\2022\2022_hourly.csv,1249302,8760,25,0
Anand_Vihar,2023,available,data\raw\CPCB\Anand_Vihar\2023\2023_hourly.csv,1161540,8760,25,0
Anand_Vihar,2024,available,data\raw\CPCB\Anand_Vihar\2024\2024_hourly.csv,996535,8784,25,0
Anand_Vihar,2025,available,data\raw\CPCB\Anand_Vihar\2025\2025_hourly.csv,1239834,8760,25,0
Ashok_Vihar,2022,available,data\raw\CPCB\Ashok_Vihar\2022\2022_hourly.csv,1247744,8760,25,0
Ashok_Vihar,2023,available,data\raw\CPCB\Ashok_Vihar\2023\2023_hourly.csv,1259545,8760,25,0
Ashok_Vihar,2024,available,data\raw\CPCB\Ashok_Vihar\2024\2024_hourly.csv,1095302,8784,25,0
Ashok_Vihar,2025,available,data\raw\CPCB\Ashok_Vihar\2025\2025_hourly.csv,1262899,8760,25,0
Aya_Nagar,2022,available,data\raw\CPCB\Aya_Nagar\2022\2022_hourly.csv,987936,8760,25,0
Aya_Nagar,2023,available,data\raw\CPCB\Aya_Nagar\2023\2023_hourly.csv,871456,8760,25,0
Aya_Nagar,2024,available,data\raw\CPCB\Aya_Nagar\2024\2024_hourly.csv,747406,8784,25,0
Aya_Nagar,2025,available,data\raw\CPCB\Aya_Nagar\2025\2025_hourly.csv,1004222,8760,25,0
Bawana,2022,available,data\raw\CPCB\Bawana\2022\2022_hourly.csv,1206666,8760,25,0
Bawana,2023,available,data\raw\CPCB\Bawana\2023\2023_hourly.csv,1193078,8760,25,0
Bawana,2024,available,data\raw\CPCB\Bawana\2024\2024_hourly.csv,1104729,8784,25,0
Bawana,2025,available,data\raw\CPCB\Bawana\2025\2025_hourly.csv,1256474,8760,25,0
Burari_Crossing,2022,available,data\raw\CPCB\Burari_Crossing\2022\2022_hourly.csv,928577,8760,25,0
Burari_Crossing,2023,available,data\raw\CPCB\Burari_Crossing\2023\2023_hourly.csv,839440,8760,25,0
Burari_Crossing,2024,available,data\raw\CPCB\Burari_Crossing\2024\2024_hourly.csv,704223,8784,25,0
Burari_Crossing,2025,available,data\raw\CPCB\Burari_Crossing\2025\2025_hourly.csv,981397,8760,25,0
Cantonment_Area_ NODATAAVAILABLE,2022,MISSING_CSV,,0,0,0,0
Cantonment_Area_ NODATAAVAILABLE,2023,MISSING_CSV,,0,0,0,0
Cantonment_Area_ NODATAAVAILABLE,2024,MISSING_CSV,,0,0,0,0
Cantonment_Area_ NODATAAVAILABLE,2025,MISSING_CSV,,0,0,0,0
Chandni_Chowk,2022,available,data\raw\CPCB\Chandni_Chowk\2022\2022_hourly.csv,1056082,8760,25,0
Chandni_Chowk,2023,available,data\raw\CPCB\Chandni_Chowk\2023\2023_hourly.csv,795922,8760,25,0
Chandni_Chowk,2024,available,data\raw\CPCB\Chandni_Chowk\2024\2024_hourly.csv,897106,8784,25,0
Chandni_Chowk,2025,available,data\raw\CPCB\Chandni_Chowk\2025\2025_hourly.csv,1220918,8760,25,0
Commonwealth_Sports_Complex,2022,MISSING_CSV,,0,0,0,0
Commonwealth_Sports_Complex,2023,MISSING_CSV,,0,0,0,0
Commonwealth_Sports_Complex,2024,MISSING_CSV,,0,0,0,0
Commonwealth_Sports_Complex,2025,available,data\raw\CPCB\Commonwealth_Sports_Complex\2025\2025_hourly.csv,823773,8760,25,0
CPRI_Mathura_Road,2022,available,data\raw\CPCB\CPRI_Mathura_Road\2022\2022_hourly.csv,996083,8760,25,0
CPRI_Mathura_Road,2023,available,data\raw\CPCB\CPRI_Mathura_Road\2023\2023_hourly.csv,862388,8760,25,0
CPRI_Mathura_Road,2024,available,data\raw\CPCB\CPRI_Mathura_Road\2024\2024_hourly.csv,654499,8784,25,0
CPRI_Mathura_Road,2025,available,data\raw\CPCB\CPRI_Mathura_Road\2025\2025_hourly.csv,1005018,8760,25,0
Dr._Karni_Singh_Shooting_Range,2022,available,data\raw\CPCB\Dr._Karni_Singh_Shooting_Range\2022\2022_hourly.csv,1258100,8760,25,0
Dr._Karni_Singh_Shooting_Range,2023,available,data\raw\CPCB\Dr._Karni_Singh_Shooting_Range\2023\2023_hourly.csv,1291674,8760,25,0
Dr._Karni_Singh_Shooting_Range,2024,available,data\raw\CPCB\Dr._Karni_Singh_Shooting_Range\2024\2024_hourly.csv,1103982,8784,25,0
Dr._Karni_Singh_Shooting_Range,2025,available,data\raw\CPCB\Dr._Karni_Singh_Shooting_Range\2025\2025_hourly.csv,1261987,8760,25,0
DTU,2022,available,data\raw\CPCB\DTU\2022\2022_hourly.csv,1099946,8760,25,0
DTU,2023,available,data\raw\CPCB\DTU\2023\2023_hourly.csv,1103101,8760,25,0
DTU,2024,available,data\raw\CPCB\DTU\2024\2024_hourly.csv,994578,8784,25,0
DTU,2025,available,data\raw\CPCB\DTU\2025\2025_hourly.csv,1203487,8760,25,0
Dwarka-Sector_8,2022,available,data\raw\CPCB\Dwarka-Sector_8\2022\2022_hourly.csv,1253256,8760,25,0
Dwarka-Sector_8,2023,available,data\raw\CPCB\Dwarka-Sector_8\2023\2023_hourly.csv,1301759,8760,25,0
Dwarka-Sector_8,2024,available,data\raw\CPCB\Dwarka-Sector_8\2024\2024_hourly.csv,1113888,8784,25,0
Dwarka-Sector_8,2025,available,data\raw\CPCB\Dwarka-Sector_8\2025\2025_hourly.csv,1275813,8760,25,0
