station,year,raw_column,normalized_column,total_rows,missing_count,missing_percent
Alipur,2022,Timestamp,Timestamp,8760,0,0.0
Alipur,2022,PM2.5 (µg/m³),PM2.5,8760,259,2.96
Alipur,2022,PM10 (µg/m³),PM10,8760,244,2.79
Alipur,2022,NO (µg/m³),NO,8760,214,2.44
Alipur,2022,NO2 (µg/m³),NO2,8760,215,2.45
Alipur,2022,NOx (ppb),NOx,8760,215,2.45
Alipur,2022,NH3 (µg/m³),NH3,8760,379,4.33
Alipur,2022,SO2 (µg/m³),SO2,8760,560,6.39
Alipur,2022,CO (mg/m³),CO,8760,265,3.03
Alipur,2022,Ozone (µg/m³),Ozone,8760,713,8.14
Alipur,2022,Benzene (µg/m³),Benzene,8760,242,2.76
Alipur,2022,Toluene (µg/m³),Toluene,8760,242,2.76
Alipur,2022,Xylene (µg/m³),Xylene,8760,242,2.76
Alipur,2022,O Xylene (µg/m³),O Xylene,8760,8760,100.0
Alipur,2022,Eth-Benzene (µg/m³),Eth-Benzene,8760,8760,100.0
Alipur,2022,MP-Xylene (µg/m³),MP-Xylene,8760,8760,100.0
Alipur,2022,AT (°C),AT,8760,187,2.13
Alipur,2022,RH (%),RH,8760,181,2.07
Alipur,2022,WS (m/s),WS,8760,8760,100.0
Alipur,2022,WD (deg),WD,8760,181,2.07
Alipur,2022,RF (mm),RF,8760,181,2.07
Alipur,2022,TOT-RF (mm),TOT-RF,8760,0,0.0
Alipur,2022,SR (W/mt2),SR,8760,181,2.07
Alipur,2022,BP (mmHg),BP,8760,184,2.1
Alipur,2022,VWS (m/s),VWS,8760,8760,100.0
Alipur,2023,Timestamp,Timestamp,8760,0,0.0
Alipur,2023,PM2.5 (µg/m³),PM2.5,8760,417,4.76
Alipur,2023,PM10 (µg/m³),PM10,8760,538,6.14
Alipur,2023,NO (µg/m³),NO,8760,409,4.67
Alipur,2023,NO2 (µg/m³),NO2,8760,404,4.61
Alipur,2023,NOx (ppb),NOx,8760,408,4.66
