station,2022,2023,2024,2025
Alipur,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Anand_Vihar,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Ashok_Vihar,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Aya_Nagar,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Bawana,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Burari_Crossing,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
CPRI_Mathura_Road,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Cantonment_Area_ NODATAAVAILABLE,MISSING,MISSING,MISSING,MISSING
Chandni_Chowk,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Commonwealth_Sports_Complex,MISSING,MISSING,MISSING,AVAILABLE
DTU,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Dr._Karni_Singh_Shooting_Range,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Dwarka-Sector_8,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
IGI_Airport_(T3),AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
IGNOU_Maidan_Garhi,MISSING,MISSING,MISSING,AVAILABLE
IHBAS_Dilshad_Garden,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
IIT_Delhi,MISSING,MISSING,MISSING,AVAILABLE
IMD_Lodhi_Road,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
ITO,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
JNU,MISSING,MISSING,MISSING,AVAILABLE
Jahangirpuri,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Jawaharlal_Nehru_Stadium,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Lodhi_Road,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Major_Dhyan_Chand_National_Stadium,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Mandir_Marg,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Mundka,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
NSIT_Dwarka,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
NSUT_Jaffarpur,MISSING,MISSING,MISSING,AVAILABLE
Najafgarh,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Narela,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Nehru_Nagar,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
North_Campus_DU,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Okhla_Phase-2,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Patparganj,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Punjabi_Bagh,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Pusa,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
R_K_Puram,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Rohini,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Shadipur,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Sirifort,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Sonia_Vihar,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Sri_Aurobindo_Marg,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Talkatora_Garden,MISSING,MISSING,MISSING,AVAILABLE
Vivek_Vihar,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
Wazirpur,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
