station,year,status,row_count,first_timestamp,last_timestamp,pm25_valid_obs,pm25_completeness_pct,pm10_valid_obs,pm10_completeness_pct
Alipur,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8501,97.04,8516,97.21
Alipur,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8343,95.24,8222,93.86
Alipur,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8559,97.44,8547,97.3
Alipur,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8499,97.02,8476,96.76
Anand_Vihar,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8548,97.58,8522,97.28
Anand_Vihar,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8009,91.43,7910,90.3
Anand_Vihar,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,7250,82.54,7274,82.81
Anand_Vihar,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8144,92.97,8152,93.06
Ashok_Vihar,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8372,95.57,8435,96.29
Ashok_Vihar,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,7888,90.05,7504,85.66
Ashok_Vihar,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8619,98.12,8629,98.24
Ashok_Vihar,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8585,98.0,8589,98.05
Aya_Nagar,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8118,92.67,8234,94.0
Aya_Nagar,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,7883,89.99,8201,93.62
Aya_Nagar,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8558,97.43,8644,98.41
Aya_Nagar,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8449,96.45,8616,98.36
Bawana,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8636,98.58,8648,98.72
Bawana,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8345,95.26,8367,95.51
Bawana,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8606,97.97,8631,98.26
Bawana,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8560,97.72,8575,97.89
Burari_Crossing,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,5485,62.61,5419,61.86
Burari_Crossing,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8130,92.81,8055,91.95
Burari_Crossing,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8438,96.06,8483,96.57
Burari_Crossing,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8140,92.92,8177,93.34
Cantonment_Area_ NODATAAVAILABLE,2022,MISSING_CSV,0,,,0,0.0,0,0.0
Cantonment_Area_ NODATAAVAILABLE,2023,MISSING_CSV,0,,,0,0.0,0,0.0
Cantonment_Area_ NODATAAVAILABLE,2024,MISSING_CSV,0,,,0,0.0,0,0.0
Cantonment_Area_ NODATAAVAILABLE,2025,MISSING_CSV,0,,,0,0.0,0,0.0
Chandni_Chowk,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,4513,51.52,4586,52.35
Chandni_Chowk,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,2387,27.25,2579,29.44
Chandni_Chowk,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,3434,39.09,6438,73.29
Chandni_Chowk,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,7222,82.44,7328,83.65
Commonwealth_Sports_Complex,2022,MISSING_CSV,0,,,0,0.0,0,0.0
Commonwealth_Sports_Complex,2023,MISSING_CSV,0,,,0,0.0,0,0.0
Commonwealth_Sports_Complex,2024,MISSING_CSV,0,,,0,0.0,0,0.0
Commonwealth_Sports_Complex,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,0,0.0,0,0.0
CPRI_Mathura_Road,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8530,97.37,8462,96.6
CPRI_Mathura_Road,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8158,93.13,8021,91.56
CPRI_Mathura_Road,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,6908,78.64,6954,79.17
CPRI_Mathura_Road,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8565,97.77,8587,98.03
Dr._Karni_Singh_Shooting_Range,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8638,98.61,8645,98.69
Dr._Karni_Singh_Shooting_Range,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8455,96.52,8430,96.23
Dr._Karni_Singh_Shooting_Range,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8627,98.21,8616,98.09
Dr._Karni_Singh_Shooting_Range,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8512,97.17,8472,96.71
DTU,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,7144,81.55,7851,89.62
DTU,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8054,91.94,8192,93.52
DTU,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8254,93.97,8309,94.59
DTU,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8348,95.3,7998,91.3
Dwarka-Sector_8,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8583,97.98,8556,97.67
Dwarka-Sector_8,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8481,96.82,8404,95.94
Dwarka-Sector_8,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8761,99.74,8631,98.26
Dwarka-Sector_8,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8602,98.2,8555,97.66
IGI_Airport_(T3),2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8580,97.95,8599,98.16
IGI_Airport_(T3),2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8642,98.65,8710,99.43
IGI_Airport_(T3),2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8711,99.17,8697,99.01
IGI_Airport_(T3),2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,7593,86.68,7602,86.78
IGNOU_Maidan_Garhi,2022,MISSING_CSV,0,,,0,0.0,0,0.0
IGNOU_Maidan_Garhi,2023,MISSING_CSV,0,,,0,0.0,0,0.0
IGNOU_Maidan_Garhi,2024,MISSING_CSV,0,,,0,0.0,0,0.0
IGNOU_Maidan_Garhi,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,0,0.0,0,0.0
IHBAS_Dilshad_Garden,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,7774,88.74,7758,88.56
IHBAS_Dilshad_Garden,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,7958,90.84,7970,90.98
IHBAS_Dilshad_Garden,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8376,95.36,8374,95.33
IHBAS_Dilshad_Garden,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8090,92.35,8137,92.89
IIT_Delhi,2022,MISSING_CSV,0,,,0,0.0,0,0.0
IIT_Delhi,2023,MISSING_CSV,0,,,0,0.0,0,0.0
IIT_Delhi,2024,MISSING_CSV,0,,,0,0.0,0,0.0
IIT_Delhi,2025,available,1464,2025-11-01 00:00:00,2025-12-31 23:00:00,729,49.8,730,49.86
IMD_Lodhi_Road,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8497,97.0,8460,96.58
IMD_Lodhi_Road,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8564,97.76,8577,97.91
IMD_Lodhi_Road,2024,available,8784,2024-01-01 00:00:00,2024-12-31 23:00:00,8673,98.74,8653,98.51
IMD_Lodhi_Road,2025,available,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,7118,81.26,7073,80.74
ITO,2022,available,8760,2022-01-01 00:00:00,2022-12-31 23:00:00,8454,96.51,8351,95.33
ITO,2023,available,8760,2023-01-01 00:00:00,2023-12-31 23:00:00,8158,93.13,8171,93.28
