year,month,status,extraction_timestamp
2022,1,SUCCESS,2026-08-04T18:52:37.418828
2022,2,SUCCESS,2026-08-04T18:53:15.346014
2022,3,SUCCESS,2026-08-04T18:54:22.269464
2022,4,SUCCESS,2026-08-04T18:54:44.439738
2022,5,SUCCESS,2026-08-04T18:54:57.829846
2022,6,SUCCESS,2026-08-04T18:56:11.334569
2022,7,SUCCESS,2026-08-04T18:56:39.376472
2022,8,SUCCESS,2026-08-04T18:57:14.093889
2022,9,SUCCESS,2026-08-04T18:57:21.563361
2022,10,SUCCESS,2026-08-04T18:58:12.147466
2022,11,SUCCESS,2026-08-04T18:59:03.478608
2022,12,SUCCESS,2026-08-04T18:59:24.561254
2023,1,SUCCESS,2026-08-04T18:59:37.743464
2023,2,SUCCESS,2026-08-04T18:59:54.561699
2023,3,SUCCESS,2026-08-04T19:00:09.489847
2023,4,SUCCESS,2026-08-04T19:00:54.047505
2023,5,SUCCESS,2026-08-04T19:01:15.436095
2023,6,SUCCESS,2026-08-04T19:01:45.298481
2023,7,SUCCESS,2026-08-04T19:02:15.041472
2023,8,SUCCESS,2026-08-04T19:02:47.546185
2023,9,SUCCESS,2026-08-04T19:03:12.793089
2023,10,SUCCESS,2026-08-04T19:03:34.906552
2023,11,SUCCESS,2026-08-04T19:03:51.055571
2023,12,SUCCESS,2026-08-04T19:04:10.852329
2024,1,SUCCESS,2026-08-04T19:04:29.690685
2024,2,SUCCESS,2026-08-04T19:04:57.542754
2024,3,SUCCESS,2026-08-04T19:05:30.627184
2024,4,SUCCESS,2026-08-04T19:05:46.081483
2024,5,SUCCESS,2026-08-04T19:06:00.202196
2024,6,SUCCESS,2026-08-04T19:06:26.087162
2024,7,SUCCESS,2026-08-04T19:06:46.677150
2024,8,SUCCESS,2026-08-04T19:07:26.346752
2024,9,SUCCESS,2026-08-04T19:08:02.301618
2024,10,SUCCESS,2026-08-04T19:09:05.462060
2024,11,SUCCESS,2026-08-04T19:09:38.045236
2024,12,SUCCESS,2026-08-04T19:10:07.508507
2025,1,SUCCESS,2026-08-04T19:10:39.546401
2025,2,SUCCESS,2026-08-04T19:11:38.441023
2025,3,SUCCESS,2026-08-04T19:12:09.782744
2025,4,SUCCESS,2026-08-04T19:13:25.012728
2025,5,SUCCESS,2026-08-04T19:13:44.800986
2025,6,SUCCESS,2026-08-04T19:14:09.512205
2025,7,SUCCESS,2026-08-04T19:14:39.168425
2025,8,SUCCESS,2026-08-04T19:14:47.259513
2025,9,SUCCESS,2026-08-04T19:15:17.460293
2025,10,SUCCESS,2026-08-04T19:15:39.126233
2025,11,SUCCESS,2026-08-04T19:16:01.225636
2025,12,SUCCESS,2026-08-04T19:16:39.095617
