station,buffer_m,months_covered
Alipur,100,48
Alipur,250,48
Alipur,500,48
Alipur,1000,48
Anand_Vihar,100,48
Anand_Vihar,250,48
Anand_Vihar,500,48
Anand_Vihar,1000,48
Ashok_Vihar,100,48
Ashok_Vihar,250,48
Ashok_Vihar,500,48
Ashok_Vihar,1000,48
Aya_Nagar,100,48
Aya_Nagar,250,48
Aya_Nagar,500,48
Aya_Nagar,1000,48
Bawana,100,48
Bawana,250,48
Bawana,500,48
Bawana,1000,48
Burari_Crossing,100,48
Burari_Crossing,250,48
Burari_Crossing,500,48
Burari_Crossing,1000,48
Chandni_Chowk,100,48
Chandni_Chowk,250,48
Chandni_Chowk,500,48
Chandni_Chowk,1000,48
Commonwealth_Sports_Complex,100,48
Commonwealth_Sports_Complex,250,48
Commonwealth_Sports_Complex,500,48
Commonwealth_Sports_Complex,1000,48
DTU,100,48
DTU,250,48
DTU,500,48
DTU,1000,48
Dr._Karni_Singh_Shooting_Range,100,48
Dr._Karni_Singh_Shooting_Range,250,48
Dr._Karni_Singh_Shooting_Range,500,48
Dr._Karni_Singh_Shooting_Range,1000,48
Dwarka-Sector_8,100,48
Dwarka-Sector_8,250,48
Dwarka-Sector_8,500,48
Dwarka-Sector_8,1000,48
IGI_Airport_(T3),100,48
IGI_Airport_(T3),250,48
IGI_Airport_(T3),500,48
IGI_Airport_(T3),1000,48
IGNOU_Maidan_Garhi,100,48
IGNOU_Maidan_Garhi,250,48
IGNOU_Maidan_Garhi,500,48
IGNOU_Maidan_Garhi,1000,48
IHBAS_Dilshad_Garden,100,48
IHBAS_Dilshad_Garden,250,48
IHBAS_Dilshad_Garden,500,48
IHBAS_Dilshad_Garden,1000,48
IIT_Delhi,100,48
IIT_Delhi,250,48
IIT_Delhi,500,48
IIT_Delhi,1000,48
IMD_Lodhi_Road,100,48
IMD_Lodhi_Road,250,48
IMD_Lodhi_Road,500,48
IMD_Lodhi_Road,1000,48
ITO,100,48
ITO,250,48
ITO,500,48
ITO,1000,48
JNU,100,48
JNU,250,48
JNU,500,48
JNU,1000,48
Jahangirpuri,100,48
Jahangirpuri,250,48
Jahangirpuri,500,48
Jahangirpuri,1000,48
Jawaharlal_Nehru_Stadium,100,48
Jawaharlal_Nehru_Stadium,250,48
Jawaharlal_Nehru_Stadium,500,48
Jawaharlal_Nehru_Stadium,1000,48
Major_Dhyan_Chand_National_Stadium,100,48
Major_Dhyan_Chand_National_Stadium,250,48
Major_Dhyan_Chand_National_Stadium,500,48
Major_Dhyan_Chand_National_Stadium,1000,48
Mandir_Marg,100,48
Mandir_Marg,250,48
Mandir_Marg,500,48
Mandir_Marg,1000,48
Mundka,100,48
Mundka,250,48
Mundka,500,48
Mundka,1000,48
NSUT_Jaffarpur,100,48
NSUT_Jaffarpur,250,48
NSUT_Jaffarpur,500,48
NSUT_Jaffarpur,1000,48
Najafgarh,100,48
Najafgarh,250,48
Najafgarh,500,48
Najafgarh,1000,48
Narela,100,48
Narela,250,48
Narela,500,48
Narela,1000,48
Nehru_Nagar,100,48
Nehru_Nagar,250,48
Nehru_Nagar,500,48
Nehru_Nagar,1000,48
North_Campus_DU,100,48
North_Campus_DU,250,48
North_Campus_DU,500,48
North_Campus_DU,1000,48
Okhla_Phase-2,100,48
Okhla_Phase-2,250,48
Okhla_Phase-2,500,48
Okhla_Phase-2,1000,48
Patparganj,100,48
Patparganj,250,48
Patparganj,500,48
Patparganj,1000,48
Punjabi_Bagh,100,48
Punjabi_Bagh,250,48
Punjabi_Bagh,500,48
Punjabi_Bagh,1000,48
R_K_Puram,100,48
R_K_Puram,250,48
R_K_Puram,500,48
R_K_Puram,1000,48
Rohini,100,48
Rohini,250,48
Rohini,500,48
Rohini,1000,48
Shadipur,100,48
Shadipur,250,48
Shadipur,500,48
Shadipur,1000,48
Sirifort,100,48
Sirifort,250,48
Sirifort,500,48
Sirifort,1000,48
Sonia_Vihar,100,48
Sonia_Vihar,250,48
Sonia_Vihar,500,48
Sonia_Vihar,1000,48
Sri_Aurobindo_Marg,100,48
Sri_Aurobindo_Marg,250,48
Sri_Aurobindo_Marg,500,48
Sri_Aurobindo_Marg,1000,48
Talkatora_Garden,100,48
Talkatora_Garden,250,48
Talkatora_Garden,500,48
Talkatora_Garden,1000,48
Vivek_Vihar,100,48
Vivek_Vihar,250,48
Vivek_Vihar,500,48
Vivek_Vihar,1000,48
Wazirpur,100,48
Wazirpur,250,48
Wazirpur,500,48
Wazirpur,1000,48
