station,latitude,longitude,year,month,buffer_m,s5p_no2_trop_mean,s5p_no2_trop_median,s5p_no2_trop_std,s5p_no2_total_mean,s5p_no2_total_median,s5p_no2_total_std,s5p_valid_obs_count,source_dataset
Alipur,28.815329,77.15301,2022,1,100,6.444390965047711e-05,6.444390965047711e-05,0.0,0.00010807832326014428,0.00010807832326014428,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Alipur,28.815329,77.15301,2022,1,250,6.444390965047711e-05,6.444390965047711e-05,0.0,0.00010807832326014428,0.00010807832326014428,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Alipur,28.815329,77.15301,2022,1,500,6.447378211952425e-05,6.444390965047711e-05,7.951348379199851e-08,0.00011047165997742694,0.00010807832326014428,6.370499203355147e-06,2,COPERNICUS/S5P/OFFL/L3_NO2
Alipur,28.815329,77.15301,2022,1,1000,6.619602786736788e-05,6.460293661805152e-05,3.784098649606294e-06,0.00011629988635195196,0.00012081932166685481,6.528152849364228e-06,9,COPERNICUS/S5P/OFFL/L3_NO2
Anand_Vihar,28.647622,77.315809,2022,1,100,0.00028476979651776324,0.00028476979651776324,0.0,0.00030277241603457195,0.00030277241603457195,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Anand_Vihar,28.647622,77.315809,2022,1,250,0.00028476979651776324,0.00028476979651776324,0.0,0.00030277241603457195,0.00030277241603457195,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Anand_Vihar,28.647622,77.315809,2022,1,500,0.00028002812242318767,0.00028476979651776324,1.6603029673749016e-05,0.00030082613319289825,0.00030277241603457195,5.0829136250031e-06,3,COPERNICUS/S5P/OFFL/L3_NO2
Anand_Vihar,28.647622,77.315809,2022,1,1000,0.0002831872354179467,0.00028476979651776324,2.5676220793990427e-05,0.000307649498226479,0.00030277241603457195,2.2602925139372304e-05,7,COPERNICUS/S5P/OFFL/L3_NO2
Ashok_Vihar,28.695381,77.181665,2022,1,100,0.0001468400065195202,0.0001468400065195202,0.0,0.0003325997968203947,0.0003325997968203947,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Ashok_Vihar,28.695381,77.181665,2022,1,250,0.00014677269515087405,0.0001468400065195202,1.9772714540886323e-07,0.0003325997968203771,0.0003325997968203947,0.0,2,COPERNICUS/S5P/OFFL/L3_NO2
Ashok_Vihar,28.695381,77.181665,2022,1,500,0.0001467067318690309,0.0001468400065195202,1.9772714540886323e-07,0.00033259979682035985,0.0003325997968203947,0.0,2,COPERNICUS/S5P/OFFL/L3_NO2
Ashok_Vihar,28.695381,77.181665,2022,1,1000,0.00014738329235521464,0.0001468400065195202,1.93721052422351e-06,0.00032274846560460016,0.0003325997968203947,3.6246793166993997e-05,7,COPERNICUS/S5P/OFFL/L3_NO2
Aya_Nagar,28.4706914,77.1099364,2022,1,100,0.00013200284554151708,0.00013265637971930888,9.803012666870423e-07,0.0001702739891799422,0.00017092783673439263,9.807713316753858e-07,2,COPERNICUS/S5P/OFFL/L3_NO2
Aya_Nagar,28.4706914,77.1099364,2022,1,250,0.00013266464025565852,0.00013265637971930888,1.569679271235163e-06,0.00017034954703165414,0.00017092685596323758,8.366490224851533e-07,4,COPERNICUS/S5P/OFFL/L3_NO2
Aya_Nagar,28.4706914,77.1099364,2022,1,500,0.00013290478677394532,0.00013265637971930888,1.569679271235163e-06,0.0001703917856935182,0.00017092685596323758,8.366490224851533e-07,4,COPERNICUS/S5P/OFFL/L3_NO2
Aya_Nagar,28.4706914,77.1099364,2022,1,1000,0.00013300159990703726,0.00013265637971930888,1.2973996341430762e-06,0.00017040478893514018,0.00017083474277201455,7.021677768365535e-07,6,COPERNICUS/S5P/OFFL/L3_NO2
Bawana,28.7762,77.051074,2022,1,100,5.624194818667142e-05,5.624194818667142e-05,0.0,9.481026381576849e-05,9.481026381576849e-05,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Bawana,28.7762,77.051074,2022,1,250,5.624194818667142e-05,5.624194818667142e-05,0.0,9.508903107757104e-05,9.481026381576849e-05,4.6793076088311987e-07,2,COPERNICUS/S5P/OFFL/L3_NO2
Bawana,28.7762,77.051074,2022,1,500,5.624194818667142e-05,5.624194818667142e-05,0.0,9.519500688582774e-05,9.481026381576849e-05,4.6793076088311987e-07,2,COPERNICUS/S5P/OFFL/L3_NO2
Bawana,28.7762,77.051074,2022,1,1000,5.510844982660198e-05,5.624194818667142e-05,2.126678248845106e-06,9.6449998507705e-05,9.57461253375342e-05,3.7382554062651205e-06,7,COPERNICUS/S5P/OFFL/L3_NO2
Burari_Crossing,28.7256504,77.2011573,2022,1,100,0.00014188917349006533,0.00014188917349006533,0.0,0.00022980537323754463,0.00022980537323754463,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Burari_Crossing,28.7256504,77.2011573,2022,1,250,0.0001415940508806075,0.00014188917349006533,4.767365229709152e-07,0.00022980537323754463,0.00022980537323754463,0.0,2,COPERNICUS/S5P/OFFL/L3_NO2
Burari_Crossing,28.7256504,77.2011573,2022,1,500,0.00014150571150419784,0.00014188917349006533,4.767365229709152e-07,0.00022980537323754463,0.00022980537323754463,0.0,2,COPERNICUS/S5P/OFFL/L3_NO2
Burari_Crossing,28.7256504,77.2011573,2022,1,1000,0.00013819140140269905,0.00014188917349006533,1.042881465997827e-05,0.00021794252650282533,0.00022980537323754463,2.6391169136849575e-05,7,COPERNICUS/S5P/OFFL/L3_NO2
Chandni_Chowk,28.656756,77.227234,2022,1,100,0.00017792902796196132,0.00017792902796196132,0.0,0.00029131580959094224,0.00029131580959094224,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Chandni_Chowk,28.656756,77.227234,2022,1,250,0.00017792902796196132,0.00017792902796196132,0.0,0.00029131580959094224,0.00029131580959094224,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Chandni_Chowk,28.656756,77.227234,2022,1,500,0.00017853006885583996,0.00017792902796196132,7.532492437201567e-06,0.0002944626800586592,0.00029131580959094224,1.0858846422574776e-05,3,COPERNICUS/S5P/OFFL/L3_NO2
Chandni_Chowk,28.656756,77.227234,2022,1,1000,0.00017775406517556427,0.00017792902796196132,1.2375020868391761e-05,0.0003020281736784308,0.00029131580959094224,2.273078594638076e-05,8,COPERNICUS/S5P/OFFL/L3_NO2
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,100,0.00028583267485159564,0.00028583267485159564,0.0,0.00040835427353172157,0.00040835427353172157,0.0,1,COPERNICUS/S5P/OFFL/L3_NO2
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,250,0.0002800866222797971,0.00028583267485159564,2.059002171561148e-05,0.0004087635544156353,0.00040835427353172157,1.4665898340315465e-06,2,COPERNICUS/S5P/OFFL/L3_NO2
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,500,0.00027345615906625544,0.00028583267485159564,2.059002171561148e-05,0.0004092358302625558,0.00040835427353172157,1.4665898340315465e-06,2,COPERNICUS/S5P/OFFL/L3_NO2
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,1000,0.00026797068328418213,0.0002609289076646721,3.919616582587035e-05,0.00041425180275414254,0.00041128745319976996,1.6167890708471128e-05,7,COPERNICUS/S5P/OFFL/L3_NO2
DTU,28.7500499,77.1112615,2022,1,100,9.843007401934589e-05,0.0001074772968661851,1.0178125702694152e-05,0.00015271136475641535,0.00016048452380339347,8.744803927850371e-06,2,COPERNICUS/S5P/OFFL/L3_NO2
