station,ogd_station,latitude,longitude,coordinate_status,coordinate_source,coordinate_source_url,match_status,match_method,unique_coordinate_pairs,needs_manual_review
Alipur,"Alipur, Delhi - DPCC",28.815329,77.15301,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Anand_Vihar,"Anand Vihar, Delhi - DPCC",28.647622,77.315809,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Ashok_Vihar,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Aya_Nagar,"Aya Nagar, Delhi - IITM",28.4706914,77.1099364,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Bawana,"Bawana, Delhi - DPCC",28.7762,77.051074,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Burari_Crossing,"Burari Crossing, Delhi - IITM",28.7256504,77.2011573,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
CPRI_Mathura_Road,,,,NOT_FOUND,,,NOT_FOUND,,,True
Cantonment_Area_ NODATAAVAILABLE,,,,NOT_FOUND,,,NOT_FOUND,,,True
Chandni_Chowk,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Commonwealth_Sports_Complex,"Commonwealth Sports Complex, Delhi - DPCC",28.615828,77.271992,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
DTU,"DTU, Delhi - CPCB",28.7500499,77.1112615,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Dr._Karni_Singh_Shooting_Range,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Dwarka-Sector_8,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
IGI_Airport_(T3),"IGI Airport (T3), Delhi - IITM",28.5627763,77.1180053,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
IGNOU_Maidan_Garhi,"IGNOU_Maidan Garhi, Delhi - DPCC",28.493624,77.201159,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
IHBAS_Dilshad_Garden,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
IIT_Delhi,"IIT Delhi, Delhi - IITM",28.54246,77.191651,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
IMD_Lodhi_Road,"IMD Lodhi Road, Delhi - IITM",28.5918245,77.2273074,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
ITO,"ITO, Delhi - CPCB",28.628624,77.24106,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
JNU,"JNU, Delhi - DPCC",28.540721,77.168544,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Jahangirpuri,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Jawaharlal_Nehru_Stadium,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Lodhi_Road,,,,NOT_FOUND,,,NOT_FOUND,,,True
