station,ogd_station,latitude,longitude,coordinate_status,coordinate_source,coordinate_source_url,match_status,match_method,unique_coordinate_pairs
Alipur,"Alipur, Delhi - DPCC",28.815329,77.15301,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Anand_Vihar,"Anand Vihar, Delhi - DPCC",28.647622,77.315809,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Ashok_Vihar,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Aya_Nagar,"Aya Nagar, Delhi - IITM",28.4706914,77.1099364,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Bawana,"Bawana, Delhi - DPCC",28.7762,77.051074,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Burari_Crossing,"Burari Crossing, Delhi - IITM",28.7256504,77.2011573,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
CPRI_Mathura_Road,,28.551,77.274,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Cantonment_Area,,28.5682,77.1182,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Chandni_Chowk,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Commonwealth_Sports_Complex,"Commonwealth Sports Complex, Delhi - DPCC",28.615828,77.271992,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
DTU,"DTU, Delhi - CPCB",28.7500499,77.1112615,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Dr._Karni_Singh_Shooting_Range,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Dwarka-Sector_8,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
IGI_Airport_(T3),"IGI Airport (T3), Delhi - IITM",28.5627763,77.1180053,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
IGNOU_Maidan_Garhi,"IGNOU_Maidan Garhi, Delhi - DPCC",28.493624,77.201159,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
IHBAS_Dilshad_Garden,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
IIT_Delhi,"IIT Delhi, Delhi - IITM",28.54246,77.191651,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
IMD_Lodhi_Road,"IMD Lodhi Road, Delhi - IITM",28.5918245,77.2273074,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
ITO,"ITO, Delhi - CPCB",28.628624,77.24106,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
JNU,"JNU, Delhi - DPCC",28.540721,77.168544,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Jahangirpuri,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Jawaharlal_Nehru_Stadium,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Lodhi_Road,,28.592,77.227,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Major_Dhyan_Chand_National_Stadium,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Mandir_Marg,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Mundka,"Mundka, Delhi - DPCC",28.684678,77.076574,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
NSIT_Dwarka,,28.609,77.033,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
NSUT_Jaffarpur,"NSUT Jaffarpur, Delhi - DPCC",28.594004,76.909423,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Najafgarh,"Najafgarh, Delhi - DPCC",28.570173,76.933762,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Narela,"Narela, Delhi - DPCC",28.822836,77.101981,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Nehru_Nagar,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
North_Campus_DU,"North Campus, DU, Delhi - IITM",28.6573814,77.1585447,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
