Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,219.5,342.75,94.72,53.95,105.95,3.78,2.02,1.63,2.53,1.27,12.5,1.95,,,,6.85,79.75,,205.95,0.0,0.0,4.6,999.1,,Alipur,2022,False,False,False,False,False
2022-01-01 01:00:00,224.5,360.25,89.3,44.7,96.6,5.5,0.7,,2.35,1.15,12.12,2.12,,,,6.72,82.22,,206.05,0.0,0.0,4.6,998.9,,Alipur,2022,False,False,False,False,False
2022-01-01 02:00:00,217.0,359.0,50.08,48.2,66.45,4.3,1.45,1.27,2.45,1.15,10.4,2.22,,,,6.98,82.3,,205.38,0.0,0.0,4.62,998.7,,Alipur,2022,False,False,False,False,False
2022-01-01 03:00:00,214.25,341.5,25.18,42.8,43.3,3.7,1.87,1.0,2.6,1.1,9.05,1.52,,,,6.72,82.28,,206.5,0.0,0.0,4.62,998.42,,Alipur,2022,False,False,False,False,False
2022-01-01 04:00:00,207.5,309.67,24.17,44.75,43.5,3.38,1.63,1.0,2.33,1.38,8.22,1.58,,,,6.6,82.3,,211.95,0.0,0.0,4.65,998.15,,Alipur,2022,False,False,False,False,False
2022-01-01 05:00:00,206.0,309.0,14.35,45.08,35.8,3.05,6.6,1.02,2.58,1.05,7.62,1.42,,,,6.57,82.3,,210.98,0.0,0.0,4.68,998.12,,Alipur,2022,False,False,False,False,False
2022-01-01 06:00:00,192.25,290.5,20.45,34.32,34.92,2.88,7.12,1.05,2.6,0.92,7.2,1.5,,,,5.92,82.25,,191.68,0.0,0.0,4.65,998.55,,Alipur,2022,False,False,False,False,False
2022-01-01 07:00:00,218.0,308.75,59.62,33.5,66.45,3.25,9.05,1.4,2.65,1.1,6.68,1.3,,,,6.0,82.15,,193.4,0.0,0.0,18.48,999.0,,Alipur,2022,False,False,False,False,False
2022-01-01 08:00:00,253.75,361.5,54.08,47.22,69.22,3.58,10.0,1.42,2.65,1.18,8.07,1.3,,,,7.87,79.52,,213.82,0.0,0.0,94.92,999.65,,Alipur,2022,False,False,False,False,False
2022-01-01 09:00:00,249.75,352.75,35.55,73.75,68.15,3.92,11.18,1.37,3.75,1.42,8.18,1.08,,,,10.58,70.55,,223.4,0.0,0.0,205.9,,,Alipur,2022,False,False,False,False,False
