Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,428.75,533.5,137.55,46.52,136.9,45.28,16.6,6.23,6.22,8.15,33.25,,,,,10.17,90.15,0.25,112.43,0.0,0.0,6.02,993.5,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 01:00:00,510.5,618.25,166.85,35.32,154.8,46.32,18.37,4.92,,11.05,40.78,,,,,10.17,94.12,0.25,162.43,0.0,0.0,5.82,993.32,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 02:00:00,484.5,605.0,120.0,44.2,121.3,36.7,13.9,3.0,4.47,,49.72,,,,,10.17,94.32,0.35,176.65,0.0,0.0,5.75,993.05,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 03:00:00,423.5,537.25,106.92,49.42,113.5,37.55,11.92,2.85,4.1,13.0,44.42,,,,,10.05,94.35,0.35,154.57,0.0,0.0,5.85,992.85,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 04:00:00,342.0,419.25,91.12,46.7,99.15,46.5,8.62,2.25,3.52,9.62,38.03,,,,,9.93,94.3,0.25,142.8,0.0,0.0,5.93,992.58,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 05:00:00,297.5,371.25,87.25,39.75,92.3,49.8,7.12,1.52,3.1,9.15,36.15,,,,,9.93,94.45,0.57,177.12,0.0,0.0,5.68,992.58,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 06:00:00,257.25,343.25,66.27,42.85,76.82,49.32,6.62,1.3,3.35,8.28,30.85,,,,,9.75,94.32,0.28,120.0,0.0,0.0,6.07,993.05,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 07:00:00,239.5,322.25,59.98,42.32,71.45,47.92,6.0,0.95,3.28,7.4,24.92,,,,,9.68,94.43,0.5,152.38,0.0,0.0,17.1,993.5,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 08:00:00,243.75,339.75,46.7,61.0,70.53,40.6,8.05,1.08,3.95,8.72,25.22,,,,,10.77,86.85,1.22,184.58,0.0,0.0,58.32,994.28,,Ashok_Vihar,2022,False,False,False,False,False
2022-01-01 09:00:00,263.0,369.5,26.5,66.12,56.78,40.15,9.72,1.0,6.28,6.98,18.48,,,,,12.1,75.15,1.15,183.58,0.0,0.0,101.55,994.9,,Ashok_Vihar,2022,False,False,False,False,False
