Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2025-01-01 00:00:00,231.08,488.58,323.34,,238.74,,,4.02,4.71,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 01:00:00,230.45,484.87,373.63,,267.93,,,4.26,5.64,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 02:00:00,226.88,454.38,319.13,1.77,232.09,,,3.95,6.52,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 03:00:00,229.13,388.06,89.46,27.6,87.51,,,1.2,4.79,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 04:00:00,193.08,272.22,73.95,34.96,78.69,,,0.58,5.57,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 05:00:00,170.56,266.24,74.89,39.43,81.88,,,0.64,4.74,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 06:00:00,156.6,299.35,52.87,39.31,63.96,,,0.59,7.48,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 07:00:00,140.74,261.93,37.88,35.83,49.79,,,0.51,9.77,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 08:00:00,124.34,243.96,61.58,31.49,66.88,,,0.63,11.66,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 09:00:00,101.45,189.25,46.55,34.26,56.04,,,0.62,18.18,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 10:00:00,135.97,224.89,34.33,32.22,45.1,,,0.51,33.15,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
2025-01-01 11:00:00,146.64,213.72,29.01,41.51,45.66,,,0.61,45.62,,,,,,,,,,,,0.0,,,,CPRI_Mathura_Road,2025,False,False,False,False,False
