Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,286.05,317.0,,,,,7.38,3.29,24.72,9.12,,,,,7.36,,87.85,1.27,221.37,0.0,0.0,7.12,,,DTU,2022,False,False,False,False,False
2022-01-01 01:00:00,292.7,317.0,,,,,7.65,3.5,24.68,8.88,,,,,7.31,,87.8,1.16,209.99,0.0,0.0,7.46,,,DTU,2022,False,False,False,False,False
2022-01-01 02:00:00,332.12,344.75,,,,,8.02,3.25,24.75,8.97,,,,,7.21,,87.52,1.12,198.84,0.0,0.0,7.12,,,DTU,2022,False,False,False,False,False
2022-01-01 03:00:00,301.4,328.0,,,0.0,,7.9,2.24,24.67,9.15,,,,,5.81,,87.85,1.08,140.85,0.0,0.0,7.41,,,DTU,2022,False,False,False,False,False
2022-01-01 04:00:00,288.8,319.33,,,0.0,,8.33,2.07,24.87,9.25,,,,,5.75,,87.82,0.93,225.03,0.0,0.0,7.02,,,DTU,2022,False,False,False,False,False
2022-01-01 05:00:00,319.37,345.0,,,0.0,,7.9,1.96,24.8,9.14,,,,,5.67,,87.85,1.02,226.51,0.0,0.0,7.07,,,DTU,2022,False,False,False,False,False
2022-01-01 06:00:00,299.27,316.0,,,,,7.88,2.33,24.18,8.95,,,,,6.98,,87.85,0.89,190.23,0.0,0.0,6.9,,,DTU,2022,False,False,False,False,False
2022-01-01 07:00:00,209.5,248.25,,,,,7.98,2.5,24.62,8.57,,,,,6.59,,87.85,0.86,237.46,0.0,0.0,13.75,,,DTU,2022,False,False,False,False,False
2022-01-01 08:00:00,239.98,284.5,,,,,8.88,2.76,25.02,8.59,,,,,6.62,,79.91,0.99,222.8,0.0,0.0,58.95,,,DTU,2022,False,False,False,False,False
2022-01-01 09:00:00,259.3,319.67,,,0.0,,9.6,1.88,27.37,8.62,,,,,4.76,,62.67,0.46,261.93,0.0,0.0,115.88,,,DTU,2022,False,False,False,False,False
