Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,242.0,310.75,29.8,102.42,78.77,49.42,8.3,2.3,5.9,5.7,42.53,,,,,7.9,81.32,0.45,247.55,0.0,0.0,5.22,994.15,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 01:00:00,254.75,318.25,28.22,98.13,75.18,47.1,8.55,2.05,6.4,5.5,41.68,,,,,7.78,81.4,0.57,254.95,0.0,0.0,5.25,993.95,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 02:00:00,246.0,305.5,,,,,,,5.52,5.32,40.93,,,,,7.85,80.42,0.62,258.05,0.0,0.0,5.2,993.65,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 03:00:00,238.25,302.5,22.3,97.35,69.95,34.57,8.73,1.85,4.72,4.9,37.83,,,,,7.95,79.8,0.92,261.82,0.0,0.0,5.2,993.45,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 04:00:00,231.75,302.0,22.4,97.72,70.25,33.4,9.07,1.67,4.72,4.72,33.6,,,,,7.95,79.4,1.02,262.88,0.0,0.0,5.22,993.15,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 05:00:00,221.25,281.5,22.3,94.6,68.47,35.6,8.43,1.52,5.05,4.38,32.2,,,,,7.72,80.68,0.62,248.68,0.0,0.0,5.2,993.32,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 06:00:00,197.25,263.0,23.42,95.55,70.03,42.8,7.12,1.42,5.8,4.08,32.17,,,,,7.6,81.88,0.72,259.62,0.0,0.0,5.28,993.55,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 07:00:00,190.75,262.75,27.78,95.88,73.62,44.53,7.35,1.6,6.92,4.3,34.5,,,,,7.52,82.8,0.57,249.62,0.0,0.0,14.92,994.08,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 08:00:00,209.0,283.5,25.42,97.25,72.5,44.38,7.4,1.58,16.58,4.5,32.45,,,,,8.5,78.15,1.08,259.25,0.0,0.0,63.55,994.95,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 09:00:00,223.75,300.5,24.65,100.78,73.68,45.65,10.65,1.65,32.6,5.07,29.6,,,,,9.95,70.47,1.55,273.5,0.0,0.0,114.5,995.53,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 10:00:00,231.25,316.0,18.92,93.95,65.35,40.95,11.85,1.45,62.0,3.92,23.6,,,,,11.48,63.25,1.08,274.68,0.0,0.0,226.12,995.9,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 11:00:00,223.25,297.75,16.8,92.25,62.78,38.38,12.25,1.2,82.52,3.12,18.6,,,,,12.75,57.25,1.4,278.95,0.0,0.0,180.22,995.18,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 12:00:00,202.0,272.75,13.58,89.48,58.65,40.17,12.2,1.08,106.12,2.58,14.7,,,,,13.38,53.72,1.2,284.92,0.0,0.0,254.22,994.25,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 13:00:00,184.0,245.0,10.98,83.92,53.62,41.88,11.0,1.02,122.92,2.3,11.65,,,,,14.02,49.68,0.73,297.17,0.0,0.0,241.47,993.08,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 14:00:00,166.75,223.75,9.52,90.72,56.05,50.32,10.98,1.15,139.57,2.33,12.9,,,,,13.8,49.62,0.65,247.02,0.0,0.0,104.62,992.28,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 15:00:00,168.75,240.5,9.35,99.3,60.45,50.35,12.08,1.2,136.05,2.68,20.12,,,,,13.42,49.85,0.45,318.45,0.0,0.0,61.8,991.8,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 16:00:00,167.75,240.75,15.3,134.32,83.9,47.35,11.87,1.55,79.95,2.78,23.8,,,,,12.88,53.6,0.48,299.18,0.0,0.0,33.92,991.7,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 17:00:00,176.75,265.0,20.83,149.43,96.4,48.1,10.12,1.92,28.8,3.8,39.25,,,,,11.28,65.22,0.28,220.12,0.0,0.0,9.42,991.78,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 18:00:00,232.0,351.5,50.08,148.35,119.6,44.6,10.02,2.7,9.1,5.1,59.27,,,,,9.98,73.62,0.55,263.05,0.0,0.0,5.22,992.32,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 19:00:00,345.75,471.75,39.62,149.05,111.5,49.18,10.75,3.4,7.65,6.35,57.88,,,,,9.43,79.42,0.3,248.73,0.0,0.0,5.22,992.68,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 20:00:00,448.0,558.5,31.7,131.45,95.75,50.18,11.7,3.42,7.75,7.65,54.05,,,,,9.07,81.85,0.38,219.75,0.0,0.0,5.2,993.32,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 21:00:00,429.75,530.25,25.92,122.38,86.15,47.62,9.95,3.42,6.9,6.6,41.52,,,,,8.83,83.45,0.4,246.35,0.0,0.0,5.25,993.58,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 22:00:00,419.0,520.75,36.03,115.82,90.82,54.0,9.6,3.58,6.22,7.18,45.53,,,,,8.78,84.05,0.4,240.25,0.0,0.0,5.22,993.6,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
2022-01-01 23:00:00,400.75,498.75,24.55,113.0,80.1,55.0,8.87,3.08,6.15,7.28,51.6,,,,,8.67,84.55,0.45,253.58,0.0,0.0,5.25,993.28,,Dr._Karni_Singh_Shooting_Range,2022,False,False,False,False,False
