Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,214.15,442.1,105.64,93.06,133.23,121.67,1.71,1.99,3.32,9.02,10.28,3.51,,6.84,5.01,,85.96,2.02,180.8,,0.0,28.4,,-0.76,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 01:00:00,231.55,462.35,108.96,89.38,133.96,126.64,1.63,2.05,3.2,9.02,10.28,3.51,,6.84,5.03,,88.36,3.0,199.3,,0.0,28.83,,-0.71,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 02:00:00,256.02,488.02,93.53,89.12,121.48,117.65,1.54,1.68,3.02,9.01,10.2,3.49,,6.84,5.0,,82.08,2.73,284.27,,0.0,29.35,,-0.73,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 03:00:00,231.58,447.7,70.12,90.58,103.52,106.97,3.04,1.36,3.08,8.98,10.11,3.48,,6.82,4.95,,80.67,2.65,285.62,,0.0,30.05,,-0.66,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 04:00:00,189.02,418.9,46.73,91.4,85.24,96.61,2.42,1.04,3.0,8.96,10.01,3.47,,6.81,4.93,,79.12,3.33,283.89,,0.0,30.35,,-0.75,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 05:00:00,166.48,382.9,27.54,90.88,69.61,87.54,3.37,0.81,3.09,8.94,9.96,3.46,,6.8,4.91,,79.94,3.19,262.74,,0.0,30.55,,-0.77,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 06:00:00,148.65,360.48,23.24,82.34,61.7,84.32,3.53,0.98,3.16,8.94,9.94,3.46,,6.8,4.91,,83.52,3.2,274.63,,0.0,31.52,,-0.89,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 07:00:00,144.6,338.98,33.29,76.97,66.93,82.92,4.1,0.64,3.17,8.94,9.95,3.46,,6.79,4.9,,85.28,3.03,249.89,,0.0,43.15,,-0.68,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 08:00:00,170.62,335.3,52.49,121.63,105.68,102.49,3.29,0.68,3.46,8.94,9.94,3.45,,6.79,4.9,,79.7,3.62,264.03,,0.0,95.6,,-0.38,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 09:00:00,188.55,372.0,54.21,173.49,134.2,118.71,2.17,0.65,3.9,6.35,7.79,2.7,,4.88,4.06,,71.85,2.6,281.43,,0.0,176.42,,0.03,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 10:00:00,160.75,418.8,13.89,171.8,101.06,109.72,,0.49,4.38,2.73,4.42,1.49,,2.24,2.49,,64.64,2.5,298.11,,0.0,241.62,,0.26,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 11:00:00,,20.0,,,,,1.63,,5.54,2.17,3.72,1.23,,1.84,2.06,,57.15,2.18,315.23,,0.0,302.5,,0.46,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 12:00:00,192.4,271.8,,,,,6.13,1.65,12.19,2.16,3.67,1.23,,1.83,2.05,,52.16,2.52,320.94,,0.0,327.52,,0.8,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 13:00:00,139.3,356.6,,,,,5.87,0.7,,1.32,2.21,0.9,,1.01,1.31,,48.72,2.74,259.8,,0.0,307.7,,0.32,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 14:00:00,130.52,310.45,3.34,81.11,45.14,67.29,5.51,0.37,18.58,1.28,2.13,0.88,,0.97,1.27,,42.29,2.26,243.39,,0.0,213.95,,0.39,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 15:00:00,116.75,251.8,3.32,72.21,40.46,61.43,4.04,0.26,17.94,,,,,,,,40.1,2.08,180.28,,0.0,98.95,,-0.43,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 16:00:00,115.2,247.77,4.43,67.16,38.7,59.32,2.24,0.33,15.87,,,,,,,,43.0,2.08,286.03,,0.0,57.55,,-0.9,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 17:00:00,69.53,238.08,5.36,68.02,39.9,59.09,1.64,0.45,8.62,3.25,4.67,2.03,,2.34,1.9,,63.3,0.84,183.26,,0.0,26.95,,-0.99,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 18:00:00,122.55,248.75,6.96,74.11,44.36,63.58,1.17,0.56,6.51,3.26,4.68,2.03,,2.34,1.91,,76.71,2.43,188.26,,0.0,25.7,,-0.93,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 19:00:00,124.3,321.2,14.16,86.74,56.74,78.39,2.31,0.96,5.84,3.27,4.75,2.04,,2.36,1.93,,80.05,1.78,194.92,,0.0,29.45,,-0.81,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 20:00:00,152.93,394.3,34.83,103.29,81.95,101.55,4.25,1.67,5.94,3.33,4.97,2.07,,2.38,2.0,,85.14,2.13,189.42,,0.0,30.95,,-0.79,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 21:00:00,204.15,455.03,71.32,115.5,118.36,118.17,6.68,2.38,5.91,3.39,5.19,2.1,,2.42,2.06,,88.06,1.0,173.64,,0.0,31.58,,-0.78,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 22:00:00,221.35,495.38,104.88,132.86,153.46,131.0,9.98,2.99,5.81,3.43,5.45,2.14,,2.46,2.16,,90.77,1.9,171.16,,0.0,31.92,,0.38,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
2022-01-01 23:00:00,225.67,520.6,134.18,144.0,182.74,141.4,11.57,3.18,5.85,3.48,5.7,2.16,,2.47,2.22,,92.93,2.14,185.93,,0.0,32.2,,-0.58,IHBAS_Dilshad_Garden,2022,False,False,False,False,False
