Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,329.67,484.0,135.57,81.4,153.83,109.9,12.42,3.0,9.4,,21.02,,,,,10.55,82.78,0.12,127.6,0.0,0.0,2.9,999.08,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 01:00:00,323.67,429.5,105.9,87.98,133.15,112.92,12.57,2.83,10.1,,16.73,,,,,10.6,82.57,0.3,177.68,0.0,0.0,2.65,998.92,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 02:00:00,320.67,405.5,105.6,78.9,128.1,97.7,16.7,2.4,9.95,,16.48,,,,,10.92,79.65,0.2,175.68,0.0,0.0,2.65,998.65,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 03:00:00,298.33,383.75,92.98,76.45,116.45,96.2,18.23,2.1,9.05,,19.08,,,,,10.58,82.42,0.17,139.15,0.0,0.0,2.72,998.4,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 04:00:00,289.67,362.25,43.3,80.18,77.97,102.58,20.2,1.72,8.62,,19.82,,,,,10.62,82.2,0.18,188.5,0.0,0.0,2.68,998.15,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 05:00:00,300.0,375.0,47.03,80.97,81.38,101.8,25.92,1.9,8.48,,17.65,,,,,10.65,81.88,0.33,199.55,0.0,0.0,2.52,998.15,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 06:00:00,293.67,369.5,49.1,80.72,83.0,100.25,23.25,1.65,8.0,,15.52,,,,,10.32,84.08,0.1,174.82,0.0,0.0,2.72,998.55,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 07:00:00,272.0,342.75,124.05,80.9,144.15,99.2,16.0,2.2,8.3,,14.98,,,,,10.3,85.4,0.28,228.92,0.0,0.0,10.85,999.02,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 08:00:00,312.67,411.5,91.78,91.57,123.55,100.18,22.58,2.9,10.32,,18.08,,,,,11.0,81.53,0.38,237.52,0.0,0.0,43.28,999.65,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 09:00:00,359.0,466.5,42.92,98.05,87.15,102.75,18.35,2.8,10.95,,14.85,,,,,11.82,76.58,0.35,282.75,0.0,0.0,72.82,,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 10:00:00,353.33,449.0,24.45,96.25,71.12,106.3,18.85,2.43,20.38,,11.8,,,,,13.08,70.92,0.35,259.58,0.0,0.0,143.98,,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 11:00:00,302.67,397.5,18.33,82.1,58.6,108.62,19.08,2.3,48.08,,12.02,,,,,14.62,63.0,0.35,240.65,0.0,0.0,190.9,999.75,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 12:00:00,277.0,369.25,5.65,66.77,40.15,108.5,17.55,1.85,80.9,,14.32,,,,,15.38,59.52,0.35,292.75,0.0,0.0,228.4,998.98,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 13:00:00,225.67,309.0,6.5,65.35,40.05,110.05,17.93,1.73,103.2,,12.9,,,,,16.1,55.05,0.27,149.28,0.0,0.0,243.58,997.87,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 14:00:00,196.33,280.0,9.1,53.42,33.98,112.02,19.77,1.42,122.15,,12.32,,,,,16.18,52.68,0.37,86.4,0.0,0.0,95.38,997.08,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 15:00:00,179.67,245.25,6.8,45.35,28.28,105.68,17.65,1.28,126.78,,10.62,,,,,15.95,52.02,0.22,95.1,0.0,0.0,71.3,996.6,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 16:00:00,178.33,256.5,9.35,65.25,42.32,99.72,18.88,1.92,83.12,,9.07,,,,,15.23,55.55,0.18,175.9,0.0,0.0,37.48,996.48,,Jahangirpuri,2022,False,False,False,False,False
2022-01-01 17:00:00,240.0,395.75,35.45,129.98,98.0,100.9,16.32,2.8,17.85,,20.6,,,,,14.02,63.25,0.13,187.18,0.0,0.0,7.7,996.62,,Jahangirpuri,2022,False,False,False,False,False
