Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2025-01-01 00:00:00,99.8,262.27,25.86,56.99,51.21,54.65,13.93,1.0,13.52,1.73,3.25,,,1.6,1.58,,94.22,0.1,188.09,,,5.35,,-0.1,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 01:00:00,131.1,286.55,25.95,54.83,50.26,50.92,14.49,0.89,12.56,1.76,3.26,,,1.52,1.55,,94.3,0.26,196.62,,,5.45,,-0.11,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 02:00:00,130.65,262.5,23.62,45.41,43.36,44.6,16.19,1.21,12.36,1.74,3.29,,,1.5,1.54,,94.3,0.1,272.48,,,5.45,,-0.1,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 03:00:00,83.07,220.65,23.45,39.64,40.16,43.81,17.76,1.92,13.39,1.76,3.3,,,1.54,1.58,,94.3,0.11,283.4,,,6.1,,-0.08,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 04:00:00,81.88,206.5,22.75,37.01,38.18,44.38,18.43,2.25,13.82,1.78,3.26,,,1.52,1.52,,94.3,0.29,246.36,,,5.25,,-0.08,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 05:00:00,73.88,178.98,23.54,39.83,40.32,43.82,13.08,2.41,13.48,1.69,3.24,,,1.55,1.55,,94.3,0.33,235.15,,,5.05,,-0.09,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 06:00:00,67.65,170.25,23.65,41.56,41.33,43.03,12.93,1.08,14.5,4.21,5.82,,,2.78,2.55,,94.3,0.15,248.9,,,5.18,,-0.08,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 07:00:00,51.78,150.0,23.26,37.2,38.7,43.32,12.97,1.08,14.24,4.31,5.82,,,2.74,2.5,,94.3,0.27,308.35,,,6.48,,-0.07,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 08:00:00,77.02,148.7,24.42,43.46,42.97,43.06,13.0,1.06,13.79,4.33,5.83,,,2.8,2.63,,94.3,0.44,251.83,,,10.45,,-0.05,NSIT_Dwarka,2025,False,False,False,False,False
2025-01-01 09:00:00,50.18,143.05,22.05,31.59,34.74,42.2,13.0,1.06,15.01,4.3,5.81,,,2.84,2.5,,94.28,0.57,301.32,,,14.12,,-0.04,NSIT_Dwarka,2025,False,False,False,False,False
