Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,140.0,179.0,68.27,16.6,84.85,45.2,2.92,1.7,5.42,0.35,0.6,,,,,5.52,86.7,0.73,249.88,0.0,0.0,3.18,998.98,,Najafgarh,2022,False,False,False,False,False
2022-01-01 01:00:00,128.0,157.0,63.3,17.73,81.05,47.0,3.1,1.7,5.4,0.38,0.57,,,,,5.22,86.7,0.78,297.97,0.0,0.0,3.1,998.75,,Najafgarh,2022,False,False,False,False,False
2022-01-01 02:00:00,143.0,174.0,54.8,16.6,71.4,41.9,2.0,1.8,5.95,0.4,0.62,,,,,4.73,86.7,0.7,260.83,0.0,0.0,3.2,998.5,,Najafgarh,2022,False,False,False,False,False
2022-01-01 03:00:00,133.0,147.0,57.32,16.42,73.72,39.28,2.28,1.8,5.58,0.4,0.7,,,,,4.25,86.7,0.85,263.82,0.0,0.0,3.2,998.35,,Najafgarh,2022,False,False,False,False,False
2022-01-01 04:00:00,121.0,140.0,51.18,13.72,64.88,40.67,2.42,1.8,5.93,0.48,0.68,,,,,3.82,86.7,0.55,264.73,0.0,0.0,3.27,998.02,,Najafgarh,2022,False,False,False,False,False
2022-01-01 05:00:00,129.0,147.0,55.72,14.97,70.68,36.75,2.65,1.85,6.1,0.5,0.75,,,,,3.08,86.6,0.7,196.05,0.0,0.0,3.38,998.12,,Najafgarh,2022,False,False,False,False,False
2022-01-01 06:00:00,130.0,138.0,63.12,11.7,74.8,38.55,2.6,1.87,5.9,0.52,0.95,,,,,3.08,86.6,0.6,248.23,0.0,0.0,3.28,998.47,,Najafgarh,2022,False,False,False,False,False
2022-01-01 07:00:00,139.0,158.0,61.78,13.95,75.7,38.2,2.2,1.88,5.88,0.5,1.33,,,,,3.5,86.62,1.15,259.38,0.0,0.0,11.9,999.1,,Najafgarh,2022,False,False,False,False,False
2022-01-01 08:00:00,134.0,150.0,43.8,18.17,61.97,46.08,1.8,1.9,6.82,0.57,1.55,,,,,5.8,86.75,0.75,298.5,0.0,0.0,50.4,999.88,,Najafgarh,2022,False,False,False,False,False
2022-01-01 09:00:00,144.0,174.0,16.03,23.25,39.25,51.22,1.58,1.6,11.18,0.5,1.02,,,,,8.75,82.95,0.68,301.23,0.0,0.0,92.8,,,Najafgarh,2022,False,False,False,False,False
2022-01-01 10:00:00,140.0,191.0,4.65,23.9,28.55,58.85,1.75,1.45,23.33,0.48,0.7,,,,,12.35,69.53,0.62,292.85,0.0,0.0,131.12,,,Najafgarh,2022,False,False,False,False,False
2022-01-01 11:00:00,164.0,218.0,4.47,19.58,24.02,69.78,2.4,1.35,42.05,0.4,0.52,,,,,15.35,56.75,0.72,326.25,0.0,0.0,150.7,999.9,,Najafgarh,2022,False,False,False,False,False
2022-01-01 12:00:00,196.0,256.0,2.2,16.42,18.62,79.1,3.4,1.38,57.75,0.43,0.45,,,,,17.9,50.58,0.95,324.52,0.0,0.0,163.38,999.08,,Najafgarh,2022,False,False,False,False,False
2022-01-01 13:00:00,219.0,307.0,2.3,15.48,17.08,82.2,3.93,1.3,67.03,0.4,0.4,,,,,19.12,48.45,1.1,255.58,0.0,0.0,191.23,997.92,,Najafgarh,2022,False,False,False,False,False
2022-01-01 14:00:00,204.0,255.0,3.8,13.85,15.5,80.25,4.3,0.82,69.55,0.3,0.35,,,,,19.0,49.22,0.78,169.1,0.0,0.0,122.68,997.08,,Najafgarh,2022,False,False,False,False,False
2022-01-01 15:00:00,185.0,216.0,3.1,13.42,15.62,80.45,3.68,0.8,68.78,0.28,0.38,,,,,18.7,51.9,0.82,311.33,0.0,0.0,89.9,996.6,,Najafgarh,2022,False,False,False,False,False
2022-01-01 16:00:00,183.0,219.0,3.28,12.32,15.6,80.42,3.02,0.8,58.72,0.23,0.65,,,,,16.88,57.5,0.6,291.88,0.0,0.0,40.95,996.5,,Najafgarh,2022,False,False,False,False,False
2022-01-01 17:00:00,174.0,227.0,3.6,13.65,16.25,79.35,2.15,0.77,47.45,0.28,0.62,,,,,13.7,67.97,0.77,304.17,0.0,0.0,8.23,996.53,,Najafgarh,2022,False,False,False,False,False
