Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2025-01-01 00:00:00,240.0,405.0,105.4,23.03,98.0,55.3,6.23,1.67,4.53,,462.97,,,,,12.1,94.0,0.3,19.0,0.0,0.0,49.33,983.0,,Narela,2025,False,False,False,False,False
2025-01-01 01:00:00,207.0,387.0,93.02,20.67,86.58,34.65,3.68,1.65,5.0,14.33,373.88,,,,,11.75,94.5,0.3,10.75,0.0,0.0,49.5,984.0,,Narela,2025,False,False,False,False,False
2025-01-01 02:00:00,233.0,370.0,85.3,18.9,79.5,33.1,3.3,1.72,3.75,13.35,305.5,,,,,12.2,95.0,0.32,7.5,0.0,0.0,49.0,984.25,,Narela,2025,False,False,False,False,False
2025-01-01 03:00:00,207.0,356.0,34.75,20.8,39.22,25.28,1.78,0.94,1.8,10.82,378.0,,,,,12.6,94.0,0.3,8.0,0.0,0.0,47.5,983.25,,Narela,2025,False,False,False,False,False
2025-01-01 04:00:00,185.0,332.0,32.33,21.75,37.83,28.52,2.12,0.81,1.75,8.78,344.85,,,,,12.7,92.75,0.32,9.0,0.0,0.0,47.0,982.75,,Narela,2025,False,False,False,False,False
2025-01-01 05:00:00,166.0,283.0,21.05,23.2,29.45,34.9,2.28,0.61,2.25,8.88,264.55,,,,,12.73,92.0,0.3,14.25,0.0,0.0,47.0,981.5,,Narela,2025,False,False,False,False,False
2025-01-01 06:00:00,132.0,210.0,15.98,22.52,24.95,40.38,1.62,0.38,3.58,7.45,175.45,,,,,12.7,90.5,0.32,17.25,0.0,0.0,46.0,981.0,,Narela,2025,False,False,False,False,False
2025-01-01 07:00:00,117.0,180.0,12.52,23.67,22.72,43.05,1.15,0.28,3.45,5.92,122.48,,,,,12.65,89.0,0.3,18.25,0.0,0.0,48.25,981.0,,Narela,2025,False,False,False,False,False
2025-01-01 08:00:00,122.0,185.0,12.1,23.72,22.42,45.3,1.02,0.88,4.03,5.45,100.1,,,,,12.72,87.75,0.42,19.0,0.0,0.0,67.5,981.0,,Narela,2025,False,False,False,False,False
2025-01-01 09:00:00,107.0,182.0,18.5,19.9,25.62,33.1,0.4,0.99,3.7,4.45,69.78,,,,,13.0,85.75,0.32,11.25,0.0,0.0,84.25,982.0,,Narela,2025,False,False,False,False,False
2025-01-01 10:00:00,127.0,195.0,17.5,19.42,24.55,27.75,,1.03,2.07,3.97,87.9,,,,,13.27,83.25,0.43,9.0,0.0,0.0,103.5,982.0,,Narela,2025,False,False,False,False,False
