Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,227.25,316.75,180.17,48.22,171.12,85.02,8.02,1.02,4.4,9.65,31.37,,,,,9.4,89.3,0.3,59.12,0.0,0.0,4.57,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 01:00:00,213.0,296.25,176.1,43.4,166.62,83.43,8.03,0.92,5.1,8.7,27.85,,,,,9.2,89.48,0.3,59.6,0.0,0.0,4.6,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 02:00:00,211.75,300.0,195.7,48.7,185.5,77.6,4.4,,4.57,8.48,25.72,,,,,9.0,89.48,0.3,59.97,0.0,0.0,4.65,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 03:00:00,210.75,300.5,184.62,43.25,173.5,79.4,4.95,0.92,4.65,8.62,25.7,,,,,8.85,89.58,0.3,59.58,0.0,0.0,4.62,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 04:00:00,219.0,300.5,187.48,38.28,172.92,74.0,4.7,0.98,4.88,8.07,26.4,,,,,8.65,89.98,0.3,59.4,0.0,0.0,4.5,985.0,,Pusa,2022,False,False,False,False,False
2022-01-01 05:00:00,216.25,296.0,184.52,42.22,172.92,74.05,5.0,0.92,4.65,7.8,25.28,,,,,8.48,89.9,0.27,45.18,0.0,0.0,4.5,985.0,,Pusa,2022,False,False,False,False,False
2022-01-01 06:00:00,205.0,288.5,142.45,41.5,138.3,73.03,4.3,0.78,4.88,7.2,23.45,,,,,8.4,89.65,0.3,340.15,0.0,0.0,4.55,985.0,,Pusa,2022,False,False,False,False,False
2022-01-01 07:00:00,193.25,261.0,110.35,39.33,110.98,73.97,3.47,0.7,5.03,6.75,21.75,,,,,8.55,89.45,0.3,340.22,0.0,0.0,17.73,985.02,,Pusa,2022,False,False,False,False,False
2022-01-01 08:00:00,196.75,274.5,161.0,51.42,159.25,83.2,3.52,0.87,6.55,7.9,23.92,,,,,10.02,88.62,0.25,173.55,0.0,0.0,80.68,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 09:00:00,229.25,379.0,157.52,108.18,184.35,100.88,3.85,1.05,6.48,9.1,28.1,,,,,12.28,74.42,0.3,195.25,0.0,0.0,170.3,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 10:00:00,230.75,441.5,142.15,98.6,167.98,100.05,3.7,1.0,10.72,7.98,27.63,,,,,14.28,62.47,0.22,193.88,0.0,0.0,248.72,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 11:00:00,253.5,451.75,112.85,103.95,147.85,109.18,2.82,0.9,19.23,8.1,30.32,,,,,15.62,56.4,0.28,213.15,0.0,0.0,330.0,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 12:00:00,233.5,425.0,84.98,116.02,129.93,101.72,3.42,0.92,27.62,6.5,24.85,,,,,16.32,52.6,0.28,207.4,0.0,0.0,316.45,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 13:00:00,232.5,399.5,56.1,111.05,103.68,102.62,5.37,0.88,42.2,6.72,37.17,,,,,16.92,49.65,0.2,226.52,0.0,0.0,313.42,985.1,,Pusa,2022,False,False,False,False,False
2022-01-01 14:00:00,221.0,366.25,30.15,85.98,70.03,96.0,8.55,0.77,62.72,7.45,35.92,,,,,17.25,46.18,0.2,287.38,0.0,0.0,252.35,985.1,,Pusa,2022,False,False,False,False,False
