Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2022-01-01 00:00:00,432.0,469.75,201.75,37.93,184.65,33.35,54.12,2.72,14.25,,,,,,,5.25,81.9,0.3,150.5,,0.0,5.42,976.5,0.08,R_K_Puram,2022,False,False,False,False,False
2022-01-01 01:00:00,366.5,402.25,120.88,45.18,122.58,33.7,39.83,2.02,14.0,,,,,,,4.9,82.28,0.3,194.75,,0.0,5.3,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 02:00:00,319.5,352.25,95.7,61.2,110.6,27.4,23.5,1.8,14.03,,,,,,,5.05,82.18,0.3,206.0,,0.0,5.3,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 03:00:00,281.5,319.75,95.7,62.15,111.05,25.15,19.75,1.68,14.1,,,,,,,5.0,82.02,0.3,220.0,,0.0,5.4,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 04:00:00,271.5,318.0,71.85,58.97,89.95,25.85,23.38,1.3,13.95,,,,,,,4.58,82.02,0.3,197.5,,0.0,5.35,976.5,0.0,R_K_Puram,2022,False,False,False,False,False
2022-01-01 05:00:00,244.25,287.25,75.05,58.75,92.45,26.25,23.9,1.0,14.18,,,,,,,4.58,82.35,0.3,242.75,,0.0,5.28,976.5,0.0,R_K_Puram,2022,False,False,False,False,False
2022-01-01 06:00:00,236.5,281.75,91.8,48.92,100.85,25.95,27.18,0.68,13.82,,,,,,,4.1,82.22,0.3,191.75,,0.0,5.38,976.5,0.0,R_K_Puram,2022,False,False,False,False,False
2022-01-01 07:00:00,223.0,267.75,87.75,53.6,100.05,25.08,28.05,0.52,14.4,,,,,,,4.3,82.78,0.3,246.25,,0.0,16.08,976.5,0.0,R_K_Puram,2022,False,False,False,False,False
2022-01-01 08:00:00,204.0,256.25,59.3,65.3,83.05,27.22,26.22,1.23,14.72,,,,,,,5.98,80.85,0.3,177.5,,0.0,66.75,976.5,0.0,R_K_Puram,2022,False,False,False,False,False
2022-01-01 09:00:00,199.75,258.5,16.85,65.7,48.7,26.5,22.48,0.98,21.45,,,,,,,8.83,72.9,0.57,162.0,,0.0,109.98,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 10:00:00,197.0,255.25,7.45,48.92,32.12,27.35,23.72,0.62,45.8,,,,,,,11.9,63.85,1.12,181.5,,0.0,197.62,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 11:00:00,200.5,257.25,5.45,45.7,28.78,28.58,21.82,0.78,71.25,,,,,,,15.68,53.25,0.92,197.75,,0.0,304.8,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 12:00:00,201.75,257.5,3.75,37.58,23.08,30.5,22.72,0.98,102.0,,,,,,,17.42,47.32,1.1,173.75,,0.0,308.05,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 13:00:00,198.0,267.5,2.78,30.9,18.73,31.72,21.58,0.88,129.1,,,,,,,18.73,42.08,0.57,212.25,,0.0,283.23,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 14:00:00,186.5,240.5,2.52,31.42,18.78,32.8,24.95,,136.35,,,,,,,18.7,39.58,0.5,193.0,,0.0,191.25,976.5,0.0,R_K_Puram,2022,False,False,False,False,False
2022-01-01 15:00:00,184.5,227.5,2.55,42.48,24.67,33.12,27.7,0.2,129.28,,,,,,,17.08,44.3,0.3,182.5,,0.0,77.72,976.52,0.02,R_K_Puram,2022,False,False,False,False,False
2022-01-01 16:00:00,212.0,261.0,5.4,70.08,41.68,33.4,28.12,1.05,65.25,,,,,,,15.05,53.78,0.3,194.25,,0.0,38.35,976.58,0.08,R_K_Puram,2022,False,False,False,False,False
2022-01-01 17:00:00,245.25,283.5,49.92,111.9,100.2,30.18,32.02,1.57,15.87,,,,,,,11.7,63.28,0.3,243.75,,0.0,10.92,976.6,0.0,R_K_Puram,2022,False,False,False,False,False
2022-01-01 18:00:00,258.5,320.75,128.6,102.08,159.12,31.38,39.5,1.98,15.2,,,,,,,9.9,71.02,0.3,207.5,,0.0,5.62,976.58,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 19:00:00,316.5,380.25,174.03,89.08,189.22,34.3,53.6,2.75,15.23,,,,,,,8.85,75.75,0.3,206.0,,0.0,5.62,976.5,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 20:00:00,399.5,444.5,219.2,76.15,219.2,35.45,61.7,3.32,15.68,,,,,,,8.07,78.52,0.3,246.25,,0.0,5.72,976.55,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 21:00:00,452.5,487.25,213.15,75.32,213.82,35.93,60.6,3.08,14.28,,,,,,,7.68,79.8,0.3,210.25,,0.0,5.75,976.55,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 22:00:00,403.75,439.5,182.72,62.75,182.35,34.85,49.22,2.52,14.05,,,,,,,7.28,80.8,0.3,228.25,,0.0,5.7,976.52,,R_K_Puram,2022,False,False,False,False,False
2022-01-01 23:00:00,358.0,403.75,179.12,52.52,173.97,33.47,42.18,2.38,13.92,,,,,,,6.6,82.05,0.3,161.0,,0.0,5.67,976.58,,R_K_Puram,2022,False,False,False,False,False
2022-01-02 00:00:00,348.0,381.75,186.18,35.32,170.6,30.28,41.42,1.82,13.8,,,,,,,5.92,83.1,0.3,157.0,,0.0,5.5,976.52,,R_K_Puram,2022,False,False,False,False,False
2022-01-02 01:00:00,336.0,369.5,153.93,30.7,141.78,31.1,35.12,1.48,14.4,,,,,,,5.52,84.02,0.3,147.0,,0.0,5.5,976.52,,R_K_Puram,2022,False,False,False,False,False
2022-01-02 02:00:00,306.5,334.0,126.8,28.1,118.3,25.1,25.9,1.7,13.88,,,,,,,5.15,84.4,0.3,172.25,,0.0,5.48,976.52,,R_K_Puram,2022,False,False,False,False,False
2022-01-02 03:00:00,297.0,331.5,85.9,33.12,87.68,24.75,23.32,1.65,14.38,,,,,,,4.95,84.88,0.3,182.75,,0.0,5.62,976.55,,R_K_Puram,2022,False,False,False,False,False
2022-01-02 04:00:00,296.5,340.25,92.65,42.65,98.2,24.08,27.52,1.65,14.55,,,,,,,5.48,85.22,0.3,181.5,,0.0,5.68,976.52,,R_K_Puram,2022,False,False,False,False,False
2022-01-02 05:00:00,306.75,356.5,69.1,55.68,85.92,27.08,26.3,1.25,14.15,,,,,,,5.62,85.3,0.3,190.0,,0.0,5.68,976.5,,R_K_Puram,2022,False,False,False,False,False
