Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,O Xylene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,BP,VWS,station,year,flag_pm25_negative,flag_pm25_extreme,flag_pm10_negative,flag_pm10_extreme,flag_pm10_less_than_pm25
2025-01-01 00:00:00,348.0,545.0,123.17,58.73,131.83,27.53,8.23,3.28,4.47,0.33,14.1,,,,,10.87,92.0,1.13,245.0,0.0,0.0,6.0,989.0,,Rohini,2025,False,False,False,False,False
2025-01-01 01:00:00,334.0,492.0,83.98,53.32,96.18,27.95,7.1,2.81,4.2,0.32,13.78,,,,,10.4,93.0,1.02,217.75,0.0,0.0,6.0,989.0,,Rohini,2025,False,False,False,False,False
2025-01-01 02:00:00,282.0,423.0,44.9,52.2,64.4,29.0,6.7,2.13,4.57,0.3,12.72,,,,,10.7,98.0,1.23,263.25,0.0,0.0,6.0,989.0,,Rohini,2025,False,False,False,False,False
2025-01-01 03:00:00,161.0,263.0,25.22,64.83,55.05,25.7,5.0,1.41,3.87,0.2,11.7,,,,,11.08,96.0,1.22,275.25,0.0,0.0,6.0,988.25,,Rohini,2025,False,False,False,False,False
2025-01-01 04:00:00,213.0,362.0,15.15,61.45,45.05,22.92,5.1,1.2,3.88,0.2,11.45,,,,,11.08,93.0,1.25,266.5,0.0,0.0,6.0,988.0,,Rohini,2025,False,False,False,False,False
2025-01-01 05:00:00,153.0,278.0,5.6,51.3,32.92,22.83,4.68,1.07,6.5,0.12,9.55,,,,,11.25,89.75,1.2,241.75,0.0,0.0,6.0,988.0,,Rohini,2025,False,False,False,False,False
2025-01-01 06:00:00,153.0,238.0,2.7,38.15,22.45,23.02,4.3,0.83,21.02,0.1,8.57,,,,,11.12,87.0,1.35,252.75,0.0,0.0,6.0,988.0,,Rohini,2025,False,False,False,False,False
2025-01-01 07:00:00,134.0,194.0,2.4,32.72,19.38,23.4,3.78,0.91,28.5,0.08,6.93,,,,,10.95,86.25,1.5,267.5,0.0,0.0,8.5,988.25,,Rohini,2025,False,False,False,False,False
2025-01-01 08:00:00,136.0,183.0,3.3,33.25,20.35,23.07,3.78,0.88,27.7,0.0,6.28,,,,,11.0,86.0,1.4,235.0,0.0,0.0,38.5,989.0,,Rohini,2025,False,False,False,False,False
2025-01-01 09:00:00,144.0,186.0,3.5,29.4,18.5,23.18,3.88,0.86,34.2,0.0,5.82,,,,,11.5,84.0,1.52,245.75,0.0,0.0,64.25,989.5,,Rohini,2025,False,False,False,False,False
