Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,276.00,473.00,34.87,51.23,55.60,39.53,10.63,1.72,3.27,1.03,7.93,NA,NA,NA,NA,10.77,95.00,1.20,55.00,0.00,0.00,8.00,982.00,NA
2025-01-01 01:00:00,206.00,356.00,22.22,48.85,44.10,38.62,9.68,1.23,3.50,0.95,4.88,NA,NA,NA,NA,10.68,95.00,1.12,55.00,0.00,0.00,8.25,981.50,NA
2025-01-01 02:00:00,210.00,366.00,21.40,43.60,40.60,39.60,NA,NA,2.90,0.90,3.40,NA,NA,NA,NA,10.82,95.00,1.10,56.00,0.00,0.00,8.00,982.00,NA
2025-01-01 03:00:00,132.00,298.00,3.12,59.47,34.17,34.25,12.55,0.89,4.55,0.68,2.10,NA,NA,NA,NA,11.60,90.75,1.08,57.25,0.00,0.00,8.00,982.00,NA
2025-01-01 04:00:00,128.00,300.00,2.75,56.08,30.38,35.05,11.87,0.92,5.32,0.57,1.48,NA,NA,NA,NA,11.88,90.75,1.18,56.50,0.00,0.00,8.00,982.00,NA
2025-01-01 05:00:00,123.00,262.00,NA,49.08,25.02,35.10,10.95,0.56,15.38,0.52,2.00,NA,NA,NA,NA,12.10,87.75,1.35,57.50,0.00,0.00,8.00,982.00,NA
2025-01-01 06:00:00,129.00,240.00,NA,36.50,18.52,35.00,12.05,0.70,19.35,0.48,2.00,NA,NA,NA,NA,11.95,86.00,1.35,58.25,0.00,0.00,8.00,982.00,NA
2025-01-01 07:00:00,144.00,227.00,NA,28.58,13.98,38.58,10.77,0.68,27.83,0.40,1.12,NA,NA,NA,NA,11.70,85.75,1.40,58.50,0.00,0.00,11.25,982.00,NA
2025-01-01 08:00:00,128.00,191.00,0.90,26.90,14.32,35.83,13.43,0.95,28.30,0.40,0.80,NA,NA,NA,NA,11.75,85.25,1.40,58.75,0.00,0.00,40.75,982.00,NA
2025-01-01 09:00:00,141.00,211.00,1.70,29.78,16.77,36.48,12.98,0.94,27.35,0.40,0.73,NA,NA,NA,NA,12.25,82.50,1.40,59.25,0.00,0.00,73.00,982.00,NA
2025-01-01 10:00:00,153.00,232.00,1.12,27.65,15.58,38.20,12.95,0.91,32.90,0.40,0.73,NA,NA,NA,NA,12.88,79.00,1.42,60.00,0.00,0.00,128.00,982.00,NA
2025-01-01 11:00:00,141.00,207.00,2.58,27.48,16.70,38.68,13.88,0.93,34.75,0.40,0.85,NA,NA,NA,NA,13.92,74.25,1.38,59.25,0.00,0.00,197.25,982.00,NA
2025-01-01 12:00:00,152.00,217.00,1.88,30.95,18.00,38.83,14.42,0.89,39.40,0.43,2.02,NA,NA,NA,NA,14.90,68.75,1.42,60.75,0.00,0.00,235.00,981.75,NA
2025-01-01 13:00:00,153.00,226.00,2.22,30.52,18.02,39.98,13.32,0.85,43.05,0.40,1.70,NA,NA,NA,NA,14.98,68.00,1.45,59.50,0.00,0.00,215.75,981.75,NA
2025-01-01 14:00:00,157.00,228.00,1.85,31.28,18.12,40.70,11.87,0.96,48.38,0.40,1.30,NA,NA,NA,NA,15.02,67.75,1.45,59.75,0.00,0.00,188.50,982.00,NA
2025-01-01 15:00:00,150.00,221.00,0.95,30.78,17.15,42.03,8.88,0.99,50.15,0.40,1.30,NA,NA,NA,NA,14.73,70.00,1.45,60.50,0.00,0.00,131.00,981.25,NA
2025-01-01 16:00:00,147.00,221.00,0.25,32.30,16.90,43.22,9.62,0.96,45.75,0.40,1.60,NA,NA,NA,NA,14.20,74.25,1.38,58.00,0.00,0.00,66.25,981.75,NA
2025-01-01 17:00:00,146.00,221.00,1.70,46.38,25.52,43.30,10.12,1.16,28.72,0.48,2.08,NA,NA,NA,NA,13.35,80.50,1.30,56.00,0.00,0.00,19.25,982.00,NA
2025-01-01 18:00:00,162.00,260.00,0.95,54.28,29.62,45.95,8.45,1.28,15.22,0.65,3.68,NA,NA,NA,NA,12.65,85.25,1.25,56.00,0.00,0.00,8.00,982.00,NA
2025-01-01 19:00:00,195.00,294.00,2.05,59.20,33.12,47.12,8.90,1.70,8.68,0.77,4.35,NA,NA,NA,NA,12.38,88.50,1.27,56.00,0.00,0.00,8.00,981.75,NA
2025-01-01 20:00:00,213.00,321.00,1.52,59.75,33.02,47.80,10.83,0.74,9.55,1.02,3.65,NA,NA,NA,NA,12.20,90.00,1.40,56.25,0.00,0.00,8.00,982.00,NA
2025-01-01 21:00:00,217.00,328.00,6.50,64.68,39.70,48.32,11.68,0.80,5.68,1.08,3.78,NA,NA,NA,NA,12.12,90.00,1.32,56.25,0.00,0.00,8.00,982.00,NA
2025-01-01 22:00:00,212.00,345.00,21.10,66.78,52.68,50.02,11.38,0.88,3.88,0.98,6.40,NA,NA,NA,NA,11.78,90.75,1.30,55.75,0.00,0.00,8.00,982.00,NA
2025-01-01 23:00:00,240.00,381.00,10.60,56.08,35.93,51.45,11.20,0.78,5.68,1.10,5.58,NA,NA,NA,NA,11.72,90.25,1.30,56.50,0.00,0.00,8.00,982.00,NA
2025-01-02 00:00:00,164.00,280.00,NA,34.53,16.52,52.90,10.80,0.15,23.95,0.92,2.35,NA,NA,NA,NA,12.35,88.75,1.33,57.75,0.00,0.00,8.00,982.00,NA
