Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,108.67,107.94,21.98,24.46,30.87,NA,NA,1.01,47.47,NA,NA,20.94,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,110.44,122.30,13.31,25.71,24.49,NA,NA,0.85,47.14,NA,NA,20.91,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,106.68,143.80,31.79,14.80,33.72,NA,NA,1.07,47.19,NA,NA,20.89,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,117.14,147.63,31.51,16.20,34.24,NA,NA,0.94,48.20,NA,NA,20.92,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,96.69,117.35,20.79,19.58,27.30,NA,NA,0.75,49.00,NA,NA,21.02,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,101.34,93.33,7.16,22.53,17.80,NA,NA,0.49,48.08,NA,NA,20.97,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,98.28,82.61,4.92,17.75,13.44,NA,NA,0.37,49.71,NA,NA,20.97,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,88.04,72.92,4.03,13.22,10.30,NA,NA,0.29,54.49,NA,NA,21.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,64.77,69.47,3.89,10.60,8.80,NA,NA,0.25,58.00,NA,NA,20.99,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,76.75,83.98,4.99,13.47,11.22,NA,NA,0.28,58.51,NA,NA,21.04,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,113.65,113.45,4.01,13.67,9.87,NA,NA,0.28,60.14,NA,NA,21.07,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,108.08,139.10,4.48,9.75,8.65,NA,NA,0.31,61.61,NA,NA,21.20,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,114.93,132.80,4.17,11.22,9.36,NA,NA,0.30,63.39,NA,NA,21.35,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,107.04,126.04,6.40,10.54,9.61,NA,NA,0.30,65.09,NA,NA,21.52,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,117.88,134.14,4.44,10.57,9.23,NA,NA,0.29,67.67,NA,NA,21.59,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 15:00:00,125.00,130.93,3.91,10.04,8.52,NA,NA,0.28,68.10,NA,NA,21.41,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
