Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,175.52,245.51,24.62,11.19,25.97,NA,NA,0.90,8.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,163.06,256.20,25.83,10.52,26.59,NA,NA,0.90,11.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,129.57,243.81,26.72,10.46,27.28,NA,NA,0.85,9.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,87.17,229.50,25.86,10.64,26.69,NA,NA,0.79,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,117.26,184.84,25.06,10.59,26.01,NA,NA,0.75,9.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,116.44,180.23,23.61,10.95,25.02,NA,NA,0.71,15.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,137.79,202.32,21.92,11.15,23.75,NA,NA,0.66,24.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,127.57,179.82,20.56,11.31,22.73,NA,NA,0.64,24.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,118.82,176.81,19.38,11.42,21.83,NA,NA,0.62,26.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,113.19,164.46,18.01,11.48,20.75,NA,NA,0.60,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
