Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,231.08,488.58,323.34,NA,238.74,NA,NA,4.02,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,230.45,484.87,373.63,NA,267.93,NA,NA,4.26,5.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,226.88,454.38,319.13,1.77,232.09,NA,NA,3.95,6.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,229.13,388.06,89.46,27.60,87.51,NA,NA,1.20,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,193.08,272.22,73.95,34.96,78.69,NA,NA,0.58,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,170.56,266.24,74.89,39.43,81.88,NA,NA,0.64,4.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,156.60,299.35,52.87,39.31,63.96,NA,NA,0.59,7.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,140.74,261.93,37.88,35.83,49.79,NA,NA,0.51,9.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,124.34,243.96,61.58,31.49,66.88,NA,NA,0.63,11.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,101.45,189.25,46.55,34.26,56.04,NA,NA,0.62,18.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,135.97,224.89,34.33,32.22,45.10,NA,NA,0.51,33.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,146.64,213.72,29.01,41.51,45.66,NA,NA,0.61,45.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,149.72,245.99,39.27,48.26,57.54,NA,NA,0.66,40.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,160.38,290.85,37.62,49.49,56.96,NA,NA,0.69,48.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,146.45,289.27,29.41,51.81,51.44,NA,NA,0.65,53.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 15:00:00,136.67,242.23,35.24,57.32,59.14,NA,NA,0.67,45.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 16:00:00,162.26,247.40,42.99,62.61,68.24,NA,NA,0.90,29.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 17:00:00,194.59,301.28,86.18,52.46,97.91,NA,NA,1.27,8.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
