Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,110.00,401.33,45.10,40.12,85.22,69.63,64.07,1.71,37.12,0.47,NA,NA,NA,1.88,0.05,NA,98.28,NA,NA,0.00,0.00,NA,NA,NA
2025-01-01 01:00:00,101.46,414.16,46.74,41.80,88.50,72.84,65.42,1.72,37.25,0.76,NA,NA,NA,2.00,0.05,NA,98.39,NA,NA,0.00,0.00,NA,NA,NA
2025-01-01 02:00:00,93.97,342.00,53.12,41.79,94.97,80.13,66.60,1.62,37.01,0.50,NA,NA,NA,2.00,NA,NA,98.62,NA,NA,0.00,0.00,NA,NA,NA
2025-01-01 03:00:00,93.29,319.00,64.19,38.60,102.74,86.84,64.39,1.54,36.92,0.67,NA,NA,NA,1.77,NA,NA,98.69,NA,NA,0.00,0.00,NA,NA,NA
2025-01-01 04:00:00,88.44,355.94,62.73,44.60,107.29,89.75,64.31,1.46,36.98,0.49,NA,NA,NA,1.77,NA,NA,98.45,NA,NA,0.00,0.00,NA,NA,NA
2025-01-01 05:00:00,80.74,339.16,54.14,45.36,99.51,80.38,65.78,1.36,37.14,0.50,NA,NA,NA,1.67,0.08,NA,95.32,0.47,82.46,0.00,0.00,NA,NA,NA
2025-01-01 06:00:00,73.44,250.72,41.69,43.92,85.70,66.67,66.42,1.08,37.36,0.76,NA,NA,NA,1.72,0.10,NA,90.21,0.70,277.92,0.00,0.00,NA,NA,NA
2025-01-01 07:00:00,57.90,194.00,32.82,40.17,72.97,56.07,64.00,0.86,37.68,0.62,NA,NA,NA,1.47,0.07,NA,89.30,0.41,281.40,0.00,0.00,11.49,NA,NA
2025-01-01 08:00:00,47.60,218.76,24.44,38.80,63.28,48.01,64.35,0.82,38.38,0.75,NA,NA,NA,1.32,0.15,NA,87.71,0.79,244.98,0.00,0.00,63.44,NA,NA
2025-01-01 09:00:00,50.74,229.00,22.03,38.50,60.52,43.87,65.80,0.79,38.92,0.51,NA,NA,NA,1.28,0.05,NA,85.86,0.82,285.24,0.00,0.00,105.43,NA,NA
2025-01-01 10:00:00,56.03,220.00,23.30,36.19,59.58,43.51,65.94,0.68,38.49,0.62,NA,NA,NA,1.27,0.03,NA,82.82,1.06,254.36,0.00,0.00,213.57,NA,NA
2025-01-01 11:00:00,50.74,213.00,22.98,36.30,59.25,43.25,64.14,0.67,39.07,0.51,NA,NA,NA,1.20,0.07,NA,79.94,1.79,250.70,0.00,0.00,328.90,NA,NA
2025-01-01 12:00:00,66.53,231.59,19.28,35.42,54.75,47.86,64.40,0.68,56.65,0.67,NA,NA,NA,1.20,0.05,NA,76.59,1.75,249.16,0.00,0.00,374.54,NA,NA
2025-01-01 13:00:00,78.76,213.83,20.88,34.04,54.96,40.42,63.69,0.65,39.73,0.75,NA,NA,NA,1.20,0.13,NA,74.51,1.12,216.83,0.00,0.00,403.02,NA,NA
2025-01-01 14:00:00,50.79,205.00,19.21,34.05,53.21,39.22,64.62,0.70,39.61,0.49,NA,NA,NA,1.20,0.07,NA,72.92,1.08,242.14,0.00,0.00,374.84,NA,NA
2025-01-01 15:00:00,45.82,202.97,19.74,36.94,56.64,40.19,66.46,0.71,39.60,0.76,NA,NA,NA,1.20,0.05,NA,76.36,0.95,244.55,0.00,0.00,177.44,NA,NA
2025-01-01 16:00:00,53.55,210.87,23.28,34.65,58.00,42.10,65.30,0.61,39.49,0.49,NA,NA,NA,1.20,0.08,NA,80.72,0.94,224.12,0.00,0.00,80.53,NA,NA
2025-01-01 17:00:00,55.84,218.00,23.38,36.70,60.03,44.65,63.83,0.66,38.73,0.67,NA,NA,NA,1.20,0.12,NA,85.50,0.28,297.37,0.00,0.00,13.58,NA,NA
2025-01-01 18:00:00,40.30,238.50,48.47,35.41,82.05,54.94,64.69,0.76,37.90,0.94,NA,NA,NA,1.20,0.49,NA,90.31,0.39,298.04,0.00,0.00,NA,NA,NA
2025-01-01 19:00:00,63.20,NA,21.94,39.70,61.63,44.48,66.27,0.87,38.07,0.75,NA,NA,NA,1.25,NA,NA,92.96,NA,298.10,0.00,0.00,NA,NA,NA
2025-01-01 20:00:00,82.42,315.47,25.15,39.12,64.31,47.17,66.08,1.00,37.51,1.00,NA,NA,NA,1.22,NA,NA,95.48,NA,298.06,0.00,0.00,NA,NA,NA
2025-01-01 21:00:00,85.10,350.00,26.45,39.43,65.86,50.73,64.04,1.13,37.47,0.62,NA,NA,NA,1.25,NA,NA,95.49,NA,298.02,0.00,0.00,NA,NA,NA
2025-01-01 22:00:00,75.20,315.55,23.99,38.61,62.62,48.51,64.34,1.22,37.64,0.76,NA,NA,NA,1.32,0.02,NA,96.53,NA,298.08,0.00,0.00,NA,NA,NA
2025-01-01 23:00:00,71.40,305.60,22.13,39.94,61.99,46.07,66.26,1.20,38.10,0.51,NA,NA,NA,1.30,0.07,NA,94.01,0.33,299.04,0.00,0.00,NA,NA,NA
2025-01-02 00:00:00,70.42,261.20,23.95,37.82,61.83,45.50,65.15,0.99,38.53,0.67,NA,NA,NA,1.25,0.03,NA,91.46,1.25,291.20,0.00,0.00,NA,NA,NA
2025-01-02 01:00:00,65.24,254.00,22.76,35.81,58.61,43.11,63.70,0.90,38.83,0.75,NA,NA,NA,1.20,0.07,NA,91.53,0.88,338.16,0.00,0.00,NA,NA,NA
2025-01-02 02:00:00,61.79,260.00,19.93,35.18,55.09,40.30,64.84,0.91,39.21,0.62,NA,NA,NA,1.20,0.05,NA,91.16,0.59,318.96,0.00,0.00,NA,NA,NA
2025-01-02 03:00:00,66.58,263.00,19.10,37.00,56.12,39.76,66.16,0.88,39.37,0.50,NA,NA,NA,1.20,NA,NA,91.59,0.21,298.25,0.00,0.00,NA,NA,NA
2025-01-02 04:00:00,66.63,281.92,22.91,33.85,56.78,41.23,64.47,0.78,38.89,0.84,NA,NA,NA,1.20,0.13,NA,92.43,0.18,249.40,0.00,0.00,NA,NA,NA
2025-01-02 05:00:00,64.18,285.87,22.72,33.23,55.96,42.00,63.80,0.79,38.68,0.74,NA,NA,NA,1.20,0.10,NA,94.01,0.50,252.32,0.00,0.00,NA,NA,NA
2025-01-02 06:00:00,71.53,315.90,20.00,33.75,53.72,40.63,64.86,0.85,39.19,0.63,NA,NA,NA,1.20,0.02,NA,95.46,0.94,244.79,0.00,0.00,NA,NA,NA
2025-01-02 07:00:00,73.29,292.00,20.45,35.18,55.68,40.33,65.75,0.84,38.65,0.62,NA,NA,NA,1.20,0.05,NA,96.77,0.42,208.48,0.00,0.00,4.31,NA,NA
2025-01-02 08:00:00,61.03,235.54,24.69,33.04,57.68,42.36,64.00,0.80,38.11,0.75,NA,NA,NA,1.20,0.13,NA,96.78,0.20,187.77,0.00,0.00,19.89,NA,NA
2025-01-02 09:00:00,56.86,252.00,21.34,35.08,56.42,41.16,63.28,0.86,37.99,0.84,NA,NA,NA,0.60,0.17,NA,94.30,0.68,296.21,0.00,0.00,62.03,NA,NA
2025-01-02 10:00:00,61.40,275.01,20.82,36.05,56.85,42.04,64.80,0.94,38.55,0.75,NA,NA,NA,1.20,NA,NA,90.20,2.25,293.77,0.00,0.00,153.12,NA,NA
2025-01-02 11:00:00,70.00,296.00,21.73,36.25,58.04,42.53,65.39,0.90,38.45,1.00,NA,NA,NA,1.20,0.10,NA,85.62,1.17,212.79,0.00,0.00,212.15,NA,NA
2025-01-02 12:00:00,67.18,254.29,24.46,37.78,62.16,47.76,63.75,0.92,39.26,0.67,NA,NA,NA,1.20,0.05,NA,81.79,0.94,190.57,0.00,0.00,273.77,NA,NA
2025-01-02 13:00:00,63.76,256.00,21.60,37.92,59.51,46.60,64.56,1.05,40.24,1.00,NA,NA,NA,1.20,0.05,NA,78.48,0.82,177.94,0.00,0.00,341.92,NA,NA
2025-01-02 14:00:00,65.34,227.64,19.94,39.19,59.20,44.16,65.71,1.08,39.97,0.47,NA,NA,NA,1.20,0.05,NA,76.27,0.60,234.09,0.00,0.00,331.18,NA,NA
2025-01-02 15:00:00,62.58,217.00,21.24,35.82,57.04,42.97,64.58,1.07,41.11,0.50,NA,NA,NA,1.20,0.13,NA,78.49,1.17,280.34,0.00,0.00,172.50,NA,NA
2025-01-02 16:00:00,76.79,259.00,20.56,38.34,58.92,51.68,65.45,1.06,48.10,0.63,NA,NA,NA,1.30,0.07,NA,82.51,0.60,323.52,0.00,0.00,68.84,NA,NA
2025-01-02 17:00:00,96.54,276.99,20.58,34.76,55.36,42.11,64.88,1.10,39.30,0.62,NA,NA,NA,1.20,NA,NA,88.24,NA,357.74,0.00,0.00,12.40,NA,NA
2025-01-02 18:00:00,87.64,309.55,20.16,38.49,58.55,44.57,66.48,1.28,38.11,0.63,NA,NA,NA,1.25,0.05,NA,93.83,NA,357.76,0.00,0.00,NA,NA,NA
