Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,77.18,239.45,16.67,34.81,32.06,46.24,18.48,0.09,8.39,1.95,2.90,1.88,NA,1.37,1.85,NA,94.92,0.54,150.13,NA,0.00,13.75,NA,-0.12
2025-01-01 01:00:00,78.60,245.42,18.77,37.18,35.04,48.16,21.29,0.07,8.56,1.98,2.89,1.84,NA,1.30,1.78,NA,94.94,0.50,145.13,NA,0.00,14.38,NA,-0.13
2025-01-01 02:00:00,77.30,248.08,17.92,32.01,31.60,49.00,23.95,0.06,8.64,2.04,2.91,1.91,NA,1.29,1.78,NA,94.95,1.18,126.72,NA,0.00,16.55,NA,-0.13
2025-01-01 03:00:00,83.05,237.62,17.23,33.71,31.94,48.46,22.92,0.06,9.68,1.99,2.84,1.88,NA,1.32,1.79,NA,93.17,1.38,136.63,NA,0.00,16.23,NA,-0.14
2025-01-01 04:00:00,67.15,213.12,16.29,30.48,29.46,48.22,22.54,0.05,9.07,2.01,2.93,1.89,NA,1.28,1.81,NA,89.56,0.96,82.14,NA,0.00,16.10,NA,-0.14
2025-01-01 05:00:00,48.15,201.30,17.10,32.91,31.40,48.69,20.37,0.04,9.24,1.98,2.90,1.86,NA,1.31,1.78,NA,86.16,0.92,68.56,NA,0.00,14.60,NA,-0.14
2025-01-01 06:00:00,52.15,185.60,16.20,31.48,29.92,47.77,22.22,0.05,9.14,1.97,2.86,1.89,NA,1.40,1.80,NA,85.05,1.15,73.47,NA,0.00,13.90,NA,-0.19
2025-01-01 07:00:00,43.80,177.85,15.49,29.22,28.14,50.07,23.65,0.06,9.19,2.02,2.92,1.91,NA,1.33,1.72,NA,85.27,1.19,83.77,NA,0.00,21.65,NA,-0.13
2025-01-01 08:00:00,42.75,168.02,13.38,26.28,24.85,48.06,19.14,0.06,9.30,1.91,2.88,1.92,NA,1.27,1.80,NA,84.10,1.06,69.21,NA,0.00,50.75,NA,-0.07
2025-01-01 09:00:00,57.85,166.92,16.54,35.54,32.35,47.88,17.55,0.08,9.68,2.00,2.89,1.91,NA,1.32,1.87,NA,80.78,1.05,60.03,NA,0.00,98.00,NA,-0.03
2025-01-01 10:00:00,53.20,163.30,17.49,37.38,34.10,47.56,13.86,0.08,8.36,1.98,2.89,1.82,NA,1.35,1.75,NA,76.47,1.39,90.22,NA,0.00,146.38,NA,0.12
2025-01-01 11:00:00,53.63,164.27,13.08,27.24,25.16,46.47,13.62,0.11,9.81,2.03,2.89,1.87,NA,1.36,1.85,NA,75.10,1.34,95.01,NA,0.00,192.70,NA,0.22
2025-01-01 12:00:00,57.70,158.70,13.24,30.74,27.11,46.68,7.24,1.73,8.51,2.00,2.92,1.90,NA,1.30,1.74,NA,66.70,0.89,83.52,NA,0.00,230.90,NA,0.28
2025-01-01 13:00:00,54.18,164.78,17.96,42.60,37.26,46.22,3.55,2.84,9.11,1.96,2.92,1.94,NA,1.28,1.80,NA,64.01,1.02,87.99,NA,0.00,181.15,NA,0.17
2025-01-01 14:00:00,63.38,166.78,16.31,35.04,31.90,47.45,3.23,3.16,8.11,2.02,2.91,1.86,NA,1.26,1.75,NA,63.83,1.30,89.55,NA,0.00,121.95,NA,0.05
2025-01-01 15:00:00,53.58,165.15,14.92,33.59,30.00,46.01,3.37,1.19,9.19,1.99,2.90,1.83,NA,1.30,1.79,NA,63.98,1.23,91.07,NA,0.00,75.85,NA,-0.03
2025-01-01 16:00:00,39.72,167.72,15.44,36.12,31.77,46.98,3.08,1.46,9.68,1.99,2.91,1.90,NA,1.30,1.75,NA,70.87,1.30,112.33,NA,0.00,39.83,NA,-0.09
2025-01-01 17:00:00,50.92,177.12,17.08,36.88,33.50,48.00,3.09,1.29,8.37,1.96,2.90,1.82,NA,1.34,1.78,NA,77.43,1.04,104.40,NA,0.00,15.98,NA,-0.13
2025-01-01 18:00:00,67.62,176.42,16.37,36.25,32.59,48.30,2.88,0.98,9.37,1.93,2.89,1.91,NA,1.39,1.84,NA,81.33,1.09,95.77,NA,0.00,14.02,NA,-0.13
2025-01-01 19:00:00,66.80,184.22,16.81,36.35,33.01,46.66,3.15,0.94,9.32,1.96,2.85,1.84,NA,1.32,1.82,NA,83.10,1.06,115.64,NA,0.00,13.58,NA,-0.12
2025-01-01 20:00:00,67.47,193.90,14.54,33.20,29.49,48.40,3.53,0.74,9.57,1.98,2.90,1.85,NA,1.36,1.72,NA,85.64,1.08,98.98,NA,0.00,13.90,NA,-0.09
2025-01-01 21:00:00,63.28,208.00,13.56,33.24,28.70,47.46,3.72,1.58,9.60,1.99,2.86,1.91,NA,1.29,1.78,NA,86.93,0.95,100.44,NA,0.00,13.40,NA,-0.06
2025-01-01 22:00:00,62.60,209.50,18.61,42.91,37.96,47.23,3.46,0.90,9.44,1.98,2.90,1.89,NA,1.32,1.81,NA,88.76,0.94,103.78,NA,0.00,14.05,NA,-0.11
2025-01-01 23:00:00,64.07,204.87,18.29,40.93,36.64,47.78,3.59,1.15,7.91,2.01,2.92,1.91,NA,1.27,1.82,NA,88.08,1.29,97.63,NA,0.00,16.00,NA,-0.12
2025-01-02 00:00:00,55.77,188.38,16.93,37.38,33.66,48.41,3.73,2.22,9.61,1.99,2.94,1.89,NA,1.32,1.77,NA,87.94,1.34,110.00,NA,0.00,14.42,NA,-0.15
2025-01-02 01:00:00,42.55,173.92,19.13,37.38,35.44,47.36,3.95,3.61,8.92,1.96,2.85,1.86,NA,1.30,1.76,NA,88.52,0.97,93.41,NA,0.00,14.55,NA,-0.16
2025-01-02 02:00:00,31.00,170.08,18.12,35.66,33.70,48.08,4.32,4.43,9.79,1.95,2.88,1.86,NA,1.36,1.80,NA,89.31,1.08,88.58,NA,0.00,13.68,NA,-0.17
2025-01-02 03:00:00,26.50,167.08,18.00,34.69,33.09,48.17,3.96,1.28,8.74,2.01,2.86,1.88,NA,1.32,1.78,NA,89.90,0.95,50.91,NA,0.00,14.48,NA,-0.18
2025-01-02 04:00:00,27.50,165.20,18.85,34.68,33.77,50.16,4.01,1.13,9.20,1.98,2.94,1.91,NA,1.30,1.77,NA,90.56,1.00,41.02,NA,0.00,13.72,NA,-0.19
