Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,200.41,424.39,137.17,NA,98.82,NA,NA,1.51,2.75,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,253.74,427.31,153.96,NA,108.86,NA,NA,1.53,4.49,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,241.08,423.43,157.01,NA,111.50,NA,NA,1.52,3.99,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,153.84,391.40,123.85,NA,91.58,NA,NA,1.09,2.27,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,86.06,289.40,83.12,1.86,66.96,NA,NA,0.74,2.64,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,83.68,252.03,60.15,7.61,52.92,NA,NA,0.63,3.33,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,98.14,265.01,45.55,10.77,42.74,NA,NA,0.58,5.88,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,104.24,237.80,31.37,16.23,34.12,NA,NA,0.52,4.42,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,112.51,204.62,22.62,18.13,28.02,NA,NA,0.46,8.18,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,120.15,185.38,16.17,20.80,24.20,NA,NA,0.45,11.62,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,127.95,225.65,11.01,24.01,21.72,NA,NA,0.47,17.70,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,129.20,253.35,7.06,22.78,17.85,NA,NA,0.47,21.44,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,116.89,234.02,4.63,23.47,16.24,NA,NA,0.42,26.31,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,132.97,241.31,5.43,24.37,17.37,NA,NA,0.45,27.52,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,137.30,268.57,5.14,24.46,17.19,NA,NA,0.46,32.07,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 15:00:00,170.39,288.31,5.32,24.16,17.17,NA,NA,0.49,32.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 16:00:00,156.21,273.63,4.49,27.40,18.22,NA,NA,0.48,22.38,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 17:00:00,153.41,286.01,5.55,30.19,20.58,NA,NA,0.54,8.47,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 18:00:00,132.28,281.95,13.00,27.56,25.24,NA,NA,0.62,2.41,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 19:00:00,120.80,246.85,23.50,20.34,29.96,NA,NA,0.67,3.55,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 20:00:00,104.78,236.14,43.53,12.41,42.01,NA,NA,0.81,1.62,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 21:00:00,109.78,234.11,55.25,7.66,48.99,NA,NA,0.86,1.75,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 22:00:00,144.49,282.50,59.97,4.52,51.17,NA,NA,0.86,2.17,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 23:00:00,144.80,260.81,55.21,6.15,48.14,NA,NA,0.80,3.05,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,127.45,258.18,44.05,10.67,41.46,NA,NA,0.73,4.05,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 01:00:00,86.69,212.37,27.99,15.13,30.79,NA,NA,0.58,4.67,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 02:00:00,94.86,219.50,19.17,17.36,24.81,NA,NA,0.54,7.49,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 03:00:00,94.23,223.16,11.86,18.77,19.62,NA,NA,0.50,11.40,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 04:00:00,95.13,223.40,7.94,18.81,16.46,NA,NA,0.50,13.97,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 05:00:00,80.97,251.20,5.03,20.82,15.16,NA,NA,0.52,9.53,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 06:00:00,96.05,239.37,4.30,21.41,14.88,NA,NA,0.48,9.18,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 07:00:00,90.52,201.44,4.55,21.00,14.87,NA,NA,0.47,8.25,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 08:00:00,94.74,200.08,5.81,22.27,16.58,NA,NA,0.52,7.48,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 09:00:00,124.62,251.59,8.02,23.10,18.81,NA,NA,0.58,6.18,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 10:00:00,144.03,282.13,8.32,25.21,20.17,NA,NA,0.58,10.89,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 11:00:00,171.58,245.90,7.62,23.91,18.90,NA,NA,0.61,18.07,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 12:00:00,166.82,262.14,8.26,33.41,24.48,NA,NA,0.64,24.22,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 13:00:00,152.12,269.63,7.98,31.21,23.09,NA,NA,0.65,29.82,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 14:00:00,121.20,243.39,7.23,32.86,23.36,NA,NA,0.67,32.80,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 15:00:00,152.45,277.37,6.82,34.15,23.70,NA,NA,0.69,32.73,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 16:00:00,144.31,285.42,7.63,37.83,26.32,NA,NA,0.70,18.80,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 17:00:00,182.21,329.21,12.87,38.63,31.03,NA,NA,0.78,4.05,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
