Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,291.00,437.00,142.37,60.30,147.93,66.97,12.20,3.76,11.77,4.93,23.43,NA,NA,NA,NA,12.60,82.33,1.70,155.00,0.00,0.00,5.00,988.67,NA
2025-01-01 01:00:00,343.50,485.00,150.52,56.78,152.75,68.92,12.42,4.03,NA,5.10,23.07,NA,NA,NA,NA,12.32,86.00,1.70,155.00,0.00,0.00,5.00,988.00,NA
2025-01-01 02:00:00,344.50,483.00,138.10,50.20,138.80,74.20,12.50,3.81,9.70,4.40,22.60,NA,NA,NA,NA,12.58,86.00,1.38,155.00,0.00,0.00,5.00,989.25,NA
2025-01-01 03:00:00,296.25,436.50,74.73,63.60,94.52,67.80,7.00,2.42,10.42,3.82,18.95,NA,NA,NA,NA,13.35,86.00,1.42,131.75,0.00,0.00,5.00,988.50,NA
2025-01-01 04:00:00,162.75,302.25,13.65,61.48,43.72,56.92,5.25,1.18,32.55,1.88,6.00,NA,NA,NA,NA,13.45,82.25,1.18,118.00,0.00,0.00,5.00,988.00,NA
2025-01-01 05:00:00,110.25,244.75,11.22,70.10,46.42,52.50,3.27,1.06,16.65,1.65,4.70,NA,NA,NA,NA,13.95,82.00,1.25,141.75,0.00,0.00,5.00,989.00,NA
2025-01-01 06:00:00,120.25,243.50,8.93,66.15,42.55,48.78,3.13,0.95,14.40,1.60,7.28,NA,NA,NA,NA,14.00,78.75,1.25,120.25,0.00,0.00,5.00,989.25,NA
2025-01-01 07:00:00,123.50,224.75,8.57,55.80,36.70,54.47,5.32,0.89,4.90,1.20,4.32,NA,NA,NA,NA,13.78,78.25,1.25,139.50,0.00,0.00,8.50,989.50,NA
2025-01-01 08:00:00,142.50,227.00,10.65,53.55,37.22,58.05,4.00,0.89,14.32,1.10,3.65,NA,NA,NA,NA,13.80,77.50,1.22,98.75,0.00,0.00,42.75,989.00,NA
2025-01-01 09:00:00,134.75,200.00,10.98,47.80,34.28,54.58,4.70,0.86,21.82,1.00,3.30,NA,NA,NA,NA,13.98,75.50,1.23,122.00,0.00,0.00,98.50,989.75,NA
2025-01-01 10:00:00,128.50,186.25,10.58,43.32,31.62,51.32,6.68,0.86,53.42,0.98,2.88,NA,NA,NA,NA,14.82,72.25,1.23,125.25,0.00,0.00,188.00,990.00,NA
