Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,255.00,355.00,142.37,45.77,140.13,61.60,11.10,1.74,NA,2.47,15.40,NA,NA,NA,NA,12.70,88.67,0.50,225.00,0.00,0.00,3.33,995.00,NA
2025-01-01 01:00:00,298.00,357.00,191.58,32.25,172.90,62.82,11.07,2.50,0.50,2.85,16.52,NA,NA,NA,NA,12.48,90.25,0.50,210.50,0.00,0.00,3.50,994.00,NA
2025-01-01 02:00:00,306.00,395.00,163.15,37.60,151.90,59.25,8.45,1.70,0.78,2.88,17.23,NA,NA,NA,NA,12.42,91.75,0.50,191.50,0.00,0.00,4.00,994.00,NA
2025-01-01 03:00:00,276.00,376.00,31.95,54.02,54.72,62.08,7.50,0.40,1.00,2.38,13.22,NA,NA,NA,NA,13.08,88.75,1.12,85.75,0.00,0.00,4.25,994.00,NA
2025-01-01 04:00:00,147.00,250.00,2.65,55.92,31.92,58.70,5.93,NA,4.77,1.18,3.48,NA,NA,NA,NA,13.25,84.50,0.70,212.50,0.00,0.00,3.25,993.50,NA
2025-01-01 05:00:00,156.00,235.00,1.52,49.42,27.55,57.25,5.78,0.29,8.20,1.15,3.68,NA,NA,NA,NA,13.32,81.75,0.70,235.00,0.00,0.00,3.00,993.75,NA
2025-01-01 06:00:00,173.00,241.00,1.12,46.62,25.72,55.52,5.55,0.73,7.87,1.25,7.72,NA,NA,NA,NA,13.40,81.00,0.75,234.75,0.00,0.00,3.00,994.00,NA
2025-01-01 07:00:00,178.00,221.00,1.72,46.98,26.40,55.85,8.00,0.93,8.43,1.17,5.45,NA,NA,NA,NA,13.15,80.00,0.85,243.25,0.00,0.00,7.25,994.00,NA
2025-01-01 08:00:00,184.00,228.00,3.15,41.05,24.40,55.05,9.25,0.96,14.15,1.10,3.53,NA,NA,NA,NA,13.25,79.50,0.75,218.50,0.00,0.00,41.50,994.50,NA
2025-01-01 09:00:00,158.00,190.00,4.25,37.10,23.22,53.65,9.43,0.91,18.50,1.00,3.15,NA,NA,NA,NA,13.80,76.00,0.88,227.00,0.00,0.00,87.50,995.25,NA
2025-01-01 10:00:00,169.00,207.00,5.22,36.72,23.80,51.48,9.22,0.72,26.67,1.02,3.00,NA,NA,NA,NA,14.98,70.00,1.00,234.00,0.00,0.00,187.25,996.00,NA
2025-01-01 11:00:00,173.00,204.00,5.22,36.05,23.45,52.62,9.40,0.88,36.82,1.12,3.25,NA,NA,NA,NA,15.85,66.00,0.92,227.75,0.00,0.00,233.00,995.25,NA
2025-01-01 12:00:00,177.00,212.00,5.05,36.67,23.62,51.95,9.10,1.46,45.22,1.20,4.35,NA,NA,NA,NA,16.55,62.75,0.90,236.50,0.00,0.00,300.75,995.00,NA
2025-01-01 13:00:00,173.00,208.00,3.00,33.15,20.08,53.82,10.30,1.74,53.20,1.15,5.30,NA,NA,NA,NA,16.80,61.50,1.08,230.25,0.00,0.00,309.25,994.00,NA
2025-01-01 14:00:00,174.00,212.00,3.40,37.35,22.65,55.62,10.28,2.37,56.95,1.10,6.25,NA,NA,NA,NA,17.15,60.50,1.05,216.50,0.00,0.00,252.50,993.00,NA
2025-01-01 15:00:00,202.00,246.00,2.85,46.47,27.02,56.10,10.22,2.62,55.47,1.15,7.38,NA,NA,NA,NA,16.92,61.75,0.88,230.50,0.00,0.00,137.75,993.00,NA
2025-01-01 16:00:00,212.00,260.00,3.85,54.22,31.92,55.02,10.23,2.78,40.98,1.52,9.10,NA,NA,NA,NA,16.02,66.50,0.95,226.25,0.00,0.00,67.50,992.25,NA
2025-01-01 17:00:00,216.00,266.00,6.05,71.45,42.95,55.35,10.15,2.73,17.30,1.58,9.28,NA,NA,NA,NA,15.05,72.50,0.85,222.25,0.00,0.00,15.75,992.50,NA
2025-01-01 18:00:00,204.00,261.00,38.83,79.00,73.58,52.20,10.50,1.24,1.20,1.42,9.15,NA,NA,NA,NA,14.02,80.00,0.85,230.75,0.00,0.00,4.00,993.00,NA
2025-01-01 19:00:00,217.00,294.00,58.82,64.82,82.30,56.82,10.27,1.43,0.40,1.50,9.60,NA,NA,NA,NA,13.58,83.50,0.80,219.75,0.00,0.00,4.00,993.50,NA
2025-01-01 20:00:00,215.00,289.00,66.70,59.63,85.92,55.35,9.68,1.53,0.47,1.70,8.80,NA,NA,NA,NA,13.18,85.75,0.68,220.25,0.00,0.00,3.75,994.00,NA
2025-01-01 21:00:00,195.00,268.00,29.35,64.55,58.18,59.62,9.18,1.56,0.35,1.70,9.12,NA,NA,NA,NA,13.15,86.00,0.65,195.75,0.00,0.00,4.00,994.00,NA
2025-01-01 22:00:00,204.00,272.00,42.05,54.28,63.08,61.90,8.98,2.41,0.10,2.03,9.55,NA,NA,NA,NA,12.82,86.75,0.57,213.00,0.00,0.00,4.00,994.00,NA
2025-01-01 23:00:00,222.00,294.00,59.00,50.25,74.68,60.02,9.45,2.39,NA,2.15,11.70,NA,NA,NA,NA,12.68,88.00,0.52,224.75,0.00,0.00,3.50,994.00,NA
2025-01-02 00:00:00,191.00,266.00,16.80,50.15,40.32,59.68,8.88,0.85,5.33,1.92,8.65,NA,NA,NA,NA,13.08,88.50,0.70,225.75,0.00,0.00,3.25,993.00,NA
2025-01-02 01:00:00,171.00,217.00,0.85,38.98,21.42,60.58,8.37,0.62,12.60,1.60,4.18,NA,NA,NA,NA,13.27,85.75,0.80,252.00,0.00,0.00,3.00,993.00,NA
2025-01-02 02:00:00,143.00,195.00,0.90,29.70,16.50,54.35,7.60,0.34,20.32,1.20,3.30,NA,NA,NA,NA,13.23,84.00,0.85,210.25,0.00,0.00,3.75,992.50,NA
2025-01-02 03:00:00,138.00,211.00,0.55,27.60,15.12,56.32,8.35,0.28,20.30,1.10,3.15,NA,NA,NA,NA,13.12,84.00,0.85,222.50,0.00,0.00,3.50,992.00,NA
2025-01-02 04:00:00,161.00,206.00,0.30,23.72,12.45,56.90,7.98,0.31,25.33,1.10,2.82,NA,NA,NA,NA,13.20,84.00,0.68,209.00,0.00,0.00,4.00,992.00,NA
2025-01-02 05:00:00,169.00,224.00,0.43,24.32,13.15,58.60,8.15,0.52,22.08,1.00,2.35,NA,NA,NA,NA,13.22,85.00,0.78,215.75,0.00,0.00,3.75,992.00,NA
2025-01-02 06:00:00,179.00,244.00,0.73,29.38,16.20,61.30,8.50,0.85,13.73,1.08,2.82,NA,NA,NA,NA,13.12,85.25,1.08,209.25,0.00,0.00,3.75,992.00,NA
2025-01-02 07:00:00,157.00,212.00,1.60,31.45,18.05,59.18,8.67,0.94,12.65,1.10,1.95,NA,NA,NA,NA,12.73,86.75,1.05,222.00,0.00,0.00,5.00,992.75,NA
2025-01-02 08:00:00,143.00,175.00,4.58,34.78,22.25,59.15,9.33,1.02,6.78,1.08,1.92,NA,NA,NA,NA,12.82,86.75,0.72,221.00,0.00,0.00,19.00,993.75,NA
2025-01-02 09:00:00,167.00,217.00,11.20,42.30,31.65,60.28,9.25,1.10,7.02,1.12,2.52,NA,NA,NA,NA,13.25,84.00,0.92,245.75,0.00,0.00,78.25,994.75,NA
2025-01-02 10:00:00,196.00,248.00,12.60,41.22,32.17,64.42,9.50,0.70,13.50,1.33,3.75,NA,NA,NA,NA,14.45,76.00,0.92,242.00,0.00,0.00,159.25,995.00,NA
2025-01-02 11:00:00,210.00,260.00,10.98,39.80,30.08,69.32,8.80,1.07,20.62,1.40,4.07,NA,NA,NA,NA,15.52,70.25,0.85,210.75,0.00,0.00,212.25,995.25,NA
2025-01-02 12:00:00,208.00,254.00,8.20,40.68,28.30,69.88,10.25,1.23,35.45,1.45,5.18,NA,NA,NA,NA,16.70,64.50,0.98,229.50,0.00,0.00,318.25,994.75,NA
2025-01-02 13:00:00,210.00,249.00,5.48,43.85,27.75,72.60,11.10,1.32,44.98,1.65,7.30,NA,NA,NA,NA,16.90,62.75,0.82,220.00,0.00,0.00,223.25,994.00,NA
2025-01-02 14:00:00,191.00,228.00,3.90,41.72,25.38,70.00,11.55,1.48,53.25,1.70,8.50,NA,NA,NA,NA,17.48,60.00,1.02,230.25,0.00,0.00,296.00,993.25,NA
2025-01-02 15:00:00,184.00,230.00,3.52,48.50,28.68,73.15,11.73,1.44,56.62,1.90,9.00,NA,NA,NA,NA,17.50,60.00,0.95,225.50,0.00,0.00,131.25,992.50,NA
2025-01-02 16:00:00,197.00,246.00,4.03,56.88,33.50,78.70,11.82,1.37,35.52,2.08,8.82,NA,NA,NA,NA,16.73,64.00,0.82,163.00,0.00,0.00,67.50,992.00,NA
2025-01-02 17:00:00,204.00,276.00,6.05,74.95,44.78,77.80,11.78,1.61,11.52,1.78,9.18,NA,NA,NA,NA,15.52,72.00,0.78,112.75,0.00,0.00,14.25,992.00,NA
2025-01-02 18:00:00,216.00,302.00,55.05,68.20,81.02,76.70,12.40,1.50,1.00,1.50,11.98,NA,NA,NA,NA,14.32,81.00,0.62,187.00,0.00,0.00,3.75,992.75,NA
2025-01-02 19:00:00,243.00,317.00,147.22,61.62,152.45,71.28,12.73,1.76,0.25,1.65,13.18,NA,NA,NA,NA,13.78,85.75,0.55,214.25,0.00,0.00,3.50,993.00,NA
2025-01-02 20:00:00,249.00,348.00,128.45,64.62,138.80,77.72,11.82,1.82,0.95,2.40,15.08,NA,NA,NA,NA,13.70,87.00,0.65,226.75,0.00,0.00,3.25,993.00,NA
2025-01-02 21:00:00,263.00,366.00,141.82,59.92,147.18,79.32,11.55,2.05,0.50,2.38,14.82,NA,NA,NA,NA,13.48,87.75,0.57,243.75,0.00,0.00,3.00,994.00,NA
2025-01-02 22:00:00,274.00,367.00,94.95,52.13,104.95,81.10,10.82,1.71,NA,2.35,11.50,NA,NA,NA,NA,13.35,88.75,0.73,217.75,0.00,0.00,3.00,994.00,NA
2025-01-02 23:00:00,219.00,285.00,39.03,46.40,56.40,76.45,9.38,1.47,NA,2.00,7.00,NA,NA,NA,NA,13.15,89.75,0.50,224.75,0.00,0.00,3.00,993.75,NA
2025-01-03 00:00:00,204.00,260.00,44.52,37.18,56.00,72.50,9.12,1.20,NA,1.90,5.85,NA,NA,NA,NA,13.02,91.50,0.52,215.00,0.00,0.00,3.25,993.00,NA
2025-01-03 01:00:00,221.00,262.00,71.43,33.35,75.72,72.47,10.23,1.42,NA,1.95,6.75,NA,NA,NA,NA,12.88,92.00,0.50,152.75,0.00,0.00,3.75,993.00,NA
2025-01-03 02:00:00,211.00,265.00,108.80,37.75,108.10,69.25,10.30,1.67,0.62,2.28,8.10,NA,NA,NA,NA,13.10,92.00,0.60,111.50,0.00,0.00,4.00,993.00,NA
2025-01-03 03:00:00,246.00,338.00,72.22,33.85,76.72,71.08,11.65,1.27,0.20,2.40,10.05,NA,NA,NA,NA,12.98,92.00,0.55,198.50,0.00,0.00,3.50,993.00,NA
2025-01-03 04:00:00,244.00,318.00,94.48,22.40,88.70,71.40,11.82,1.38,0.10,2.30,10.65,NA,NA,NA,NA,12.58,92.00,0.43,195.75,0.00,0.00,3.50,992.00,NA
2025-01-03 05:00:00,224.00,283.00,96.28,24.58,91.32,72.93,11.42,1.36,0.33,2.35,9.67,NA,NA,NA,NA,12.68,92.00,0.52,152.25,0.00,0.00,4.00,992.50,NA
2025-01-03 06:00:00,222.00,312.00,53.38,43.35,66.42,76.23,11.08,1.37,0.20,2.38,10.90,NA,NA,NA,NA,13.40,92.00,0.68,211.75,0.00,0.00,3.25,993.00,NA
2025-01-03 07:00:00,212.00,332.00,47.03,43.48,61.35,76.00,11.40,1.42,0.30,2.50,11.32,NA,NA,NA,NA,13.42,92.00,0.60,204.50,0.00,0.00,5.25,993.75,NA
2025-01-03 08:00:00,200.00,287.00,49.72,43.82,63.72,75.98,11.88,1.42,0.20,2.52,11.18,NA,NA,NA,NA,13.62,92.00,0.68,209.50,0.00,0.00,20.50,994.50,NA
2025-01-03 09:00:00,210.00,343.00,55.28,50.62,71.85,76.75,12.50,1.42,0.38,2.48,11.00,NA,NA,NA,NA,14.00,92.00,0.65,169.75,0.00,0.00,41.50,995.00,NA
2025-01-03 10:00:00,211.00,378.00,56.70,76.60,86.85,74.55,12.38,1.32,1.85,2.30,9.90,NA,NA,NA,NA,14.50,90.00,0.70,210.25,0.00,0.00,92.00,996.00,NA
2025-01-03 11:00:00,226.00,410.00,48.35,112.52,99.15,77.25,12.12,1.52,6.28,2.15,8.75,NA,NA,NA,NA,15.35,83.50,0.95,136.25,0.00,0.00,189.75,995.50,NA
2025-01-03 12:00:00,294.00,436.00,31.33,111.00,84.50,82.45,11.82,1.27,20.48,2.35,8.12,NA,NA,NA,NA,17.50,70.00,0.95,120.25,0.00,0.00,301.75,994.50,NA
2025-01-03 13:00:00,382.00,472.00,16.78,131.28,83.48,98.90,11.23,1.43,46.92,2.58,9.85,NA,NA,NA,NA,18.38,65.25,1.40,82.25,0.00,0.00,271.00,993.50,NA
2025-01-03 14:00:00,447.00,576.00,8.32,126.75,74.20,116.72,12.45,1.65,76.72,2.90,13.28,NA,NA,NA,NA,19.60,60.25,1.08,154.75,0.00,0.00,235.25,993.00,NA
2025-01-03 15:00:00,427.00,587.00,3.02,87.60,49.08,107.43,11.22,1.13,103.78,2.60,12.62,NA,NA,NA,NA,20.50,54.00,0.73,211.00,0.00,0.00,150.25,992.00,NA
2025-01-03 16:00:00,315.00,404.00,2.90,102.00,56.60,105.48,11.45,1.23,80.38,2.33,14.60,NA,NA,NA,NA,19.75,58.75,0.68,152.50,0.00,0.00,77.50,992.00,NA
2025-01-03 17:00:00,357.00,489.00,12.02,127.30,77.47,114.05,10.55,1.10,19.60,2.12,18.88,NA,NA,NA,NA,17.65,71.00,0.50,193.75,0.00,0.00,18.75,992.00,NA
2025-01-03 18:00:00,328.00,445.00,126.90,127.30,170.90,101.68,11.98,1.37,3.50,2.55,18.45,NA,NA,NA,NA,15.60,82.00,0.55,197.50,0.00,0.00,3.50,992.00,NA
2025-01-03 19:00:00,262.00,368.00,241.98,102.45,251.20,97.35,13.63,1.96,3.08,2.78,17.45,NA,NA,NA,NA,14.78,86.50,0.50,201.50,0.00,0.00,3.25,992.00,NA
2025-01-03 20:00:00,283.00,398.00,301.95,78.58,287.30,95.52,15.18,2.33,3.02,3.12,17.70,NA,NA,NA,NA,14.42,88.00,0.52,214.25,0.00,0.00,3.00,992.00,NA
2025-01-03 21:00:00,285.00,407.00,308.62,56.60,281.00,92.00,16.42,2.71,2.95,3.40,20.15,NA,NA,NA,NA,14.10,89.00,0.50,198.75,0.00,0.00,3.25,992.00,NA
2025-01-03 22:00:00,361.00,449.00,251.32,46.95,229.30,94.30,15.40,2.45,2.68,3.55,20.52,NA,NA,NA,NA,13.82,91.75,0.48,203.75,0.00,0.00,3.25,992.00,NA
2025-01-03 23:00:00,345.00,417.00,238.15,41.32,215.58,91.00,15.10,2.70,2.40,3.50,21.08,NA,NA,NA,NA,13.58,92.00,0.50,190.25,0.00,0.00,3.25,992.00,NA
2025-01-04 00:00:00,339.00,405.00,210.35,48.50,196.80,84.80,14.62,0.85,2.42,3.35,20.35,NA,NA,NA,NA,13.32,92.00,0.52,187.50,0.00,0.00,3.25,991.00,NA
2025-01-04 01:00:00,329.00,366.00,179.85,39.70,167.27,79.28,11.63,0.59,2.10,3.12,17.42,NA,NA,NA,NA,13.27,92.00,0.50,171.50,0.00,0.00,3.50,991.00,NA
2025-01-04 02:00:00,267.00,300.00,160.20,34.35,147.85,77.50,9.60,0.74,3.48,3.08,15.88,NA,NA,NA,NA,13.90,92.00,0.48,154.50,0.00,0.00,3.75,991.00,NA
2025-01-04 03:00:00,317.00,372.00,167.05,41.25,157.75,80.25,12.40,0.92,3.38,3.58,17.55,NA,NA,NA,NA,14.35,92.00,0.78,105.75,0.00,0.00,4.00,991.00,NA
2025-01-04 04:00:00,291.00,324.00,59.65,48.78,74.42,69.15,9.95,NA,2.55,3.40,17.12,NA,NA,NA,NA,14.23,92.00,0.77,99.75,0.00,0.00,4.00,990.50,NA
2025-01-04 05:00:00,177.00,197.00,56.53,50.22,72.70,70.53,9.62,NA,1.95,3.15,12.58,NA,NA,NA,NA,14.00,92.00,0.70,188.50,0.00,0.00,3.25,991.00,NA
2025-01-04 06:00:00,152.00,160.00,65.05,50.35,79.65,74.23,9.18,0.26,1.70,3.05,11.68,NA,NA,NA,NA,13.92,92.00,0.65,196.25,0.00,0.00,3.25,991.00,NA
2025-01-04 07:00:00,141.00,151.00,48.72,48.77,65.53,81.72,9.57,0.57,2.35,3.22,11.90,NA,NA,NA,NA,13.90,92.00,0.73,128.00,0.00,0.00,5.50,991.50,NA
2025-01-04 08:00:00,139.00,149.00,51.25,50.05,68.28,83.15,11.45,0.71,3.50,2.77,12.20,NA,NA,NA,NA,13.88,92.00,0.80,173.75,0.00,0.00,18.75,992.25,NA
2025-01-04 09:00:00,166.00,206.00,68.85,60.62,88.22,92.48,12.82,1.33,8.02,3.00,14.40,NA,NA,NA,NA,14.23,92.00,0.88,143.75,0.00,0.00,37.00,993.25,NA
