Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,237.00,288.00,56.93,101.50,100.27,57.60,1.80,2.42,38.27,NA,NA,NA,NA,NA,NA,8.57,94.00,0.30,252.00,NA,0.00,4.67,986.00,-0.02
2025-01-01 01:00:00,261.00,312.00,50.90,90.45,89.48,57.95,1.73,2.13,36.70,NA,NA,NA,NA,NA,NA,8.30,94.00,0.30,245.75,NA,0.00,6.50,986.00,-0.02
2025-01-01 02:00:00,191.00,249.00,46.20,83.75,82.15,50.95,NA,1.84,30.35,NA,NA,NA,NA,NA,NA,8.68,94.50,0.30,257.50,NA,0.00,7.00,986.00,-0.02
2025-01-01 03:00:00,197.00,255.00,26.60,83.80,66.18,53.72,NA,1.20,22.08,NA,NA,NA,NA,NA,NA,10.62,95.00,0.30,264.50,NA,0.00,7.75,986.00,-0.02
2025-01-01 04:00:00,149.00,222.00,18.80,74.95,55.18,53.32,NA,0.76,23.00,NA,NA,NA,NA,NA,NA,10.85,94.75,0.38,264.50,NA,0.00,8.00,986.00,-0.02
2025-01-01 05:00:00,130.00,204.00,12.90,70.70,48.05,50.85,NA,0.66,25.85,NA,NA,NA,NA,NA,NA,10.88,94.00,0.35,260.25,NA,0.00,8.00,986.00,-0.02
2025-01-01 06:00:00,122.00,204.00,10.18,68.53,44.75,50.62,NA,0.58,27.82,NA,NA,NA,NA,NA,NA,10.90,93.00,0.52,251.50,NA,0.00,8.00,986.00,-0.02
2025-01-01 07:00:00,143.00,205.00,10.02,62.95,41.58,52.05,NA,0.40,30.10,NA,NA,NA,NA,NA,NA,10.45,92.00,0.52,267.00,NA,0.00,8.75,986.00,-0.02
2025-01-01 08:00:00,134.00,190.00,8.22,58.85,38.00,50.48,NA,0.36,34.10,NA,NA,NA,NA,NA,NA,10.88,91.75,0.78,253.50,NA,0.00,17.25,986.00,-0.02
2025-01-01 09:00:00,123.00,166.00,7.98,57.12,36.83,51.25,1.65,0.41,37.70,NA,NA,NA,NA,NA,NA,12.12,89.25,1.05,259.25,NA,0.00,32.00,986.00,-0.02
2025-01-01 10:00:00,148.00,190.00,8.05,56.50,36.58,52.45,2.10,0.39,43.18,NA,NA,NA,NA,NA,NA,13.70,85.00,1.25,235.75,NA,0.00,57.00,986.00,-0.02
2025-01-01 11:00:00,163.00,194.00,9.93,56.90,38.35,53.55,2.62,0.34,49.72,NA,NA,NA,NA,NA,NA,15.55,79.50,1.42,247.75,NA,0.00,76.00,986.00,-0.02
2025-01-01 12:00:00,154.00,189.00,7.28,57.42,36.48,55.30,2.35,0.39,55.02,NA,NA,NA,NA,NA,NA,16.55,74.75,1.45,239.50,NA,0.00,103.00,986.00,-0.02
2025-01-01 13:00:00,161.00,197.00,8.02,57.85,37.30,58.45,NA,0.40,60.88,NA,NA,NA,NA,NA,NA,17.72,71.00,1.40,227.00,NA,0.00,100.50,986.00,-0.02
