Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,282.00,527.00,155.83,48.63,152.57,45.00,12.20,1.85,7.17,2.63,74.87,NA,NA,NA,NA,11.00,94.00,0.53,55.00,0.00,0.00,9.00,978.00,NA
2025-01-01 01:00:00,293.00,647.00,147.35,54.95,149.10,44.88,11.38,1.81,6.80,2.68,88.22,NA,NA,NA,NA,10.90,94.00,0.60,55.00,0.00,0.00,9.00,978.00,NA
2025-01-01 02:00:00,288.00,563.00,122.50,39.00,120.30,50.00,11.10,1.89,7.93,2.92,92.10,NA,NA,NA,NA,10.95,94.25,0.77,56.00,0.00,0.00,9.00,978.25,NA
2025-01-01 03:00:00,206.00,339.00,40.82,36.90,52.72,31.40,8.98,1.02,6.70,2.38,65.75,NA,NA,NA,NA,10.88,94.25,0.70,56.75,0.00,0.00,9.00,979.50,NA
2025-01-01 04:00:00,199.00,345.00,54.98,36.33,64.00,24.60,8.65,1.03,6.35,1.92,49.18,NA,NA,NA,NA,10.98,94.25,0.82,58.00,0.00,0.00,9.00,981.00,NA
2025-01-01 05:00:00,169.00,322.00,41.82,35.78,53.03,22.30,8.40,1.25,6.85,1.78,39.18,NA,NA,NA,NA,10.92,94.00,0.75,59.50,0.00,0.00,9.00,981.50,NA
2025-01-01 06:00:00,161.00,348.00,38.48,36.88,50.90,20.90,8.15,1.11,6.78,1.65,35.70,NA,NA,NA,NA,11.02,94.00,0.75,58.00,0.00,0.00,9.00,981.25,NA
2025-01-01 07:00:00,145.00,324.00,20.42,38.45,37.07,26.45,7.50,0.89,10.45,1.70,26.50,NA,NA,NA,NA,11.15,92.75,0.70,75.50,0.00,0.00,12.75,979.75,NA
2025-01-01 08:00:00,167.00,291.00,4.42,35.33,22.35,35.33,7.08,0.63,22.05,1.32,12.72,NA,NA,NA,NA,11.65,88.25,0.70,84.00,0.00,0.00,42.00,978.25,NA
2025-01-01 09:00:00,141.00,245.00,3.55,35.92,22.00,37.55,6.58,0.75,22.20,1.10,8.10,NA,NA,NA,NA,12.18,84.25,0.70,75.00,0.00,0.00,60.50,978.00,NA
