Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,99.80,262.27,25.86,56.99,51.21,54.65,13.93,1.00,13.52,1.73,3.25,NA,NA,1.60,1.58,NA,94.22,0.10,188.09,NA,NA,5.35,NA,-0.10
2025-01-01 01:00:00,131.10,286.55,25.95,54.83,50.26,50.92,14.49,0.89,12.56,1.76,3.26,NA,NA,1.52,1.55,NA,94.30,0.26,196.62,NA,NA,5.45,NA,-0.11
2025-01-01 02:00:00,130.65,262.50,23.62,45.41,43.36,44.60,16.19,1.21,12.36,1.74,3.29,NA,NA,1.50,1.54,NA,94.30,0.10,272.48,NA,NA,5.45,NA,-0.10
2025-01-01 03:00:00,83.07,220.65,23.45,39.64,40.16,43.81,17.76,1.92,13.39,1.76,3.30,NA,NA,1.54,1.58,NA,94.30,0.11,283.40,NA,NA,6.10,NA,-0.08
2025-01-01 04:00:00,81.88,206.50,22.75,37.01,38.18,44.38,18.43,2.25,13.82,1.78,3.26,NA,NA,1.52,1.52,NA,94.30,0.29,246.36,NA,NA,5.25,NA,-0.08
2025-01-01 05:00:00,73.88,178.98,23.54,39.83,40.32,43.82,13.08,2.41,13.48,1.69,3.24,NA,NA,1.55,1.55,NA,94.30,0.33,235.15,NA,NA,5.05,NA,-0.09
2025-01-01 06:00:00,67.65,170.25,23.65,41.56,41.33,43.03,12.93,1.08,14.50,4.21,5.82,NA,NA,2.78,2.55,NA,94.30,0.15,248.90,NA,NA,5.18,NA,-0.08
2025-01-01 07:00:00,51.78,150.00,23.26,37.20,38.70,43.32,12.97,1.08,14.24,4.31,5.82,NA,NA,2.74,2.50,NA,94.30,0.27,308.35,NA,NA,6.48,NA,-0.07
2025-01-01 08:00:00,77.02,148.70,24.42,43.46,42.97,43.06,13.00,1.06,13.79,4.33,5.83,NA,NA,2.80,2.63,NA,94.30,0.44,251.83,NA,NA,10.45,NA,-0.05
2025-01-01 09:00:00,50.18,143.05,22.05,31.59,34.74,42.20,13.00,1.06,15.01,4.30,5.81,NA,NA,2.84,2.50,NA,94.28,0.57,301.32,NA,NA,14.12,NA,-0.04
2025-01-01 10:00:00,73.53,160.93,22.62,37.01,38.08,41.56,13.63,1.09,16.30,2.10,3.49,NA,NA,2.11,1.85,NA,91.95,0.74,317.46,NA,NA,18.52,NA,0.05
2025-01-01 11:00:00,78.62,166.22,22.60,36.70,37.89,41.70,13.85,1.17,16.19,2.06,3.47,NA,NA,2.15,1.88,NA,81.42,0.60,294.02,NA,NA,23.32,NA,0.13
2025-01-01 12:00:00,88.98,180.40,22.41,32.71,35.61,40.17,13.67,1.02,17.81,2.08,3.48,NA,NA,2.08,1.96,NA,76.15,0.56,294.18,NA,NA,24.98,NA,0.19
2025-01-01 13:00:00,79.20,179.40,23.56,42.12,41.56,40.32,11.42,0.72,18.35,2.02,3.52,NA,NA,2.14,1.95,NA,72.60,0.49,292.44,NA,NA,39.15,NA,0.24
2025-01-01 14:00:00,84.50,177.30,23.93,48.68,45.35,42.18,11.31,0.28,19.23,2.01,3.45,NA,NA,2.13,1.90,NA,70.30,0.64,292.32,NA,NA,60.75,NA,0.26
2025-01-01 15:00:00,49.60,179.30,24.35,44.04,43.21,41.19,12.82,1.00,19.75,2.03,3.51,NA,NA,2.12,1.94,NA,71.40,0.62,295.09,NA,NA,34.08,NA,0.29
2025-01-01 16:00:00,83.70,189.70,22.63,37.57,38.38,40.10,11.95,1.08,18.27,2.08,3.45,NA,NA,2.13,2.00,NA,75.25,0.26,298.66,NA,NA,13.95,NA,0.30
2025-01-01 17:00:00,89.30,186.65,22.82,40.39,40.03,40.53,12.93,0.93,15.01,2.07,3.53,NA,NA,2.10,1.96,NA,82.40,0.24,270.02,NA,NA,5.03,NA,0.29
2025-01-01 18:00:00,112.40,199.50,24.45,45.43,44.04,40.77,11.78,0.89,14.97,3.48,6.54,NA,NA,3.32,3.52,NA,88.58,0.17,269.66,NA,NA,4.82,NA,0.12
2025-01-01 19:00:00,124.50,222.62,23.06,37.65,38.77,41.75,11.65,0.82,13.30,3.49,6.47,NA,NA,3.33,3.40,NA,92.20,0.21,315.44,NA,NA,5.15,NA,-0.16
