Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,101.00,139.00,12.80,40.53,29.95,36.17,10.60,0.90,8.53,1.83,2.07,NA,NA,NA,NA,12.00,86.00,0.30,221.67,0.00,0.00,3.00,996.33,NA
2025-01-01 01:00:00,NA,NA,37.53,41.35,52.63,35.95,11.18,1.04,7.90,1.85,2.17,NA,NA,NA,NA,11.95,86.00,0.30,261.50,0.00,0.00,3.00,996.00,NA
2025-01-01 02:00:00,63.00,68.00,45.20,41.00,58.50,33.80,10.30,1.14,8.40,1.05,1.30,NA,NA,NA,NA,12.25,86.00,0.30,291.00,0.00,0.00,3.00,996.00,NA
2025-01-01 03:00:00,66.00,68.00,15.00,46.47,36.92,46.55,9.62,0.94,8.58,0.00,0.00,NA,NA,NA,NA,12.28,86.00,0.30,255.25,0.00,0.00,3.00,995.25,NA
2025-01-01 04:00:00,50.00,57.00,11.55,46.45,34.10,39.78,9.82,0.92,9.62,0.00,0.02,NA,NA,NA,NA,12.38,86.00,0.38,310.50,0.00,0.00,3.00,995.25,NA
2025-01-01 05:00:00,46.00,58.00,8.80,43.85,30.50,38.45,9.53,0.87,12.30,0.00,0.02,NA,NA,NA,NA,12.70,86.00,0.38,317.50,0.00,0.00,3.00,995.25,NA
2025-01-01 06:00:00,56.00,69.00,8.82,41.75,29.38,39.88,10.48,0.98,11.58,0.40,0.55,NA,NA,NA,NA,12.85,86.00,0.38,306.75,0.00,0.00,3.00,996.00,NA
2025-01-01 07:00:00,61.00,77.00,8.85,40.53,28.78,41.85,9.92,1.03,10.80,1.68,1.95,NA,NA,NA,NA,12.88,86.00,0.32,303.25,0.00,0.00,4.75,996.00,NA
2025-01-01 08:00:00,62.00,75.00,9.62,37.58,27.78,39.65,9.18,1.06,15.20,1.85,1.83,NA,NA,NA,NA,13.15,86.00,0.35,306.25,0.00,0.00,20.00,996.25,NA
2025-01-01 09:00:00,64.00,89.00,8.62,36.58,26.45,40.78,9.55,1.07,25.92,1.62,1.48,NA,NA,NA,NA,13.68,86.00,0.45,311.25,0.00,0.00,44.75,997.00,NA
