Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,324.00,465.00,85.73,39.53,90.73,64.33,23.00,1.76,4.83,0.30,2.73,NA,NA,NA,NA,8.70,NA,0.30,37.67,0.00,0.00,31.67,994.00,NA
2025-01-01 01:00:00,334.00,481.00,90.62,35.38,92.48,67.02,24.72,1.87,5.05,0.38,2.85,NA,NA,NA,NA,8.57,NA,0.30,40.25,0.00,0.00,29.50,993.00,NA
2025-01-01 02:00:00,366.00,515.00,102.75,34.20,101.72,65.92,20.60,1.90,4.65,0.40,2.92,NA,NA,NA,NA,8.62,NA,0.30,40.00,0.00,0.00,28.00,993.00,NA
2025-01-01 03:00:00,343.00,489.00,58.70,41.90,70.03,61.50,8.50,1.10,4.65,0.27,2.50,NA,NA,NA,NA,9.18,99.00,0.30,142.75,0.00,0.00,28.00,993.00,NA
2025-01-01 04:00:00,152.00,280.00,28.72,41.32,45.32,60.50,1.55,0.58,8.77,0.20,1.02,NA,NA,NA,NA,9.28,95.00,0.30,145.00,0.00,0.00,28.50,992.50,NA
2025-01-01 05:00:00,188.00,323.00,19.25,36.58,35.12,61.40,1.05,0.98,12.45,0.22,0.95,NA,NA,NA,NA,9.68,89.50,0.30,143.75,0.00,0.00,27.50,992.50,NA
2025-01-01 06:00:00,182.00,306.00,14.55,33.25,29.52,60.85,NA,1.06,15.45,0.25,1.42,NA,NA,NA,NA,9.72,87.50,0.30,120.00,0.00,0.00,27.00,993.00,NA
2025-01-01 07:00:00,174.00,259.00,13.48,35.17,29.67,65.95,NA,1.19,17.80,0.18,1.00,NA,NA,NA,NA,9.35,87.75,0.30,119.50,0.00,0.00,27.00,993.00,NA
2025-01-01 08:00:00,245.00,342.00,11.88,34.58,28.05,62.25,3.80,1.34,20.23,0.30,1.05,NA,NA,NA,NA,9.68,85.00,0.30,89.75,0.00,0.00,44.25,993.25,NA
2025-01-01 09:00:00,211.00,277.00,12.60,36.12,29.48,60.60,5.38,1.60,24.38,0.20,1.00,NA,NA,NA,NA,10.98,76.75,0.30,303.75,0.00,0.00,104.00,994.00,NA
