Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,320.00,480.00,84.27,56.13,98.27,56.00,12.90,2.15,4.70,5.23,45.13,NA,NA,NA,NA,13.57,86.00,0.30,77.00,0.00,0.00,4.00,991.00,NA
2025-01-01 01:00:00,279.00,416.00,136.02,42.58,133.35,58.35,13.60,2.79,4.50,4.28,39.05,NA,NA,NA,NA,13.38,87.25,0.30,81.75,0.00,0.00,4.00,991.00,NA
2025-01-01 02:00:00,323.00,483.00,115.50,41.70,116.00,47.35,13.20,2.66,4.32,4.30,36.75,NA,NA,NA,NA,13.42,90.00,0.30,80.75,0.00,0.00,4.00,991.00,NA
2025-01-01 03:00:00,309.00,465.00,90.00,48.05,98.60,48.32,9.65,2.22,7.67,4.40,40.30,NA,NA,NA,NA,13.62,86.25,0.30,160.25,0.00,0.00,4.00,991.00,NA
2025-01-01 04:00:00,228.00,344.00,25.15,38.55,40.98,48.05,8.28,0.80,12.08,2.68,17.12,NA,NA,NA,NA,13.60,82.75,0.30,161.75,0.00,0.00,4.00,991.00,NA
2025-01-01 05:00:00,200.00,294.00,17.58,40.35,36.03,57.65,6.22,0.42,12.30,1.92,8.65,NA,NA,NA,NA,13.62,80.75,0.30,158.75,0.00,0.00,4.00,991.00,NA
2025-01-01 06:00:00,201.00,294.00,24.55,43.78,43.20,61.30,5.65,0.32,8.28,2.05,12.37,NA,NA,NA,NA,13.55,80.50,0.30,159.00,0.00,0.00,4.00,991.00,NA
2025-01-01 07:00:00,189.00,262.00,16.60,38.88,34.12,68.45,4.97,0.23,14.28,1.80,10.10,NA,NA,NA,NA,13.30,80.50,0.40,231.50,0.00,0.00,6.00,991.00,NA
2025-01-01 08:00:00,201.00,272.00,16.82,36.65,33.15,72.08,4.30,0.20,17.70,1.92,7.95,NA,NA,NA,NA,13.32,79.75,0.32,233.75,0.00,0.00,21.75,991.00,NA
2025-01-01 09:00:00,163.00,232.00,20.25,46.00,40.85,70.65,3.82,0.21,21.38,1.80,7.65,NA,NA,NA,NA,13.88,77.25,0.30,225.75,0.00,0.00,48.50,991.00,NA
2025-01-01 10:00:00,163.00,224.00,23.80,40.52,40.88,58.30,5.22,0.34,16.73,1.92,8.12,NA,NA,NA,NA,14.65,73.25,0.32,197.25,0.00,0.00,74.00,991.00,NA
2025-01-01 11:00:00,167.00,257.00,17.42,37.45,34.15,55.65,6.22,0.46,32.25,1.90,8.18,NA,NA,NA,NA,15.88,67.25,0.43,246.25,0.00,0.00,122.25,991.00,NA
2025-01-01 12:00:00,193.00,266.00,15.58,40.22,33.57,54.18,6.78,0.52,44.88,1.90,8.82,NA,NA,NA,NA,17.30,61.50,0.40,248.33,0.00,0.00,194.75,991.00,NA
2025-01-01 13:00:00,188.00,276.00,15.27,43.48,35.60,55.02,6.80,0.49,49.85,1.90,8.38,NA,NA,NA,NA,17.23,61.75,0.45,195.00,0.00,0.00,249.50,991.00,NA
2025-01-01 14:00:00,177.00,257.00,13.72,40.50,32.67,54.52,7.15,0.45,50.20,1.67,7.40,NA,NA,NA,NA,16.88,62.25,0.43,165.75,0.00,0.00,197.25,991.00,NA
2025-01-01 15:00:00,182.00,251.00,12.85,44.78,34.20,65.47,5.60,0.48,56.32,1.52,7.48,NA,NA,NA,NA,16.55,64.25,0.38,168.75,0.00,0.00,84.50,991.00,NA
2025-01-01 16:00:00,190.00,252.00,14.35,50.98,38.75,71.10,4.58,0.52,42.22,1.82,8.12,NA,NA,NA,NA,16.15,67.00,0.32,296.00,0.00,0.00,41.50,991.00,NA
2025-01-01 17:00:00,202.00,288.00,18.00,63.88,48.60,77.50,4.30,0.59,23.02,2.10,11.25,NA,NA,NA,NA,15.47,72.00,0.30,210.75,0.00,0.00,11.50,991.00,NA
2025-01-01 18:00:00,222.00,328.00,29.45,69.95,61.08,82.52,3.92,0.76,9.45,2.50,14.98,NA,NA,NA,NA,14.73,77.50,0.30,206.25,0.00,0.00,4.00,991.00,NA
