Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,371.00,510.00,13.90,45.33,35.33,19.07,2.23,1.25,2.67,0.87,2.70,NA,NA,NA,NA,11.80,85.67,0.40,7.00,0.00,0.00,19.00,988.00,NA
2025-01-01 01:00:00,353.00,484.00,20.60,43.80,40.00,20.85,1.48,1.17,2.20,0.82,2.02,NA,NA,NA,NA,11.68,87.00,0.40,7.00,0.00,0.00,19.00,988.00,NA
2025-01-01 02:00:00,438.00,583.00,20.60,45.90,41.30,23.20,1.50,1.13,2.85,0.98,1.70,NA,NA,NA,NA,11.98,86.75,1.10,7.00,0.00,0.00,19.00,987.75,NA
2025-01-01 03:00:00,291.00,436.00,2.90,39.33,23.28,18.18,1.70,0.49,7.52,0.68,1.48,NA,NA,NA,NA,12.32,81.50,2.58,7.00,0.00,0.00,19.00,987.00,NA
2025-01-01 04:00:00,207.00,340.00,2.22,28.92,17.20,15.38,0.98,0.44,18.75,0.40,1.00,NA,NA,NA,NA,12.20,81.00,1.62,7.00,0.00,0.00,19.00,987.00,NA
2025-01-01 05:00:00,180.00,268.00,2.98,32.85,19.90,16.33,1.27,0.45,15.08,0.30,0.58,NA,NA,NA,NA,12.10,80.50,1.02,7.00,0.00,0.00,19.00,987.00,NA
2025-01-01 06:00:00,179.00,271.00,5.25,42.12,26.75,17.05,1.23,0.53,9.15,0.40,1.60,NA,NA,NA,NA,12.10,80.50,1.60,7.00,0.00,0.00,19.00,987.00,NA
2025-01-01 07:00:00,179.00,261.00,3.60,30.70,19.25,17.80,0.80,0.48,18.77,0.32,1.62,NA,NA,NA,NA,11.85,81.00,1.67,8.50,0.00,0.00,23.00,987.00,NA
2025-01-01 08:00:00,168.00,244.00,4.42,30.55,19.77,17.73,0.65,0.48,24.40,0.30,0.85,NA,NA,NA,NA,11.85,80.00,1.42,18.25,0.00,0.00,55.50,987.00,NA
2025-01-01 09:00:00,151.00,218.00,6.60,34.12,23.55,17.92,0.95,0.55,24.52,0.30,0.68,NA,NA,NA,NA,12.48,77.50,1.57,30.25,0.00,0.00,95.00,987.00,NA
