Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,243.00,439.00,NA,NA,NA,NA,NA,NA,5.20,6.80,39.00,NA,NA,NA,NA,10.87,95.00,0.30,353.00,0.00,0.00,5.00,985.00,NA
2025-01-01 01:00:00,251.00,368.00,137.55,23.12,123.25,76.18,9.65,1.52,5.10,6.62,37.78,NA,NA,NA,NA,10.62,95.00,0.30,353.00,0.00,0.00,5.00,985.00,NA
2025-01-01 02:00:00,235.00,348.00,131.85,20.50,117.12,73.60,9.47,1.26,5.32,5.62,37.45,NA,NA,NA,NA,10.82,95.00,0.30,252.75,0.00,0.00,5.00,985.00,NA
2025-01-01 03:00:00,216.00,338.00,22.17,33.60,35.03,95.60,6.73,NA,4.40,5.63,27.07,NA,NA,NA,NA,11.87,95.00,0.30,132.67,0.00,0.00,5.00,985.00,NA
2025-01-01 04:00:00,117.00,280.00,19.85,32.70,32.40,84.30,7.07,0.10,4.15,4.05,13.45,NA,NA,NA,NA,12.15,92.75,0.30,199.25,0.00,0.00,5.00,985.00,NA
2025-01-01 05:00:00,107.00,262.00,24.33,32.48,35.62,77.35,7.18,NA,4.42,2.90,16.80,NA,NA,NA,NA,12.38,87.25,0.30,305.00,0.00,0.00,5.00,985.00,NA
2025-01-01 06:00:00,101.00,241.00,40.95,43.72,54.85,68.75,6.90,NA,4.65,2.17,8.68,NA,NA,NA,NA,12.28,84.75,0.30,280.00,0.00,0.00,5.00,985.00,NA
2025-01-01 07:00:00,136.00,278.00,48.50,81.12,81.95,57.35,7.70,0.07,4.80,2.17,7.95,NA,NA,NA,NA,12.15,84.75,0.30,251.50,0.00,0.00,10.00,985.00,NA
2025-01-01 08:00:00,129.00,235.00,58.12,104.50,101.72,50.30,7.70,0.78,5.28,2.17,7.25,NA,NA,NA,NA,12.38,82.50,0.30,301.00,0.00,0.00,48.25,985.50,NA
2025-01-01 09:00:00,141.00,278.00,65.38,84.15,96.78,54.32,6.92,0.92,5.15,2.17,5.68,NA,NA,NA,NA,12.98,78.25,0.30,292.00,0.00,0.00,90.00,986.00,NA
2025-01-01 10:00:00,158.00,260.00,58.75,59.70,78.52,59.82,7.30,1.04,4.95,2.62,7.65,NA,NA,NA,NA,13.62,75.00,0.30,260.00,0.00,0.00,127.25,986.50,NA
2025-01-01 11:00:00,172.00,278.00,52.85,57.30,72.00,63.15,6.65,0.94,5.28,2.90,14.30,NA,NA,NA,NA,14.62,69.50,0.30,270.75,0.00,0.00,243.50,987.00,NA
2025-01-01 12:00:00,158.00,261.00,48.78,52.92,66.45,62.45,6.92,0.74,5.45,2.80,12.62,NA,NA,NA,NA,15.15,66.00,0.30,275.00,0.00,0.00,216.00,986.75,NA
2025-01-01 13:00:00,151.00,249.00,47.82,57.72,68.50,64.97,6.50,0.71,6.15,2.20,11.05,NA,NA,NA,NA,15.55,63.75,0.30,280.00,0.00,0.00,278.75,986.25,NA
