Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,348.00,545.00,123.17,58.73,131.83,27.53,8.23,3.28,4.47,0.33,14.10,NA,NA,NA,NA,10.87,92.00,1.13,245.00,0.00,0.00,6.00,989.00,NA
2025-01-01 01:00:00,334.00,492.00,83.98,53.32,96.18,27.95,7.10,2.81,4.20,0.32,13.78,NA,NA,NA,NA,10.40,93.00,1.02,217.75,0.00,0.00,6.00,989.00,NA
2025-01-01 02:00:00,282.00,423.00,44.90,52.20,64.40,29.00,6.70,2.13,4.57,0.30,12.72,NA,NA,NA,NA,10.70,98.00,1.23,263.25,0.00,0.00,6.00,989.00,NA
2025-01-01 03:00:00,161.00,263.00,25.22,64.83,55.05,25.70,5.00,1.41,3.87,0.20,11.70,NA,NA,NA,NA,11.08,96.00,1.22,275.25,0.00,0.00,6.00,988.25,NA
2025-01-01 04:00:00,213.00,362.00,15.15,61.45,45.05,22.92,5.10,1.20,3.88,0.20,11.45,NA,NA,NA,NA,11.08,93.00,1.25,266.50,0.00,0.00,6.00,988.00,NA
2025-01-01 05:00:00,153.00,278.00,5.60,51.30,32.92,22.83,4.68,1.07,6.50,0.12,9.55,NA,NA,NA,NA,11.25,89.75,1.20,241.75,0.00,0.00,6.00,988.00,NA
2025-01-01 06:00:00,153.00,238.00,2.70,38.15,22.45,23.02,4.30,0.83,21.02,0.10,8.57,NA,NA,NA,NA,11.12,87.00,1.35,252.75,0.00,0.00,6.00,988.00,NA
2025-01-01 07:00:00,134.00,194.00,2.40,32.72,19.38,23.40,3.78,0.91,28.50,0.08,6.93,NA,NA,NA,NA,10.95,86.25,1.50,267.50,0.00,0.00,8.50,988.25,NA
2025-01-01 08:00:00,136.00,183.00,3.30,33.25,20.35,23.07,3.78,0.88,27.70,0.00,6.28,NA,NA,NA,NA,11.00,86.00,1.40,235.00,0.00,0.00,38.50,989.00,NA
2025-01-01 09:00:00,144.00,186.00,3.50,29.40,18.50,23.18,3.88,0.86,34.20,0.00,5.82,NA,NA,NA,NA,11.50,84.00,1.52,245.75,0.00,0.00,64.25,989.50,NA
2025-01-01 10:00:00,151.00,179.00,4.25,30.67,19.80,23.52,3.95,0.87,35.28,0.08,5.60,NA,NA,NA,NA,12.12,82.00,1.48,241.50,0.00,0.00,102.75,990.00,NA
2025-01-01 11:00:00,135.00,172.00,3.80,30.52,19.32,23.30,4.28,0.87,37.48,0.10,5.15,NA,NA,NA,NA,13.22,77.75,1.52,253.75,0.00,0.00,166.75,990.00,NA
2025-01-01 12:00:00,151.00,189.00,5.20,30.00,20.20,23.75,4.23,0.87,40.40,0.25,5.75,NA,NA,NA,NA,14.00,75.00,1.52,257.25,0.00,0.00,186.75,989.50,NA
2025-01-01 13:00:00,149.00,183.00,5.02,29.75,19.92,23.75,4.28,0.90,46.38,0.20,6.05,NA,NA,NA,NA,14.38,73.25,2.15,202.25,0.00,0.00,250.75,988.25,NA
2025-01-01 14:00:00,146.00,177.00,5.12,32.02,21.18,23.88,4.20,0.91,50.20,0.23,5.93,NA,NA,NA,NA,15.82,69.50,1.60,231.75,0.00,0.00,273.00,988.25,NA
2025-01-01 15:00:00,145.00,175.00,4.08,30.95,19.80,24.85,4.47,0.92,52.15,0.15,5.80,NA,NA,NA,NA,16.20,67.75,1.42,253.75,0.00,0.00,166.75,987.00,NA
2025-01-01 16:00:00,145.00,183.00,2.92,29.25,17.92,25.50,4.40,0.92,51.53,0.20,5.82,NA,NA,NA,NA,15.73,70.00,1.37,283.25,0.00,0.00,94.00,986.75,NA
2025-01-01 17:00:00,151.00,196.00,3.10,42.38,25.10,25.40,4.40,1.24,31.08,0.22,6.15,NA,NA,NA,NA,14.00,78.25,1.35,287.50,0.00,0.00,20.25,987.00,NA
2025-01-01 18:00:00,193.00,266.00,4.65,56.45,33.78,26.05,4.50,1.60,15.62,0.00,6.75,NA,NA,NA,NA,12.65,85.50,1.35,283.25,0.00,0.00,6.00,987.50,NA
2025-01-01 19:00:00,245.00,326.00,6.88,64.97,40.22,25.75,4.35,2.09,9.40,0.00,7.22,NA,NA,NA,NA,12.05,88.00,1.30,293.75,0.00,0.00,6.00,988.00,NA
2025-01-01 20:00:00,271.00,338.00,6.30,64.30,39.33,26.88,4.38,2.23,7.88,0.12,7.68,NA,NA,NA,NA,11.75,89.25,1.30,278.25,0.00,0.00,6.00,988.25,NA
2025-01-01 21:00:00,310.00,412.00,8.18,62.42,39.90,26.67,4.40,2.17,5.90,0.20,9.05,NA,NA,NA,NA,11.50,91.50,1.35,293.50,0.00,0.00,6.00,989.00,NA
2025-01-01 22:00:00,251.00,333.00,6.32,57.48,35.75,26.35,4.20,1.64,5.38,0.12,8.68,NA,NA,NA,NA,11.20,93.00,1.25,273.00,0.00,0.00,6.00,989.00,NA
2025-01-01 23:00:00,204.00,295.00,5.85,54.55,33.78,26.40,4.22,1.38,5.80,0.10,8.10,NA,NA,NA,NA,11.15,93.00,1.30,280.00,0.00,0.00,6.00,988.75,NA
2025-01-02 00:00:00,172.00,267.00,2.90,40.15,23.72,26.35,6.00,1.09,16.82,0.22,7.55,NA,NA,NA,NA,11.68,90.00,1.38,286.25,0.00,0.00,6.00,988.00,NA
2025-01-02 01:00:00,153.00,223.00,2.75,28.40,17.35,26.88,6.93,1.02,26.50,0.10,6.95,NA,NA,NA,NA,11.60,88.50,1.45,289.00,0.00,0.00,6.00,987.00,NA
2025-01-02 02:00:00,158.00,221.00,2.40,28.40,17.00,28.10,6.90,1.03,29.83,0.00,6.50,NA,NA,NA,NA,11.42,88.00,1.28,264.50,0.00,0.00,6.00,987.00,NA
2025-01-02 03:00:00,155.00,211.00,2.07,26.50,15.78,25.35,6.72,0.95,32.28,0.00,6.45,NA,NA,NA,NA,11.22,88.50,1.50,225.25,0.00,0.00,6.00,987.00,NA
2025-01-02 04:00:00,180.00,237.00,2.12,24.60,14.82,23.28,7.15,1.00,34.40,0.25,6.05,NA,NA,NA,NA,11.12,90.50,1.42,236.75,0.00,0.00,6.00,986.75,NA
