Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,203.20,377.60,21.11,75.32,55.82,54.84,29.38,0.87,21.29,1.89,2.96,NA,NA,1.92,1.95,NA,92.34,0.10,152.55,NA,NA,21.65,NA,0.11
2025-01-01 01:00:00,206.10,384.02,14.45,58.03,40.55,61.90,32.42,0.88,18.23,1.88,2.84,NA,NA,1.92,1.98,NA,93.62,0.09,140.18,NA,NA,21.42,NA,0.14
2025-01-01 02:00:00,220.47,384.90,16.60,71.33,51.31,46.52,12.47,0.90,11.28,1.85,2.91,NA,NA,1.83,2.02,NA,94.62,0.29,99.52,NA,NA,21.52,NA,0.11
2025-01-01 03:00:00,205.12,348.02,12.08,59.30,40.95,21.42,10.18,0.88,9.36,1.83,2.90,NA,NA,1.89,1.97,NA,92.83,0.43,266.35,NA,NA,21.30,NA,0.13
2025-01-01 04:00:00,174.98,302.55,12.31,59.64,41.01,15.47,8.42,0.87,7.48,1.92,2.85,NA,NA,1.88,1.94,NA,88.44,0.22,239.26,NA,NA,21.20,NA,0.12
2025-01-01 05:00:00,149.70,249.00,12.30,51.46,35.92,14.04,4.40,0.88,7.43,1.94,2.85,NA,NA,1.90,2.08,NA,84.61,0.29,312.05,NA,NA,21.25,NA,0.13
2025-01-01 06:00:00,136.25,219.02,12.53,46.29,33.48,15.77,0.97,1.23,6.83,3.48,5.32,NA,NA,2.68,2.29,NA,83.57,0.21,310.42,NA,NA,21.40,NA,0.12
2025-01-01 07:00:00,123.48,211.73,14.93,60.66,43.18,14.21,NA,1.20,11.13,3.54,5.26,NA,NA,2.68,2.37,NA,83.46,0.29,297.04,NA,NA,47.48,NA,0.13
2025-01-01 08:00:00,110.85,198.12,15.13,63.19,44.93,14.72,10.47,1.21,19.39,3.47,5.38,NA,NA,2.76,2.39,NA,82.21,0.44,276.25,NA,NA,175.55,NA,0.13
2025-01-01 09:00:00,112.32,188.88,16.37,58.56,42.81,15.33,8.15,1.22,18.33,3.57,5.25,NA,NA,2.70,2.29,NA,79.26,0.86,266.67,NA,NA,295.65,NA,0.12
2025-01-01 10:00:00,112.78,188.62,15.13,57.69,41.61,13.22,7.30,0.95,28.28,1.03,1.86,NA,NA,1.03,0.98,NA,76.18,0.52,316.10,NA,NA,486.78,NA,0.11
2025-01-01 11:00:00,111.32,188.62,15.95,61.80,45.54,14.07,5.52,0.97,17.86,0.99,1.86,NA,NA,0.99,0.92,NA,72.12,0.65,284.83,NA,NA,656.03,NA,0.06
2025-01-01 12:00:00,106.18,186.90,17.08,60.59,44.72,13.77,3.22,0.98,12.86,1.00,1.86,NA,NA,0.99,0.96,NA,70.32,1.06,270.13,NA,NA,561.40,NA,0.08
2025-01-01 13:00:00,102.95,185.85,18.43,69.52,51.35,14.48,1.20,0.97,17.41,1.03,1.86,NA,NA,1.01,0.92,NA,67.98,1.10,264.25,NA,NA,637.55,NA,0.04
2025-01-01 14:00:00,110.10,182.90,8.86,66.19,39.93,16.06,11.63,0.98,15.95,1.05,1.85,NA,NA,0.97,0.94,NA,66.54,0.80,267.82,NA,NA,388.15,NA,0.07
2025-01-01 15:00:00,121.90,190.15,17.71,65.34,48.14,15.74,13.00,0.97,19.97,1.03,1.83,NA,NA,1.00,0.96,NA,67.25,0.57,275.76,NA,NA,277.75,NA,0.07
2025-01-01 16:00:00,123.97,194.75,20.20,66.97,50.57,15.06,14.02,1.25,28.70,1.03,1.83,NA,NA,0.99,0.97,NA,69.62,0.29,264.99,NA,NA,129.88,NA,0.12
2025-01-01 17:00:00,122.82,194.25,11.18,60.70,38.52,15.69,12.75,1.19,24.26,1.05,1.86,NA,NA,0.94,0.96,NA,74.53,0.22,263.94,NA,NA,38.17,NA,0.19
2025-01-01 18:00:00,121.20,192.62,14.39,62.44,44.23,16.63,10.80,1.22,13.45,2.86,4.92,NA,NA,2.07,2.53,NA,79.78,0.11,256.38,NA,NA,22.02,NA,0.29
2025-01-01 19:00:00,124.85,196.25,7.09,51.78,29.46,19.77,11.77,1.81,16.78,2.91,4.80,NA,NA,2.01,2.64,NA,82.79,0.12,326.65,NA,NA,25.02,NA,0.25
2025-01-01 20:00:00,131.68,205.05,11.18,45.47,31.36,19.78,11.60,1.77,8.24,5.52,9.75,NA,NA,5.46,4.84,NA,83.78,0.28,172.09,NA,NA,24.12,NA,0.28
