Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,299.43,441.90,22.15,24.91,46.94,80.97,49.83,2.21,22.31,0.06,NA,NA,NA,0.04,0.11,9.44,96.00,NA,169.79,0.00,0.00,NA,NA,NA
2025-01-01 01:00:00,285.12,418.95,21.54,25.44,47.07,83.16,50.37,2.24,22.53,0.18,NA,NA,NA,0.03,0.12,9.34,96.07,0.26,169.77,0.00,0.00,NA,NA,NA
2025-01-01 02:00:00,268.28,376.46,21.27,22.03,43.65,84.48,50.42,2.17,21.90,0.12,NA,NA,NA,0.02,0.06,9.24,96.25,0.50,169.16,0.00,0.00,NA,NA,NA
2025-01-01 03:00:00,262.97,357.05,20.46,19.79,40.36,85.05,49.93,1.98,21.44,0.16,NA,NA,NA,0.03,0.12,10.16,93.03,0.80,76.88,0.00,0.00,NA,NA,NA
2025-01-01 04:00:00,271.16,365.11,21.62,20.37,41.83,81.58,49.56,1.54,21.45,0.46,NA,NA,NA,0.04,0.08,10.22,89.65,1.07,127.03,0.00,0.00,NA,NA,NA
2025-01-01 05:00:00,223.43,315.20,21.87,22.73,44.02,78.52,49.69,1.19,22.10,0.24,NA,NA,NA,0.08,0.17,10.19,89.70,1.26,167.18,0.00,0.00,NA,NA,NA
2025-01-01 06:00:00,215.86,297.47,21.27,26.39,47.58,77.70,50.07,0.96,22.48,0.18,NA,NA,NA,0.02,0.12,9.83,90.72,1.60,144.78,0.00,0.00,NA,NA,NA
2025-01-01 07:00:00,192.89,249.81,21.86,25.44,47.54,74.80,49.47,0.67,21.96,0.74,NA,NA,NA,0.05,0.11,9.60,88.20,2.08,168.84,0.00,0.00,5.96,NA,NA
2025-01-01 08:00:00,192.14,267.75,22.66,21.44,44.23,71.28,48.22,0.56,21.19,0.38,NA,NA,NA,0.02,0.14,9.72,87.28,2.12,173.35,0.00,0.00,36.75,NA,NA
2025-01-01 09:00:00,161.67,206.86,22.30,21.20,43.49,71.12,48.34,0.53,21.74,0.15,NA,NA,NA,0.03,0.18,10.12,85.68,2.51,163.77,0.00,0.00,73.24,NA,NA
2025-01-01 10:00:00,172.00,220.26,21.32,22.97,44.25,72.22,48.80,0.51,22.50,0.20,NA,NA,NA,0.03,0.11,10.94,83.16,2.12,159.37,0.00,0.00,100.99,NA,NA
2025-01-01 11:00:00,188.16,258.61,22.64,24.41,46.44,70.82,47.25,0.53,22.56,0.10,NA,NA,NA,0.02,NA,11.94,79.86,2.58,151.76,0.00,0.00,113.43,NA,NA
2025-01-01 12:00:00,193.06,270.45,24.78,30.34,54.77,60.08,45.41,0.60,22.55,0.29,NA,NA,NA,0.02,0.07,12.62,78.09,2.72,174.34,0.00,0.00,152.37,NA,NA
2025-01-01 13:00:00,203.26,288.60,24.48,30.96,55.50,56.49,43.72,0.57,22.97,0.26,NA,NA,NA,0.03,0.06,13.02,76.38,2.93,172.02,0.00,0.00,202.61,NA,NA
2025-01-01 14:00:00,189.66,255.10,23.35,29.47,52.86,54.14,42.44,0.53,23.12,0.55,NA,NA,NA,0.05,0.08,13.54,75.17,2.29,150.92,0.00,0.00,163.11,NA,NA
2025-01-01 15:00:00,178.04,250.85,24.29,32.20,56.18,51.54,46.11,0.58,22.95,0.30,NA,NA,NA,0.02,0.18,13.46,76.27,2.21,166.30,0.00,0.00,89.06,NA,NA
2025-01-01 16:00:00,198.00,261.43,23.95,34.81,58.65,55.05,46.84,0.62,22.09,0.29,NA,NA,NA,0.03,0.07,13.10,79.12,1.59,168.26,0.00,0.00,41.90,NA,NA
2025-01-01 17:00:00,220.33,310.38,23.86,35.66,59.37,59.38,46.92,0.65,22.00,0.21,NA,NA,NA,0.03,0.12,12.12,83.74,1.27,167.77,0.00,0.00,5.90,NA,NA
2025-01-01 18:00:00,227.73,318.70,23.96,37.46,61.38,61.90,47.51,0.74,22.49,0.40,NA,NA,NA,0.03,0.08,11.06,88.80,0.74,165.96,0.00,0.00,NA,NA,NA
2025-01-01 19:00:00,207.78,328.16,23.68,37.59,61.29,66.10,47.92,0.89,22.42,0.15,NA,NA,NA,0.04,0.11,10.36,91.71,0.38,164.08,0.00,0.00,NA,NA,NA
2025-01-01 20:00:00,214.05,335.29,24.49,36.10,60.66,68.73,47.74,1.07,21.63,0.10,NA,NA,NA,0.04,0.09,10.47,91.52,0.84,161.83,0.00,0.00,NA,NA,NA
2025-01-01 21:00:00,237.18,367.28,23.41,35.59,59.14,70.68,47.54,1.18,21.37,0.15,NA,NA,NA,0.02,0.16,10.40,91.16,0.60,121.99,0.00,0.00,NA,NA,NA
