Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,136.00,230.00,29.00,32.47,40.87,29.97,6.37,1.36,3.97,NA,NA,NA,NA,NA,NA,10.63,90.00,0.30,36.00,0.00,0.00,5.00,994.00,NA
2025-01-01 01:00:00,124.00,217.00,29.15,32.38,40.88,28.68,5.85,1.30,6.70,NA,NA,NA,NA,NA,NA,10.47,90.00,0.30,36.00,0.00,0.00,5.00,994.00,NA
2025-01-01 02:00:00,112.00,177.00,27.70,28.60,37.80,29.10,5.80,1.32,5.15,NA,NA,NA,NA,NA,NA,10.42,90.00,0.30,30.25,0.00,0.00,5.00,994.00,NA
2025-01-01 03:00:00,89.00,157.00,16.75,33.65,31.50,25.62,5.90,0.92,9.00,NA,NA,NA,NA,NA,NA,11.58,90.00,0.48,19.50,0.00,0.00,5.00,994.75,NA
2025-01-01 04:00:00,80.00,180.00,15.35,36.10,31.67,29.10,4.60,0.89,8.50,NA,NA,NA,NA,NA,NA,11.55,90.00,0.30,211.00,0.00,0.00,5.00,994.75,NA
2025-01-01 05:00:00,89.00,172.00,15.20,34.65,30.78,31.25,4.60,0.82,11.08,NA,NA,NA,NA,NA,NA,11.72,90.00,0.30,305.50,0.00,0.00,5.00,995.00,NA
2025-01-01 06:00:00,85.00,167.00,15.47,38.50,33.05,31.02,4.42,0.78,15.35,NA,NA,NA,NA,NA,NA,11.90,86.75,0.43,300.50,0.00,0.00,5.00,994.75,NA
2025-01-01 07:00:00,95.00,175.00,14.22,30.33,27.65,32.80,3.70,0.75,27.68,NA,NA,NA,NA,NA,NA,11.68,84.75,0.40,240.75,0.00,0.00,10.00,994.50,NA
2025-01-01 08:00:00,82.00,151.00,14.15,27.52,26.18,27.42,4.50,0.73,30.45,NA,NA,NA,NA,NA,NA,11.88,83.25,0.48,281.50,0.00,0.00,51.50,994.25,NA
2025-01-01 09:00:00,88.00,156.00,16.12,32.08,30.20,26.00,4.70,0.78,28.20,NA,NA,NA,NA,NA,NA,12.55,79.00,0.80,275.50,0.00,0.00,95.50,994.00,NA
2025-01-01 10:00:00,114.00,174.00,16.05,28.78,28.32,27.20,4.65,0.80,35.10,NA,NA,NA,NA,NA,NA,13.45,74.00,0.70,246.00,0.00,0.00,170.00,994.00,NA
2025-01-01 11:00:00,125.00,183.00,15.10,27.28,26.78,25.30,4.03,0.85,40.83,NA,NA,NA,NA,NA,NA,13.80,71.50,1.18,197.50,0.00,0.00,226.00,994.00,NA
