Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,143.00,246.00,49.37,20.73,51.17,35.53,36.90,2.30,3.63,NA,NA,NA,NA,NA,NA,11.37,88.00,0.73,91.00,0.00,0.00,8.00,990.00,NA
2025-01-01 01:00:00,231.50,351.75,50.32,20.32,51.75,35.72,36.67,2.23,4.60,NA,NA,NA,NA,NA,NA,11.18,88.00,0.80,80.50,0.00,0.00,8.00,989.25,NA
2025-01-01 02:00:00,213.00,330.75,43.20,16.10,43.60,36.90,36.40,2.79,4.55,NA,NA,NA,NA,NA,NA,10.98,88.00,0.82,69.00,0.00,0.00,8.00,989.00,NA
2025-01-01 03:00:00,175.25,282.75,62.20,35.72,69.60,33.52,36.50,1.93,4.70,NA,NA,NA,NA,NA,NA,12.42,88.00,1.08,73.50,0.00,0.00,8.00,989.00,NA
2025-01-01 04:00:00,147.75,252.75,45.30,31.75,53.70,35.75,36.48,1.66,4.65,NA,NA,NA,NA,NA,NA,13.20,88.00,1.00,86.50,0.00,0.00,8.25,989.00,NA
2025-01-01 05:00:00,150.00,256.50,38.62,39.72,52.53,33.55,36.60,1.48,4.15,NA,NA,NA,NA,NA,NA,13.40,88.00,1.33,70.50,0.00,0.00,8.00,989.00,NA
2025-01-01 06:00:00,142.50,263.75,22.60,40.58,39.92,34.55,36.42,1.21,3.70,NA,NA,NA,NA,NA,NA,13.20,88.00,1.58,72.50,0.00,0.00,8.00,989.00,NA
2025-01-01 07:00:00,121.75,235.75,10.80,43.62,32.00,33.48,35.58,1.02,5.48,NA,NA,NA,NA,NA,NA,12.98,88.00,1.65,69.00,0.00,0.00,11.75,989.00,NA
2025-01-01 08:00:00,119.75,248.50,7.22,38.83,26.52,32.95,35.52,0.95,15.30,NA,NA,NA,NA,NA,NA,13.25,85.00,1.88,70.25,0.00,0.00,47.00,989.50,NA
2025-01-01 09:00:00,97.00,209.50,10.20,37.50,28.25,34.50,35.62,1.07,20.02,NA,NA,NA,NA,NA,NA,13.90,82.00,2.30,81.50,0.00,0.00,107.75,990.00,NA
2025-01-01 10:00:00,107.00,198.50,10.30,27.45,23.00,36.78,35.48,1.13,29.08,NA,NA,NA,NA,NA,NA,14.40,76.50,2.90,71.50,0.00,0.00,188.25,990.00,NA
2025-01-01 11:00:00,122.00,200.00,8.35,26.72,21.00,39.25,35.17,1.21,41.62,NA,NA,NA,NA,NA,NA,15.52,71.00,2.38,83.25,0.00,0.00,268.75,990.00,NA
2025-01-01 12:00:00,141.50,224.75,8.75,30.70,23.42,41.70,35.65,1.23,46.90,NA,NA,NA,NA,NA,NA,16.20,67.00,2.48,78.50,0.00,0.00,260.25,989.50,NA
2025-01-01 13:00:00,150.75,230.75,7.25,26.90,20.23,42.90,35.55,1.13,50.65,NA,NA,NA,NA,NA,NA,16.42,65.25,2.33,87.75,0.00,0.00,255.25,989.00,NA
2025-01-01 14:00:00,131.75,212.00,7.22,24.30,18.82,43.25,35.28,1.12,59.80,NA,NA,NA,NA,NA,NA,16.38,65.75,2.35,76.00,0.00,0.00,235.25,988.75,NA
2025-01-01 15:00:00,123.50,205.25,7.55,28.25,21.15,44.45,35.48,1.18,63.25,NA,NA,NA,NA,NA,NA,16.40,65.75,2.45,77.00,0.00,0.00,172.75,988.00,NA
2025-01-01 16:00:00,134.25,217.00,6.05,29.95,20.88,46.18,36.15,1.28,61.25,NA,NA,NA,NA,NA,NA,15.75,69.50,2.08,66.75,0.00,0.00,85.00,988.00,NA
2025-01-01 17:00:00,151.50,242.00,4.18,30.52,19.68,47.55,36.00,1.34,37.18,NA,NA,NA,NA,NA,NA,14.58,79.00,1.25,64.50,0.00,0.00,24.50,988.50,NA
2025-01-01 18:00:00,156.00,246.00,6.90,27.98,20.50,46.38,35.78,1.34,12.20,NA,NA,NA,NA,NA,NA,13.05,82.75,0.90,75.75,0.00,0.00,8.25,989.00,NA
2025-01-01 19:00:00,147.00,227.75,7.30,23.30,18.35,45.20,35.67,1.36,7.52,NA,NA,NA,NA,NA,NA,12.25,84.00,0.80,86.25,0.00,0.00,8.00,989.00,NA
