Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,224.75,333.00,27.00,35.70,40.92,39.97,4.50,1.35,2.60,2.58,12.05,NA,NA,NA,NA,12.52,85.25,0.40,332.00,0.00,0.00,5.00,986.75,NA
2025-01-01 01:00:00,221.75,320.50,24.85,34.80,38.70,40.28,4.47,1.42,2.60,2.42,10.00,NA,NA,NA,NA,12.38,86.00,0.38,342.25,0.00,0.00,5.00,986.75,NA
2025-01-01 02:00:00,257.75,359.75,25.68,35.22,39.60,41.70,5.20,1.23,3.18,2.75,8.70,NA,NA,NA,NA,13.02,84.75,1.12,336.75,0.00,0.00,5.00,986.25,NA
2025-01-01 03:00:00,270.50,392.25,21.92,35.50,36.73,40.85,5.12,1.03,3.32,3.00,8.15,NA,NA,NA,NA,13.28,80.00,1.70,332.75,0.00,0.00,5.00,986.50,NA
2025-01-01 04:00:00,233.50,343.50,19.30,33.95,33.78,43.00,4.57,0.86,4.60,2.72,6.90,NA,NA,NA,NA,13.20,79.50,1.23,330.00,0.00,0.00,5.00,986.00,NA
2025-01-01 05:00:00,183.25,260.25,16.20,32.28,30.32,42.10,3.85,0.83,6.55,2.38,6.43,NA,NA,NA,NA,13.20,78.00,2.02,317.50,0.00,0.00,5.00,986.00,NA
2025-01-01 06:00:00,169.25,222.25,14.70,31.62,28.75,40.28,3.80,0.92,5.32,2.10,6.25,NA,NA,NA,NA,13.12,77.50,2.10,313.25,0.00,0.00,5.00,986.00,NA
2025-01-01 07:00:00,185.50,247.25,12.02,32.78,27.20,39.80,4.00,0.78,6.35,1.67,7.17,NA,NA,NA,NA,12.92,78.50,1.92,304.50,0.00,0.00,14.75,986.50,NA
2025-01-01 08:00:00,175.25,235.75,11.32,31.98,26.22,39.58,4.00,0.82,6.78,1.62,6.80,NA,NA,NA,NA,13.22,76.50,1.60,295.75,0.00,0.00,55.00,986.50,NA
2025-01-01 09:00:00,171.25,231.00,11.98,30.78,26.12,40.02,4.02,0.90,6.68,1.32,6.48,NA,NA,NA,NA,13.75,73.00,2.17,298.25,0.00,0.00,105.50,986.50,NA
2025-01-01 10:00:00,183.75,247.25,11.45,31.65,26.18,40.95,4.40,0.92,8.15,1.48,5.88,NA,NA,NA,NA,14.72,68.25,2.62,293.25,0.00,0.00,223.50,986.50,NA
2025-01-01 11:00:00,181.50,250.50,10.05,33.22,25.82,40.15,5.00,0.91,9.83,1.32,6.18,NA,NA,NA,NA,15.12,66.50,2.62,297.00,0.00,0.00,252.25,986.00,NA
2025-01-01 12:00:00,176.00,251.50,9.10,32.10,24.48,41.55,5.07,0.94,13.45,1.38,6.60,NA,NA,NA,NA,16.02,62.25,2.28,307.00,0.00,0.00,313.50,986.00,NA
2025-01-01 13:00:00,176.75,260.50,7.98,34.15,24.62,39.83,5.90,0.97,17.75,1.32,7.62,NA,NA,NA,NA,16.62,60.00,2.58,305.75,0.00,0.00,310.75,986.00,NA
2025-01-01 14:00:00,185.25,261.75,7.62,34.60,24.60,40.12,5.82,0.97,19.80,1.45,9.10,NA,NA,NA,NA,16.80,59.50,2.42,303.75,0.00,0.00,265.25,986.00,NA
2025-01-01 15:00:00,174.50,250.50,7.65,34.20,24.43,39.80,6.05,0.97,19.45,1.38,9.90,NA,NA,NA,NA,16.55,60.50,2.22,307.25,0.00,0.00,170.00,986.00,NA
2025-01-01 16:00:00,172.75,252.25,6.90,35.72,24.62,39.58,7.02,1.07,14.30,1.50,9.88,NA,NA,NA,NA,15.72,65.75,1.92,307.75,0.00,0.00,69.00,986.00,NA
2025-01-01 17:00:00,189.50,271.25,8.05,35.08,25.20,38.98,5.92,1.22,9.70,1.50,11.12,NA,NA,NA,NA,14.65,72.00,1.75,303.00,0.00,0.00,12.25,986.00,NA
2025-01-01 18:00:00,192.25,278.75,9.82,33.72,25.90,39.15,6.03,1.52,4.75,1.70,13.15,NA,NA,NA,NA,14.08,76.25,1.50,290.25,0.00,0.00,5.00,986.50,NA
2025-01-01 19:00:00,207.00,299.25,11.92,34.72,28.12,40.15,4.77,1.62,4.00,1.72,16.25,NA,NA,NA,NA,13.85,77.50,1.48,291.50,0.00,0.00,5.00,986.25,NA
2025-01-01 20:00:00,219.75,309.75,14.05,35.40,30.22,39.75,4.72,1.62,3.35,1.80,17.75,NA,NA,NA,NA,13.60,79.00,1.55,293.00,0.00,0.00,5.00,986.50,NA
2025-01-01 21:00:00,234.25,334.50,16.52,34.05,31.55,41.38,4.80,1.51,3.52,2.00,17.05,NA,NA,NA,NA,13.25,81.00,1.15,302.25,0.00,0.00,5.00,986.50,NA
2025-01-01 22:00:00,208.75,310.25,16.95,34.55,32.17,41.18,4.55,1.40,3.30,1.90,14.42,NA,NA,NA,NA,13.00,82.75,1.10,294.50,0.00,0.00,5.00,986.50,NA
2025-01-01 23:00:00,179.00,272.75,16.25,34.93,31.78,41.82,4.58,1.08,5.03,1.92,12.28,NA,NA,NA,NA,13.40,80.75,1.85,302.50,0.00,0.00,5.00,986.50,NA
2025-01-02 00:00:00,164.75,249.25,14.75,34.80,30.52,43.15,3.93,0.89,7.78,1.80,9.98,NA,NA,NA,NA,13.42,80.00,1.92,304.00,0.00,0.00,5.00,986.25,NA
2025-01-02 01:00:00,168.75,226.25,10.70,33.05,26.30,41.48,4.85,0.94,8.30,1.72,8.65,NA,NA,NA,NA,13.45,80.00,1.60,305.00,0.00,0.00,5.00,986.00,NA
2025-01-02 02:00:00,173.50,227.00,10.90,32.25,26.00,41.98,4.80,0.88,8.25,1.67,8.08,NA,NA,NA,NA,13.25,80.50,1.55,305.25,0.00,0.00,5.00,986.25,NA
2025-01-02 03:00:00,171.25,227.50,9.98,30.98,24.60,40.90,4.73,0.84,7.78,1.40,8.05,NA,NA,NA,NA,13.20,81.00,2.03,306.25,0.00,0.00,5.00,986.50,NA
2025-01-02 04:00:00,169.00,228.50,9.68,30.58,24.12,42.15,4.70,0.84,9.88,1.50,7.18,NA,NA,NA,NA,13.02,81.50,2.10,303.00,0.00,0.00,5.00,986.25,NA
2025-01-02 05:00:00,170.25,229.00,10.12,31.33,24.90,42.12,4.55,0.86,9.10,1.35,6.30,NA,NA,NA,NA,13.05,82.00,2.30,288.75,0.00,0.00,5.00,986.25,NA
2025-01-02 06:00:00,178.25,247.00,11.18,31.30,25.72,41.65,4.20,0.88,7.32,1.40,5.78,NA,NA,NA,NA,13.18,82.75,3.08,270.25,0.00,0.00,5.00,986.00,NA
2025-01-02 07:00:00,188.00,273.25,9.12,31.98,24.42,41.42,3.55,0.97,5.40,1.25,5.30,NA,NA,NA,NA,12.88,84.25,2.92,256.00,0.00,0.00,10.00,986.25,NA
2025-01-02 08:00:00,177.25,246.00,9.98,31.85,25.05,42.10,3.40,1.05,4.78,1.38,5.55,NA,NA,NA,NA,12.98,83.50,2.15,264.75,0.00,0.00,35.25,986.25,NA
2025-01-02 09:00:00,176.75,253.75,11.20,32.35,26.30,41.52,3.92,1.18,5.03,1.30,5.32,NA,NA,NA,NA,13.28,80.50,2.55,289.75,0.00,0.00,72.00,986.00,NA
2025-01-02 10:00:00,200.75,274.50,13.28,33.03,28.35,42.80,4.90,1.21,5.28,1.50,5.60,NA,NA,NA,NA,14.25,74.75,2.35,301.00,0.00,0.00,179.75,986.00,NA
2025-01-02 11:00:00,229.25,318.75,12.98,34.15,28.70,43.32,4.65,1.21,6.30,1.70,5.98,NA,NA,NA,NA,15.35,68.50,2.22,297.00,0.00,0.00,255.00,986.00,NA
2025-01-02 12:00:00,230.50,317.00,11.40,34.97,27.85,41.90,5.00,1.30,9.43,1.68,6.82,NA,NA,NA,NA,16.20,64.75,2.15,286.50,0.00,0.00,289.00,986.00,NA
