Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,309.00,475.00,77.60,69.80,100.17,53.83,12.50,1.83,11.20,8.83,9.50,NA,NA,NA,NA,10.93,94.33,0.43,309.00,0.00,0.00,35.00,981.00,NA
2025-01-01 01:00:00,249.00,396.25,48.85,72.85,78.15,64.58,11.40,1.38,NA,7.85,7.72,NA,NA,NA,NA,10.95,95.00,0.40,305.50,0.00,0.00,36.00,981.25,NA
2025-01-01 02:00:00,198.25,312.25,30.40,64.60,59.00,67.80,NA,0.95,14.83,6.50,5.85,NA,NA,NA,NA,11.08,94.75,0.88,257.75,0.00,0.00,36.00,981.50,NA
2025-01-01 03:00:00,171.50,274.25,23.83,75.80,59.70,64.18,4.50,0.52,NA,5.75,4.55,NA,NA,NA,NA,11.50,89.00,1.40,259.50,0.00,0.00,34.00,980.00,NA
2025-01-01 04:00:00,181.00,287.50,21.02,70.12,54.18,57.78,4.90,0.53,9.43,5.42,3.77,NA,NA,NA,NA,11.50,88.50,0.88,255.00,0.00,0.00,34.25,980.00,NA
2025-01-01 05:00:00,183.00,282.00,13.30,57.20,41.88,44.00,4.65,0.37,16.12,5.88,4.23,NA,NA,NA,NA,11.70,85.25,1.67,239.25,0.00,0.00,34.00,980.00,NA
2025-01-01 06:00:00,171.50,248.00,10.30,50.63,35.35,41.35,4.47,0.45,17.08,4.88,3.90,NA,NA,NA,NA,11.55,85.00,2.28,253.50,0.00,0.00,34.00,980.00,NA
2025-01-01 07:00:00,171.00,232.00,15.00,49.10,38.55,41.88,3.75,0.62,19.22,4.32,3.05,NA,NA,NA,NA,11.35,85.00,1.45,244.50,0.00,0.00,34.25,980.00,NA
2025-01-01 08:00:00,164.50,233.75,13.88,45.25,35.67,45.32,5.80,0.77,20.20,4.25,2.58,NA,NA,NA,NA,11.35,84.50,2.22,249.75,0.00,0.00,58.75,980.00,NA
2025-01-01 09:00:00,163.50,229.75,16.10,46.40,37.68,53.68,7.32,1.24,NA,3.85,2.10,NA,NA,NA,NA,11.98,81.25,1.70,233.50,0.00,0.00,92.00,980.00,NA
2025-01-01 10:00:00,171.50,264.75,18.88,50.10,41.70,59.58,6.68,1.95,NA,4.08,2.05,NA,NA,NA,NA,12.58,78.25,2.40,245.00,0.00,0.00,138.00,980.00,NA
2025-01-01 11:00:00,164.25,243.25,19.65,48.60,41.95,61.75,7.00,2.88,11.63,3.80,2.12,NA,NA,NA,NA,13.10,75.25,2.82,259.00,0.00,0.00,211.00,980.00,NA
2025-01-01 12:00:00,160.25,237.25,21.28,50.52,44.35,57.60,8.52,3.91,14.77,3.95,3.75,NA,NA,NA,NA,14.52,69.25,2.33,228.75,0.00,0.00,268.50,980.00,NA
2025-01-01 13:00:00,171.25,242.75,19.22,53.22,43.88,48.92,9.40,5.52,12.10,4.28,6.58,NA,NA,NA,NA,14.48,69.25,2.30,236.50,0.00,0.00,236.75,980.00,NA
2025-01-01 14:00:00,175.00,261.25,17.65,51.85,42.00,48.18,10.07,NA,28.18,4.53,8.85,NA,NA,NA,NA,14.45,69.50,2.20,247.25,0.00,0.00,220.50,980.00,NA
2025-01-01 15:00:00,168.25,253.50,17.03,54.00,42.90,55.60,9.48,NA,NA,5.48,11.98,NA,NA,NA,NA,14.32,70.75,2.05,241.50,0.00,0.00,142.25,980.00,NA
2025-01-01 16:00:00,169.75,256.50,17.45,63.42,47.55,61.82,9.90,NA,9.80,4.50,10.90,NA,NA,NA,NA,13.70,74.50,1.83,252.75,0.00,0.00,73.00,980.00,NA
2025-01-01 17:00:00,177.00,256.00,27.20,79.08,64.23,73.50,7.85,NA,9.43,4.30,8.05,NA,NA,NA,NA,12.98,79.25,1.70,241.00,0.00,0.00,38.50,980.00,NA
2025-01-01 18:00:00,169.25,249.75,29.65,77.05,65.12,73.58,8.52,NA,2.50,4.65,6.78,NA,NA,NA,NA,12.38,83.25,1.88,250.00,0.00,0.00,34.00,980.00,NA
2025-01-01 19:00:00,182.50,266.75,35.00,81.80,72.10,76.97,7.98,NA,NA,5.25,6.18,NA,NA,NA,NA,11.98,85.75,1.42,246.50,0.00,0.00,34.00,980.00,NA
2025-01-01 20:00:00,209.75,306.00,34.65,83.32,72.42,74.85,8.90,NA,NA,6.22,6.38,NA,NA,NA,NA,11.78,87.50,1.70,245.50,0.00,0.00,34.00,980.00,NA
2025-01-01 21:00:00,226.00,328.25,27.72,75.40,62.68,61.05,10.45,NA,NA,6.45,5.58,NA,NA,NA,NA,11.68,88.25,1.60,251.25,0.00,0.00,34.00,980.25,NA
2025-01-01 22:00:00,226.75,325.25,40.70,73.75,72.22,62.62,11.38,NA,NA,6.68,5.12,NA,NA,NA,NA,11.30,90.50,0.80,250.00,0.00,0.00,34.00,980.00,NA
2025-01-01 23:00:00,244.00,347.75,41.47,68.05,69.92,63.88,10.85,NA,NA,7.70,5.45,NA,NA,NA,NA,11.22,92.25,1.55,239.25,0.00,0.00,34.25,980.00,NA
2025-01-02 00:00:00,195.25,293.75,15.42,55.30,42.25,68.05,9.48,NA,NA,6.45,4.03,NA,NA,NA,NA,11.85,87.25,2.30,242.00,0.00,0.00,34.00,980.00,NA
2025-01-02 01:00:00,165.00,246.00,7.45,46.10,30.48,74.38,7.58,NA,NA,5.00,3.05,NA,NA,NA,NA,11.73,87.75,2.30,235.75,0.00,0.00,34.00,980.00,NA
2025-01-02 02:00:00,166.25,230.25,10.00,39.30,28.60,77.20,NA,NA,NA,4.18,2.65,NA,NA,NA,NA,11.60,88.00,1.48,213.00,0.00,0.00,34.25,980.00,NA
2025-01-02 03:00:00,172.50,239.25,7.20,41.08,27.78,77.38,9.15,NA,NA,3.85,6.72,NA,NA,NA,NA,11.52,88.00,1.45,205.75,0.00,0.00,34.00,980.00,NA
2025-01-02 04:00:00,168.00,237.00,9.15,37.72,27.58,70.15,10.07,NA,1.60,3.70,6.98,NA,NA,NA,NA,11.50,88.50,1.23,202.50,0.00,0.00,34.00,980.00,NA
2025-01-02 05:00:00,180.25,253.75,7.30,39.45,26.62,60.08,9.83,NA,4.53,3.92,5.05,NA,NA,NA,NA,11.50,90.25,1.33,200.75,0.00,0.00,34.00,980.00,NA
2025-01-02 06:00:00,195.50,285.50,15.48,50.20,39.28,62.78,11.20,NA,3.95,4.22,4.88,NA,NA,NA,NA,11.45,91.50,1.88,176.50,0.00,0.00,34.50,980.00,NA
2025-01-02 07:00:00,193.00,289.50,16.77,52.48,41.50,66.60,10.90,NA,4.13,5.12,5.88,NA,NA,NA,NA,11.15,93.00,1.62,187.00,0.00,0.00,34.75,981.00,NA
2025-01-02 08:00:00,176.00,260.25,17.77,52.52,42.38,74.27,6.37,NA,NA,5.32,5.07,NA,NA,NA,NA,11.15,92.25,1.52,189.75,0.00,0.00,41.25,980.75,NA
2025-01-02 09:00:00,198.75,284.00,25.12,52.55,48.70,82.18,3.30,NA,6.00,5.40,4.13,NA,NA,NA,NA,11.30,89.75,1.92,208.00,0.00,0.00,60.25,980.25,NA
2025-01-02 10:00:00,210.25,310.00,27.08,54.02,50.80,85.90,4.62,NA,35.80,5.35,3.25,NA,NA,NA,NA,11.90,86.75,2.25,224.00,0.00,0.00,93.75,980.00,NA
2025-01-02 11:00:00,218.50,333.00,33.40,60.35,59.38,89.72,5.50,NA,6.60,5.48,4.43,NA,NA,NA,NA,12.90,80.75,1.82,217.00,0.00,0.00,140.25,980.00,NA
2025-01-02 12:00:00,229.25,337.50,34.28,60.02,59.95,90.25,5.22,1.32,10.50,5.75,6.55,NA,NA,NA,NA,13.72,75.25,2.07,207.25,0.00,0.00,217.50,980.00,NA
