country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","04-08-2026 05:00:00",26.63086,84.90051,OZONE,57,57,57
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","04-08-2026 05:00:00",26.11442,85.39813,PM2.5,13,66,39
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","04-08-2026 05:00:00",26.11442,85.39813,NO2,18,35,23
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","04-08-2026 05:00:00",26.1403345,85.3650192,NO2,2,10,5
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","04-08-2026 05:00:00",26.1403345,85.3650192,NH3,1,1,1
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","04-08-2026 05:00:00",26.1403345,85.3650192,SO2,11,22,15
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","04-08-2026 05:00:00",25.610369,85.132568,PM10,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","04-08-2026 05:00:00",25.610369,85.132568,NO2,2,3,3
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","04-08-2026 05:00:00",25.610369,85.132568,NH3,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","04-08-2026 05:00:00",25.610369,85.132568,CO,20,34,31
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","04-08-2026 05:00:00",25.599486,85.113666,PM2.5,16,42,30
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-08-2026 05:00:00",25.586562,85.043586,NO2,20,26,23
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-08-2026 05:00:00",25.586562,85.043586,NH3,8,9,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-08-2026 05:00:00",25.586562,85.043586,SO2,5,7,6
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","04-08-2026 05:00:00",25.251013,86.989001,OZONE,17,20,19
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","04-08-2026 05:00:00",25.7808257,84.7446768,NH3,4,7,6
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","04-08-2026 05:00:00",24.7955,84.9994,SO2,7,9,7
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","04-08-2026 05:00:00",24.792403,84.992416,PM10,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","04-08-2026 05:00:00",24.792403,84.992416,OZONE,4,45,29
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","04-08-2026 05:00:00",25.697189,85.2459,PM2.5,22,56,39
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","04-08-2026 05:00:00",25.697189,85.2459,PM10,30,48,39
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","04-08-2026 05:00:00",25.697189,85.2459,SO2,4,6,5
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","04-08-2026 05:00:00",25.697189,85.2459,CO,13,31,22
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","04-08-2026 05:00:00",26.0881305,87.93840336,SO2,5,8,6
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","04-08-2026 05:00:00",26.63086,84.90051,PM10,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","04-08-2026 05:00:00",26.63086,84.90051,NO2,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","04-08-2026 05:00:00",26.146529,87.454184,OZONE,38,40,39
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","04-08-2026 05:00:00",25.5626095,84.663264,PM2.5,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","04-08-2026 05:00:00",24.75746,84.366208,NH3,0,2,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","04-08-2026 05:00:00",24.75746,84.366208,OZONE,5,10,8
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","04-08-2026 05:00:00",25.42742023,86.13886079,NO2,6,10,9
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","04-08-2026 05:00:00",25.42742023,86.13886079,SO2,15,47,29
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","04-08-2026 05:00:00",25.265194,87.012947,PM2.5,13,340,88
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","04-08-2026 05:00:00",25.265194,87.012947,OZONE,9,26,15
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","04-08-2026 05:00:00",25.251013,86.989001,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","04-08-2026 05:00:00",25.251013,86.989001,NO2,NA,NA,NA
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","04-08-2026 05:00:00",14.438164,79.966814,PM10,60,75,67
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","04-08-2026 05:00:00",14.438164,79.966814,SO2,6,15,12
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","04-08-2026 05:00:00",14.438164,79.966814,CO,38,38,38
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-08-2026 05:00:00",16.9872867,81.7363176,PM10,24,79,48
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-08-2026 05:00:00",16.9872867,81.7363176,OZONE,25,54,37
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","04-08-2026 05:00:00",13.67,79.35,PM10,12,50,35
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","04-08-2026 05:00:00",13.67,79.35,NO2,27,73,51
