station,latitude,longitude
Alipur,28.815329,77.15301
Anand_Vihar,28.647622,77.315809
Ashok_Vihar,28.695381,77.181665
Aya_Nagar,28.4706914,77.1099364
Bawana,28.7762,77.051074
Burari_Crossing,28.7256504,77.2011573
Chandni_Chowk,28.656756,77.227234
Commonwealth_Sports_Complex,28.615828,77.271992
DTU,28.7500499,77.1112615
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484
Dwarka-Sector_8,28.5710274,77.0719006
IGI_Airport_(T3),28.5627763,77.1180053
IGNOU_Maidan_Garhi,28.493624,77.201159
IHBAS_Dilshad_Garden,28.6811736,77.3025234
IIT_Delhi,28.54246,77.191651
IMD_Lodhi_Road,28.5918245,77.2273074
ITO,28.628624,77.24106
JNU,28.540721,77.168544
Jahangirpuri,28.73282,77.170633
Jawaharlal_Nehru_Stadium,28.58028,77.233829
Major_Dhyan_Chand_National_Stadium,28.611281,77.237738
Mandir_Marg,28.636429,77.201067
Mundka,28.684678,77.076574
NSUT_Jaffarpur,28.594004,76.909423
Najafgarh,28.570173,76.933762
Narela,28.822836,77.101981
Nehru_Nagar,28.56789,77.250515
North_Campus_DU,28.6573814,77.1585447
Okhla_Phase-2,28.530785,77.271255
Patparganj,28.623763,77.287209
Punjabi_Bagh,28.674045,77.131023
R_K_Puram,28.563262,77.186937
Rohini,28.732528,77.11992
Shadipur,28.6514781,77.1473105
Sirifort,28.5504249,77.2159377
Sonia_Vihar,28.710508,77.249485
Sri_Aurobindo_Marg,28.531346,77.190156
Talkatora_Garden,28.62181,77.1944633
Vivek_Vihar,28.672342,77.31526
Wazirpur,28.699793,77.165453
